"Present name of the feature";"Value type";"Former name of the feature (indication)";"Other names of feature (indic.)";"Classes where feature is encoded (indic.)";"Description of the feature";"Example(s) illustrating the feature";"Description de la propriété"
"Loc N1 = Ppv";"binary";"Loc N1 = Ppv";;", 5";"Clitic pronominalization of a locative object Loc N1";"Cette idée trotte dans sa tête = Cette idée y trotte";"Pronominalisation de l'objet locatif Loc N1 sous la forme d'un pronom préverbal"
"Loc N1 = Ppv =: en";"binary";"Ppv =: en";;", 35L, 35ST";"Clitic pronominalization of a locative object Loc N1 into en";"Deux poussins ont éclos d'un même oeuf = Deux poussins en ont éclos";"Pronominalisation de l'objet locatif Loc N1 sous la forme du pronom préverbal en"
"Loc N1 = Ppv =: y";"binary";"Ppv =: y";;", 35L, 35ST";"Clitic pronominalization of a locative object Loc N1 into y";"On s'écrase dans le métro = On s'y écrase";"Pronominalisation de l'objet locatif Loc N1 sous la forme du pronom préverbal y"
"Loc N1 =: à N1";"binary";"Loc N2 =: à N2";;", 2, 35ST";"The preposition of a locative object Loc N1 can be à";"Paul se précipite à la boulangerie";"La préposition de l'objet locatif Loc N1 peut être à"
"Loc N1 =: à N1 destination";"binary";"Loc N2 =: à N2 destination";;", 35L";"The preposition of a locative object Loc N1, interpreted as a destination, can be à";"Le sang afflue à sa tête";"La préposition de l'objet locatif Loc N1, interprété comme une destination, peut être à"
"Loc N1 =: contre N1";"binary";"Prép =: contre";;", 38L1";"The preposition of a locative object Loc N1 can be contre";"Le volet bat contre le mur";"La préposition de l'objet locatif Loc N1 peut être contre"
"Loc N1 =: contre N1 destination";"binary";"Loc N2 =: contre N2 destination";;", 35L";"The preposition of a locative object Loc N1, interpreted as a destination, can be contre";"Max a cartonné contre un pin avec la voiture";"La préposition de l'objet locatif Loc N1, interprété comme une destination, peut être contre"
"Loc N1 =: dans N1";"binary";"Loc N2 =: dans N2";;", 2, 35ST";"The preposition of a locative object Loc N1 can be dans";"Paul plonge dans l'eau";"La préposition de l'objet locatif Loc N1 peut être dans"
"Loc N1 =: dans N1 destination";"binary";"Loc N2 =: dans N2 destination";;", 35L";"The preposition of a locative object Loc N1, interpreted as a destination, can be dans";"L'auto dérape dans le fossé";"La préposition de l'objet locatif Loc N1, interprété comme une destination, peut être dans"
"Loc N1 =: de N1";"binary";"Loc N1 =: de N1";;", 2";"The preposition of a locative object Loc N1 can be de";"Paul rentre de la boulangerie. Paul s'approche de la boulangerie";"La préposition de l'objet locatif Loc N1 peut être de"
"Loc N1 =: de N1 source";"binary";"Prép =: de";;", 2";"The preposition of a locative object Loc N1, interpreted as a source, can be de";"Paul débouche du garage";"La préposition de l'objet locatif Loc N1, interprété comme une source, peut être de"
"Loc N1 =: de V0-inf W";"binary";"Loc N1 =: de V0-inf W";;", 2";"A locative object Loc N1 can take the form of an infinitive clause interpreted as a source, taking the form de V0-inf W, with the preposition de and an implicit subject coreferent with that of the main verb";"Paul revient de chercher du pain (Paul revient de la boulangerie)";"L'objet locatif Loc N1 peut prendre la forme d'une infinitive interprétée comme un lieu source, prenant la forme de V0-inf W, avec la préposition de et un sujet implicite coréférent à celui du verbe principal"
"Loc N1 =: Loc N1 source, Loc # de";"binary";"Prép source # de";;", 35L";"The preposition of a locative object Loc N1, interpreted as a source, can be other than de";"Luc est né dans une famille riche";"La préposition de l'objet locatif Loc N1, interprété comme une source, peut être autre que de"
"Loc N1 =: Loc-source N1, Loc-source # de";"binary";"Prép source # de";;", 35ST ";"The preposition of a stative locative object Loc N1 can be a source preposition other than de";"Le fil pend au plafond";"La préposition de l'objet locatif statique Loc N1 peut être une préposition source autre que de"
"Loc N1 =: par N1";"binary";"Prép =: par";;", 38L1";"The preposition of a locative object Loc N1 can be par";"Luc a pris le couloir = Luc a pris par le couloir";"La préposition de l'objet locatif Loc N1 peut être par"
"Loc N1 =: sur N1";"binary";"Prép =: sur";"Loc N2 =: sur N2";", 34L0, 35ST, 38L1";"The preposition of a locative object Loc N1 can be sur";"De l'eau dégouline sur le toit";"La préposition de l'objet locatif Loc N1 peut être sur"
"Loc N1 =: sur N1 destination";"binary";"Loc N2 =: sur N2 destination";;", 35L";"The preposition of a locative object Loc N1, interpreted as a destination, can be sur";"Ce bas a déteint sur la robe";"La préposition de l'objet locatif Loc N1, interprété comme une destination, peut être sur"
"Loc N1 =: vers N1";"binary";"Loc N2 =: vers N2";;", 35ST ";"The preposition of a locative object Loc N1 can be vers";"Cette maison regarde vers le nord";"La préposition de l'objet locatif Loc N1 peut être vers"
"Loc N1 =: vers N1 destination";"binary";"Loc N2 =: vers N2 destination";;", 35L";"The preposition of a locative object Loc N1, interpreted as a destination, can be vers";"Le bateau dérive vers la côte";"La préposition de l'objet locatif Loc N1, interprété comme une destination, peut être vers"
"Loc N2 = ici";"binary";"Loc N2 = ici";;", 3";"A locative object Loc N2 can be pronominalized into ici";"Il ramène Paul ici faire son numéro";"L'objet locatif Loc N1 peut être pronominalisé en ici"
"Loc N2 = là";"binary";"Loc N2 = là";;", 3";"A locative object Loc N2 can be pronominalized into là";"Il conduit Paul là prendre le bus";"L'objet locatif Loc N1 peut être pronominalisé en là"
"Loc N2 = Ppv =: en";"binary";"Ppv =: en";;", 38LH";"Clitic pronominalization of a locative object Loc N2 into en";"Max a abstrait son esprit des difficultés présentes = Max en a abstrait son esprit";"Pronominalisation de l'objet locatif Loc N2 sous la forme du pronom préverbal en"
"Loc N2 = Ppv =: y";"binary";"Ppv =: y";;", 35L, 35ST, 38LH";"Clitic pronominalization of a locative object Loc N2 into y";"L'eau coule du robinet dans l'évier = L'eau y coule du robinet ; On accepte les chiens dans ce restaurant = On y accepte les chiens";"Pronominalisation de l'objet locatif Loc N2 sous la forme du pronom préverbal y"
"Loc N2 =: à N2";"binary";"Prép =: à";;", 35ST, 38LR";"The preposition of a locative object Loc N2 can be à";"L'eau arrive aux genoux de Luc";"La préposition de l'objet locatif Loc N2 peut être à"
"Loc N2 =: à N2 destination";"binary";"Prép =: à";;", 36SL, 38LD, 38LH";"The preposition of a locative object Loc N2, interpreted as a destination, can be à";"Paul greffe un oeil au rosier";"La préposition de l'objet locatif Loc N2, interprété comme une destination, peut être à"
"Loc N2 =: à Nhum";"binary";"Loc N2 =: à Nhum";"N0 V N1 à Nhum";", 3, 36SL";"A locative object Loc N2 can take the form à Nhum, denoting a person";"Paul envoie Marie au patron demander un formulaire ; Paul encorde Léa au guide";"L'objet locatif Loc N2 peut prendre la forme à Nhum, dénotant une personne"
"Loc N2 =: à N-hum";"binary";"Loc N2 =: à N-hum";;", 3";"A locative object Loc N2 can take the form à N-hum, with a non-human meaning";"Paul envoie Marie à la boulangerie chercher des croissants";"L'objet locatif Loc N2 peut prendre la forme à N-hum, à sens non humain"
"Loc N2 =: autour de N2";"binary";"Prép =: autour de";;", 38LR";"The preposition of a locative object Loc N2 can be autour de";"Paul conserve la main autour du manche";"La préposition de l'objet locatif Loc N2 peut être autour de"
"Loc N2 =: autour de N2 destination";"binary";"Prép =: autour de";;", 32PL, 38LD";"The preposition of a locative object Loc N2, interpreted as a destination, can be autour de";"Paul enroule le fil autour du stylo";"La préposition de l'objet locatif Loc N2, interprété comme une destination, peut être autour de"
"Loc N2 =: contre N2";"binary";"Prép =: contre";;", 38LR";"The preposition of a locative object Loc N2 can be contre";"Max cale le lit contre le mur";"La préposition de l'objet locatif Loc N2 peut être contre"
"Loc N2 =: contre N2 destination";"binary";"Prép =: contre";;", 35L, 36SL, 38LD, 38LH";"The preposition of a locative object Loc N2, interpreted as a destination, can be contre";"La balle rebondit contre le mur";"La préposition de l'objet locatif Loc N2, interprété comme une destination, peut être contre"
"Loc N2 =: dans N2";"binary";"Loc N2 =: dans N2";;", 3, 35ST, 38LR";"The preposition of a locative object Loc N2 can be dans";"Paul envoie Marie dans le désert chercher du sable";"La préposition de l'objet locatif Loc N2 peut être dans"
"Loc N2 =: dans N2 destination";"binary";"Prép =: contre";;", 32A, 35L, 36SL, 38LD, 38LH";"The preposition of a locative object Loc N2, interpreted as a destination, can be dans";"Paul a érigé une statue dans son jardin";"La préposition de l'objet locatif Loc N2, interprété comme une destination, peut être dans"
"Loc N2 =: de N2";"binary";"Loc N2 =: de N2";;", 3";"The preposition of a locative object Loc N2 can be de";"Il ramène Paul du Brésil faire un show";"La préposition de l'objet locatif Loc N2 peut être de"
"Loc N2 =: de N2 destination";"binary";"Prép =: de";;", 36SL";"The preposition of a locative object Loc N2, interpreted as a destination, can be de";"Luc rapproche la bouteille du cendrier";"La préposition de l'objet locatif Loc N2, interprété comme une destination, peut être de"
"Loc N2 =: de N2 source";"binary";"Prép =: de";;", 36SL, 38L0, 38LH, 38LS";"The preposition of a locative object Loc N2, interpreted as a source, can be de";"Luc éloigne la bouteille du cendrier";"La préposition de l'objet locatif Loc N2, interprété comme une source, peut être de"
"Loc N2 =: Loc N2 source, Loc # de";"binary";"autre Prép source";;", 38L0, 38LH, 38LS";"The preposition of a locative object Loc N2, interpreted as a source, can be other than de";"Luc découpe une photo dans un journal, Luc saisit un livre sur l'étagère, Luc boit à la bouteille";"La préposition de l'objet locatif Loc N2, interprété comme une source, peut être autre que de"
"Loc N2 =: sur lui1-même";"binary";"sur lui-même";;", 38LD, 38LR";"A locative object Loc N2 can take the form sur lui-même, where the pronoun lui is coreferent to an object N1";"Le froid a recroquevillé la plante sur elle-même, On a lové le filin sur lui-même";"L'objet locatif Loc N2  peut prendre la forme sur lui-même, où le pronom lui est coréférent à l'objet N1 "
"Loc N2 =: sur N2";"binary";"Prép =: sur";;" ";"The preposition of a locative object Loc N2 can be sur";"Luc étale le beurre sur la tartine";"La préposition de l'objet locatif Loc N2 peut être sur"
"Loc N2 =: sur N2 destination";"binary";"Prép =: sur";;", 38LH";"The preposition of a locative object Loc N2, interpreted as a destination, can be sur";"Paul débouche sur la place";"La préposition de l'objet locatif Loc N2, interprété comme une destination, peut être sur"
"Loc N2 =: vers N2";"binary";"Prép =: vers";;" ";"The preposition of a locative object Loc N2 can be vers with a directional interpretation";"L'appartement donne vers le sud. Paul dirige son fusil vers la cible";"La préposition de l'objet locatif Loc N2 peut être vers avec un sens directionnel"
"Loc N2 =: vers N2 destination";"binary";"Prép =: vers";;", 38LH";"The preposition of a locative object Loc N2, interpreted as a destination, can be vers with a directional interpretation";"Paul titube vers la sortie. Luc lance la balle vers la porte";"La préposition de l'objet locatif Loc N2, interprété comme une destination, peut être vers avec un sens directionnel"
"Loc N3 = Ppv =: y";"binary";"Ppv =: y";;", 38LH";"Clitic pronominalization of a locative object Loc N3 into y";"Max conduit Ida de la cuisine dans le salon = Max l'y conduit de la cuisine";"Pronominalisation de l'objet locatif Loc N3 sous la forme du pronom préverbal y"
"Loc N3 =: à N3 destination";"binary";"Prép =: à";;", 32PL, 38L, 38LH";"The preposition of a locative object Loc N3, interpreted as a destination, can be à";"Max convie Luc à une soirée";"La préposition de l'objet locatif Loc N3, interprété comme une destination, peut être à"
"Loc N3 =: contre N3 destination";"binary";"Prép =: contre";;", 32PL, 38L, 38LH";"The preposition of a locative object Loc N3, interpreted as a destination, can be contre";"Le car serre le cycliste contre le trottoir ; Luc empile les chaises contre le mur";"La préposition de l'objet locatif Loc N3, interprété comme une destination, peut être contre"
