"<ID>";"N1 V";"N2 V N1";"<ENT>Ppv";"<ENT>V";"Aux =: avoir";"Aux =: être";"N1 =: Nhum";"N0 lui V N1pc W";"N0 V N1 Loc N1pc W";"N1 =: N-hum";"N1 =: le fait Qu P";"Ppv =: le";"N0 V N1 de N2";"N0 V N1 de N2 = N0 mettre N2 Loc N1";"N0 V N1 de N2 = N0 enlever N2 de N1";"de combien ?";"Ppv =: en";"N0 V Nhum sur ce point";"N1 être Vpp W";"N1 être V-adj de N2";"V-adj";"N1 se V (neutre)";"N0 rendre N1 V-adj";"N0 rendre N1 plus V-adj";"N0 rendre N1 V-adj (forme V-adj)";"N0 rendre N1 plus V-adj (forme V-adj)";"<OPT>";"<ENGLISH>"
"11";"~";"~";"<E>";"affainéantir";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"+";"+";"fainéant";"fainéant";"Son séjour a affainéanti Max";"?"
"12";"-";"+";"<E>";"affermir";"+";"-";"-";"+";"+";"+";"-";"+";"+";"+";"-";"+";"+";"+";"+";"-";"-";"+";"-";"+";"<E>";"ferme";"Ce traitement affermit les tissus";"to tone up"
"13";"-";"-";"<E>";"affiner";"+";"-";"-";"+";"+";"+";"-";"+";"+";"+";"+";"+";"+";"+";"+";"-";"-";"+";"-";"+";"<E>";"fin";"Ces contacts ont affiné (l'esprit de Max+Max)";"to refine"
"14";"~";"~";"<E>";"affoler";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"+";"-";"affolé";"<E>";"L'aimant affole l'aiguille de la boussole";"?"
"15";"~";"~";"<E>";"africaniser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"-";"-";"<E>";"<E>";"Ces mesures ont africanisé la Suisse";"?"
"16";"-";"+";"<E>";"aggraver";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"<E>";"grave";"Le froid aggrave son état";"to worsen"
"17";"-";"+";"<E>";"agrandir";"+";"-";"-";"+";"-";"+";"-";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"+";"-";"+";"<E>";"grand";"Max a agrandi sa maison";"to enlarge"
"18";"+";"+";"<E>";"aigrir";"+";"-";"-";"+";"-";"+";"-";"+";"+";"+";"-";"+";"-";"+";"+";"-";"-";"+";"+";"-";"aigre";"<E>";"La chaleur aigrit le vin";"to make sour"
"19";"-";"-";"<E>";"aiguiser";"+";"-";"-";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"+";"+";"-";"-";"+";"+";"+";"aiguisé";"aiguisé";"(E+L'attitude de)Max avait aiguisé sa colère";"to stimulate"
"20";"-";"-";"<E>";"ajuster";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"+";"+";"juste";"juste";"Max a ajusté la balance";"to adjust"
"21";"~";"~";"<E>";"algébriser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"+";"-";"algébrique";"<E>";"Paul algébrise la grammaire";"?"
"22";"~";"~";"<E>";"alcaliniser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"+";"-";"alcalin";"<E>";"La chaux alcalinise la terre";"?"
"23";"~";"~";"<E>";"algérianiser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"-";"-";"<E>";"<E>";"On a algérianisé (cette contrée+cette pratique)";"?"
"24";"-";"+";"<E>";"alléger";"+";"-";"+";"+";"+";"+";"-";"+";"+";"+";"+";"+";"+";"+";"+";"-";"-";"+";"-";"+";"<E>";"léger";"Max a allégé la boite de quelques billes";"to lighten"
"25";"+";"+";"<E>";"allonger";"+";"-";"-";"+";"-";"+";"-";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"+";"-";"+";"<E>";"long";"Jo allonge le lit d'un mètre";"to lenghten"
"26";"+";"+";"<E>";"alourdir";"+";"-";"-";"+";"+";"+";"-";"+";"+";"+";"-";"+";"+";"-";"-";"-";"-";"+";"-";"+";"<E>";"lourd";"(Max+ce livre) alourdit le colis";"to make heavy"
"27";"-";"-";"<E>";"amaigrir";"+";"-";"+";"+";"+";"+";"-";"+";"+";"-";"+";"+";"-";"-";"+";"-";"-";"+";"-";"+";"<E>";"maigre";"Ce régime a amaigri Ida de dix kilos";"to make thin"
"28";"-";"+";"<E>";"améliorer";"+";"-";"+";"+";"+";"+";"-";"+";"+";"+";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"meilleur";"<E>";"Max améliore le potage d'un peu de poivre";"to improve"
"29";"-";"-";"<E>";"amenuiser";"+";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"+";"+";"-";"menu";"<E>";"La guerre a amenuisé sa fortune";"to thin down"
"30";"-";"-";"<E>";"américaniser";"+";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"+";"+";"américain";"américain";"Les média américanisent le mode de vie";"to americanize"
"31";"+";"-";"<E>";"ameublir";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"+";"+";"meuble";"meuble";"La pluie ameublit le sol";"to loosen"
"32";"-";"+";"<E>";"amincir";"+";"-";"+";"+";"+";"+";"-";"+";"+";"-";"+";"+";"-";"-";"+";"-";"-";"+";"-";"+";"<E>";"mince";"Max amincit la planche d'un cm";"to thin"
"33";"-";"-";"<E>";"amoindrir";"+";"-";"+";"+";"-";"+";"-";"+";"+";"-";"+";"+";"-";"+";"+";"-";"-";"+";"+";"-";"moindre";"<E>";"Cette façon de faire a amoindri la résistance du mur";"to weaken"
"34";"+";"-";"<E>";"amollir";"+";"-";"-";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"+";"+";"mou";"mou";"La chaleur amollit la cire";"to soften"
"35";"-";"-";"<E>";"amplifier";"+";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"+";"<E>";"ample";"Le vent amplifie les mouvements de la cage";"to accentuate"
"36";"~";"~";"<E>";"anarchiser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"+";"-";"anarchique";"<E>";"Ces points ont anarchisé la circulation";"?"
"37";"-";"-";"<E>";"anémier";"+";"-";"+";"+";"+";"-";"-";"+";"-";"-";"-";"+";"-";"+";"+";"-";"-";"+";"+";"-";"anémique";"<E>";"Ce régime a anémié Max";"to make anaemic"
"38";"~";"~";"<E>";"angliciser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"+";"-";"anglais";"<E>";"Un séjour outre Manche a anglicisé l'allure de Max";"?"
"39";"~";"~";"<E>";"animaliser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"+";"-";"animal";"<E>";"La guerre animalise les soldats";"?"
"40";"~";"~";"<E>";"annualiser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"+";"-";"annuel";"<E>";"On a annualisé les salaires";"?"
"41";"-";"-";"<E>";"annuler";"+";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"+";"-";"nul";"<E>";"Max a annulé le jugement";"to quash"
"42";"-";"-";"<E>";"aplanir";"+";"-";"-";"+";"+";"+";"-";"+";"+";"-";"+";"+";"-";"-";"+";"-";"-";"+";"+";"-";"plan";"<E>";"Mon robot aplanit ces plaques";"to level"
"43";"-";"-";"<E>";"aplatir";"+";"-";"-";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"+";"-";"plat";"<E>";"Max a aplati la pâte";"to flatten"
"44";"-";"-";"<E>";"appauvrir";"+";"-";"+";"+";"-";"+";"-";"+";"+";"-";"+";"+";"-";"+";"+";"-";"-";"+";"+";"+";"pauvre";"pauvre";"La crise appauvrit les gens";"to impoverish"
"45";"-";"-";"<E>";"appesantir";"+";"-";"-";"+";"-";"+";"-";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"+";"+";"+";"pesant";"pesant";"Max a appesanti son bras sur la main de Léa";"to weigh down"
"46";"-";"-";"<E>";"apprêter";"+";"-";"+";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"prêt";"<E>";"Max apprête la mariée";"to get ready"
"47";"-";"+";"<E>";"approfondir";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"+";"+";"+";"profond";"profond";"Max a approfondi le puits";"to deepen"
"48";"~";"~";"<E>";"argotiser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"+";"-";"argotique";"<E>";"Les jeunes argotisent le français";"?"
"49";"+";"+";"<E>";"arrondir";"+";"-";"-";"+";"+";"+";"-";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"+";"+";"+";"rond";"rond";"Le reflux arrondit les galets";"to round"
"50";"-";"-";"<E>";"aseptiser";"+";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"+";"-";"-";"+";"-";"-";"-";"+";"-";"asepstisé";"<E>";"Max aseptise le pansement";"to sterilize"
"51";"-";"+";"<E>";"assainir";"+";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"+";"-";"+";"+";"+";"sain";"-";"+";"-";"sain";"<E>";"Max a assaini la pièce";"to clean up"
"52";"+";"+";"<E>";"assécher";"+";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"+";"-";"-";"+";"-";"-";"+";"+";"-";"sec";"<E>";"Luc a asséché le marais";"to drain"
"53";"~";"~";"<E>";"asservir";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"+";"+";"serf";"serf";"Le roi a asservi ses sujets à sa loi";"?"
"54";"+";"+";"<E>";"assombrir";"+";"-";"+";"+";"-";"+";"-";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"+";"+";"+";"sombre";"sombre";"Ce rideau assombrit la pièce";"to darken"
"55";"-";"-";"<E>";"assouplir";"+";"-";"+";"+";"-";"+";"-";"+";"+";"+";"-";"+";"-";"+";"+";"-";"-";"+";"+";"+";"souple";"souple";"Max assouplit le cuir";"to make supple"
"56";"-";"+";"<E>";"assourdir";"+";"-";"-";"+";"-";"+";"-";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"sourd";"<E>";"Ce bruit assourdit Max";"to deafen"
"57";"~";"~";"<E>";"assourdir";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"-";"+";"<E>";"sourd";"Ce tapis assourdit les cris";"to deaden"
"58";"-";"+";"<E>";"assurer";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"sûr";"<E>";"Max assure sa prise";"to belay"
"59";"-";"-";"<E>";"attendrir";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"+";"+";"-";"-";"-";"+";"+";"tendre";"tendre";"Max a attendri la viande avec un attendrisseur";"to tenderize"
"60";"+";"+";"<E>";"atténuer";"+";"-";"-";"+";"-";"+";"+";"+";"+";"+";"-";"-";"-";"-";"+";"-";"-";"+";"+";"-";"ténu";"<E>";"Cet appareil atténue la lumière";"to subdue"
"61";"-";"+";"<E>";"attiédir";"+";"-";"-";"+";"-";"+";"-";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"tiède";"<E>";"Le vent a attiédi l'eau";"to make lukewarm"
"62";"-";"+";"<E>";"automatiser";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"+";"+";"-";"automatique";"<E>";"Le chef automatise la production";"to automate"
"63";"~";"~";"<E>";"aveugler";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"+";"-";"aveugle";"<E>";"Regarder le soleil a aveuglé Luc";"to blind"
"64";"~";"~";"<E>";"aveugler";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"+";"-";"aveugle";"<E>";"Le bourreau aveugle Max";"to blind"
"65";"-";"+";"<E>";"aviver";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"+";"-";"+";"<E>";"vif";"Le savon avive les couleurs";"to revive"
"66";"-";"-";"<E>";"axiomatiser";"+";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"+";"-";"axiomatique";"<E>";"Max a axiomatisé sa théorie";"?"
"67";"+";"-";"<E>";"baisser";"+";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"<E>";"bas";"Max baisse ses prix";"to lower"
"68";"-";"+";"<E>";"banaliser";"+";"-";"-";"-";"-";"+";"+";"+";"+";"+";"+";"+";"-";"-";"+";"-";"-";"+";"+";"-";"banal";"<E>";"La télé a banalisé la violence";"to make common"
"69";"+";"-";"<E>";"biaiser";"+";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"+";"~";"-";"+";"-";"-";"-";"+";"-";"biaisé";"<E>";"L'humidité a biaisé la porte";"to bend"
"70";"-";"+";"<E>";"bistrer";"+";"-";"-";"+";"+";"+";"-";"+";"+";"+";"-";"+";"~";"-";"+";"+";"bistre";"-";"+";"-";"bistre";"<E>";"Max a bistré ses paupières";"to colour with bistre"
"71";"+";"+";"<E>";"blanchir";"+";"-";"-";"+";"+";"+";"-";"+";"+";"+";"-";"+";"~";"-";"+";"+";"blanc";"-";"+";"-";"blanc";"<E>";"Max a blanchi le mur";"to whitewash"
"72";"+";"+";"<E>";"blêmir";"+";"-";"-";"+";"+";"+";"-";"+";"+";"+";"-";"+";"~";"-";"-";"-";"-";"-";"+";"-";"blême";"<E>";"La maladie a blêmit son teint";"to make pale"
"73";"~";"~";"<E>";"blettir";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"+";"-";"blet";"<E>";"L'humidité a bletti les poires";"?"
"74";"+";"+";"<E>";"bleuir";"+";"-";"-";"+";"+";"+";"-";"+";"+";"+";"-";"+";"~";"-";"+";"+";"bleu";"-";"+";"-";"bleu";"<E>";"Ce produit bleuit le lin";"to turn blue"
"75";"-";"+";"<E>";"bleuter";"+";"-";"-";"+";"-";"+";"-";"+";"+";"+";"-";"-";"~";"-";"+";"+";"bleu";"-";"+";"-";"bleu";"<E>";"Ce produit a bleuté le lin";"to turn blue"
"76";"+";"+";"<E>";"blondir";"+";"-";"-";"+";"+";"+";"-";"+";"+";"+";"-";"+";"~";"-";"+";"+";"blond";"-";"+";"-";"blond";"<E>";"Max blondit (la sauce+les oignons)";"to make blond"
"77";"+";"+";"<E>";"bonifier";"+";"-";"-";"+";"-";"+";"-";"+";"+";"+";"-";"+";"~";"-";"+";"-";"-";"+";"-";"+";"<E>";"bon";"L'engrais bonifiera ce pré";"to improve"
"78";"+";"+";"<E>";"brunir";"+";"-";"-";"+";"+";"+";"-";"+";"+";"+";"-";"+";"~";"-";"+";"+";"brun";"-";"+";"-";"brun";"<E>";"Le soleil a bruni sa peau";"to tan"
"79";"-";"-";"<E>";"bureaucratiser";"+";"-";"+";"+";"-";"+";"-";"+";"-";"-";"-";"-";"~";"+";"+";"-";"-";"-";"+";"-";"bureaucratique";"<E>";"Cette génération a bureaucratisé l'administration";"to bureaucratize"
"80";"-";"-";"<E>";"calmer";"+";"-";"+";"+";"-";"+";"-";"+";"-";"-";"-";"+";"~";"+";"+";"-";"-";"+";"+";"-";"calme";"<E>";"Neptune a calmé la mer";"to calm"
"81";"-";"+";"<E>";"carminer";"+";"-";"-";"+";"-";"+";"-";"+";"+";"+";"-";"-";"~";"-";"+";"+";"carmin";"-";"+";"-";"carmin";"<E>";"Ida carmine ses ongles";"to make carmine"
"82";"~";"~";"<E>";"centupler";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"+";"-";"centuple";"<E>";"Max a centuplé ses profits";"?"
"83";"~";"~";"<E>";"chauffer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"+";"+";"chaud";"chaud";"Max chauffe la pièce";"to heat"
"84";"+";"-";"<E>";"chauffer";"+";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"+";"~";"-";"+";"-";"-";"-";"+";"+";"chaud";"chaud";"Max chauffe le vin";"to heat up"
"85";"-";"-";"<E>";"christianiser";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"~";"-";"+";"-";"-";"+";"+";"-";"chrétien";"<E>";"Max christianise les Papous";"to convert to Christianity"
"86";"-";"+";"<E>";"clarifier";"+";"-";"-";"+";"-";"+";"+";"+";"+";"+";"+";"+";"~";"-";"+";"-";"-";"+";"+";"+";"clair";"clair";"Max clarifiera son vin d'un peu d'eau";"to clarify"
"87";"-";"-";"<E>";"cléricaliser";"+";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"~";"+";"+";"-";"-";"+";"+";"+";"clérical";"clérical";"Ce décret cléricalise l'enseignement";"?"
"88";"-";"-";"<E>";"collectiviser";"+";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"~";"-";"+";"-";"-";"+";"+";"-";"collectif";"<E>";"L'état a collectivisé les terres";"to collectivize"
"89";"-";"-";"<E>";"communaliser";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"~";"-";"+";"-";"-";"+";"+";"-";"communal";"<E>";"Le maire a communalisé ce terrain";"?"
"90";"-";"-";"<E>";"communiser";"+";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"~";"-";"+";"-";"-";"+";"+";"-";"communiste";"<E>";"Les dirigeants ont communisé ce pays";"to make communist"
"91";"-";"-";"<E>";"compacter";"+";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"~";"-";"+";"-";"-";"+";"+";"-";"compact";"<E>";"Max compacte ses déchets";"to compact"
"92";"-";"+";"<E>";"compléter";"+";"-";"-";"+";"-";"+";"-";"+";"+";"+";"-";"+";"~";"-";"+";"-";"-";"+";"+";"+";"complet";"complet";"Max a complété sa liste par ce terme";"to complete"
"93";"-";"-";"<E>";"complexifier";"+";"-";"-";"+";"-";"+";"+";"+";"-";"-";"-";"-";"~";"-";"-";"-";"-";"+";"+";"+";"complexe";"complexe";"Max a complexifié la situation";"to make complex"
"94";"-";"+";"<E>";"compliquer";"+";"-";"-";"-";"-";"-";"+";"+";"+";"+";"-";"+";"~";"-";"+";"-";"-";"+";"+";"+";"compliqué";"compliqué";"Max complique le problème";"to complicate"
"95";"-";"-";"<E>";"confessionnaliser";"+";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"~";"-";"+";"-";"-";"+";"+";"-";"confessionnel";"<E>";"Ce décret a confessionnalisé l'enseignement";"?"
"96";"-";"-";"<E>";"confirmer";"+";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"~";"-";"+";"-";"-";"+";"+";"-";"ferme";"<E>";"Max a confirmé (la commande+le rendez-vous)";"to confirm"
"97";"-";"-";"<E>";"conforter";"+";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"~";"-";"+";"-";"-";"-";"-";"+";"<E>";"fort";"Le général a conforté sa position sur la colline";"to reinforce"
"98";"~";"~";"<E>";"conscientiser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"+";"-";"conscient";"<E>";"La crise a conscientisé les masses(E+sur ce problème)";"?"
"99";"-";"+";"<E>";"consolider";"+";"-";"-";"+";"+";"+";"-";"+";"+";"+";"-";"+";"~";"+";"+";"-";"-";"+";"-";"+";"<E>";"solide";"L'étai consolide le mur";"to reinforce"
"100";"-";"-";"<E>";"constitutionnaliser";"+";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"~";"-";"+";"-";"-";"+";"+";"-";"constitutionnel";"<E>";"Le roi a constitutionnalisé les partis";"to constitutionalize"
"101";"-";"-";"<E>";"courber";"+";"-";"-";"+";"+";"+";"-";"+";"-";"-";"-";"+";"~";"-";"+";"-";"-";"+";"+";"+";"courbe";"courbe";"Max courbe la branche";"to bend"
"102";"-";"-";"<E>";"crédibiliser";"+";"-";"-";"+";"-";"+";"+";"+";"-";"-";"-";"-";"~";"-";"-";"-";"-";"-";"+";"+";"crédible";"crédible";"Ce témoignage crédibilise vos allégations";"to make credible"
"103";"~";"~";"<E>";"créoliser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"+";"-";"créole";"<E>";"On a créolisé cette(langue+population)";"?"
"104";"-";"+";"<E>";"crétiniser";"+";"-";"+";"+";"-";"+";"-";"+";"+";"+";"-";"+";"~";"+";"-";"-";"-";"+";"+";"-";"crétin";"<E>";"La télé crétinise les masses";"to turn into a moron"
"105";"-";"-";"<E>";"creuser";"+";"-";"-";"+";"+";"-";"-";"+";"+";"+";"-";"+";"~";"-";"+";"-";"-";"+";"+";"+";"creux";"creux";"La faim creuse ses joues";"to hollow with tiredness"
"106";"-";"-";"<E>";"décimaliser";"+";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"~";"-";"-";"-";"-";"+";"+";"-";"décimal";"<E>";"Ce pays a décimalisé son système de mesure";"to decimalize"
"107";"+";"-";"<E>";"défraîchir";"+";"-";"+";"+";"+";"+";"-";"+";"+";"+";"+";"+";"~";"-";"+";"-";"-";"+";"+";"-";"défraîchi";"<E>";"Le soleil a défraîchi la veste";"to take the freshness from"
"108";"-";"-";"<E>";"dégrossir";"+";"-";"+";"-";"-";"+";"-";"+";"+";"-";"+";"+";"~";"-";"+";"-";"-";"-";"+";"-";"dégrossi";"<E>";"Max a dégrossi le bloc de bois";"to trim"
"109";"-";"-";"<E>";"démocratiser";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"+";"~";"-";"+";"-";"-";"+";"+";"+";"démocratique";"démocratique";"Max a démocratisé la constitution";"to democratize"
"110";"+";"-";"<E>";"densifier";"+";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"~";"-";"+";"-";"-";"+";"+";"+";"dense";"dense";"Un brusque afflux de voitures a densifié la circulation";"to make dense"
"111";"-";"-";"<E>";"dénucléariser";"+";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"-";"~";"-";"+";"-";"-";"+";"+";"-";"dénucléarisé";"<E>";"On a dénucléarisé l'Afrique";"?"
"112";"-";"-";"<E>";"dépersonnaliser";"+";"-";"-";"+";"-";"+";"+";"+";"-";"-";"-";"-";"~";"+";"-";"-";"-";"+";"+";"-";"impersonnel";"<E>";"La standardisation a dépersonnalisé les immeubles";"to depersonalize"
"113";"~";"~";"<E>";"désertiser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"+";"+";"désertique";"désertique";"Cette maladie a désertisé cette région";"?"
"114";"~";"~";"<E>";"déshumaniser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"+";"+";"inhumain";"inhumain";"Cette architecture déshumanise le quartier";"?"
"115";"-";"+";"<E>";"dessécher";"+";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"+";"~";"-";"+";"-";"-";"+";"+";"+";"sec";"sec";"La chaleur dessèche les plantes";"to dry out"
"116";"-";"-";"<E>";"déstabiliser";"+";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"~";"-";"-";"-";"-";"+";"+";"+";"instable";"instable";"Les terroristes déstabilisent le pays";"to destabilize"
"117";"-";"-";"<E>";"diviniser";"+";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"+";"~";"-";"+";"-";"-";"-";"+";"-";"divin";"<E>";"Max divinise son professeur";"to deify"
"118";"-";"-";"<E>";"domestiquer";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"~";"+";"+";"-";"-";"-";"+";"-";"domestique";"<E>";"Max a domestiqué le chat";"to domesticate"
