"<ID>";"N0 =: Nhum";"N0 =: Nnr";"N0 =: le fait Qu P";"N0 =: Vi-inf W";"<ENT>Ppv";"Ppv =: Neg";"<ENT>V";"Neg";"Aux =: avoir";"Aux =: être";"N0 V";"N1 =: Qu Pind";"Qu P = V0-inf W";"N1 =: Qu P = Aux V0-inf W";"Qu P = de V0-inf W";"Qu Psubj = de V0-inf W";"Qu Psubj = V0-inf W";"Tc =: passé";"Tc =: futur";"N1 =: si P ou si P";"N1 =: ce(ci+la)";"N1 =: Qu P = Ppv";"N1 =: Nhum";"N1 =: N-hum";"N1 =: le fait Qu P";"N1 = Ppv";"N0 V N1 de N2hum";"[passif par]";"[passif de]";"N0 avoir V-n pour N1";"N0 porter V-n à N1";"N1 être V-n pour N0";"N1 être V-n";"N0 avoir V-n pour N1 (forme V-n)";"N0 porter V-n à N1 (forme V-n)";"N1 être V-n pour N0 (forme V-n)";"N1 être V-n (forme V-n)";"<OPT>";"<ENGLISH>"
"23";"+";"-";"-";"-";"<E>";"-";"dénigrer";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"+";"+";"+";"-";"+";"-";"+";"+";"-";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"Max dénigre qu'on fasse de telles choses";"to denigrate"
"24";"+";"-";"-";"-";"<E>";"-";"désapprouver";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"Max désapprouve que Ted parte";"to disapprove of"
"25";"+";"-";"-";"-";"<E>";"-";"désavouer";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"Max désavoue que Ted parte";"to disown"
"26";"+";"-";"-";"-";"<E>";"-";"détester";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"+";"-";"+";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"Max déteste que Luc parle trop";"to hate"
"27";"+";"+";"+";"+";"<E>";"-";"empêcher";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"+";"-";"+";"-";"+";"+";"+";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"Max empêche Ida de réussir";"to prevent from"
"28";"+";"+";"+";"+";"<E>";"-";"encenser";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"+";"+";"-";"+";"+";"-";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"Max encense que Léa agisse ainsi";"to heap"
"29";"-";"+";"+";"+";"n'";"+";"entraver";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"Rien n'entrave que Max réussisse";"?"
"30";"+";"-";"-";"-";"<E>";"-";"envier";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"+";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"Max envie que Léa puisse faire ça";"to envy"
"31";"+";"-";"-";"-";"<E>";"-";"estimer";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"+";"+";"+";"+";"+";"+";"+";"-";"-";"estime";"estime";"<E>";"<E>";"Max estime que Léa réussisse";"to appreciate"
"32";"+";"+";"+";"+";"<E>";"-";"exalter";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"+";"+";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"Max a exalté que Luc fût mort au champ d'honneur";"to exalt"
"33";"+";"-";"-";"-";"<E>";"-";"exécrer";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"+";"-";"+";"+";"+";"+";"+";"+";"+";"-";"-";"+";"+";"<E>";"<E>";"exécration";"exécration";"Max exècre que Léa crie aussi fort";"to loathe"
"34";"+";"-";"-";"-";"<E>";"-";"fêter";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"Max a fêté Léa d'avoir réussi";"to have a celebration for"
"35";"+";"-";"-";"-";"<E>";"-";"flétrir";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"Max a flétri que Bob ait commis ce crime";"to condemn"
"36";"+";"-";"-";"-";"<E>";"-";"fustiger";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"Max fustigea que Léa boive autant";"to denounce"
"37";"-";"+";"+";"+";"ne";"+";"gêner";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";" Rien ne gêne que Max vienne";"?"
"38";"+";"-";"-";"-";"<E>";"-";"haïr";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"+";"-";"+";"+";"+";"+";"+";"+";"+";"+";"+";"-";"-";"haine";"haine";"<E>";"<E>";"Max hait que Léa porte des bas";"to hate"
"39";"+";"-";"-";"-";"<E>";"-";"honnir";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"+";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"Max honnit que Léa porte des bas";"to hold in contempt"
"40";"+";"-";"-";"-";"<E>";"-";"idolâtrer";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"+";"+";"+";"+";"-";"+";"+";"+";"+";"-";"-";"idolâtrie";"idolâtrie";"<E>";"<E>";"Max idolâtre que Léa soit aussi belle";"to idolize"
"41";"+";"-";"-";"-";"<E>";"-";"implorer";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"Max implore que Zoé revienne";"to implore"
"42";"+";"-";"-";"-";"<E>";"-";"légitimer";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"+";"+";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"Ceci légitime Max d'avoir pris cette décision";"to legitimate"
"43";"+";"-";"-";"-";"<E>";"-";"mépriser";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"+";"+";"+";"+";"+";"+";"+";"+";"+";"-";"-";"mépris";"mépris";"<E>";"<E>";"Max méprise que Léa porte des chapeaux";"to scorn"
"44";"+";"-";"-";"-";"<E>";"-";"ovationner";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"+";"+";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"On a ovationné Max d'avoir gagné";"to give one an ovation"
"45";"+";"+";"+";"+";"<E>";"-";"presser";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"-";"+";"+";"-";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"L'épidémie presse que le gouvernement prenne ces mesures";"to press"
"46";"+";"-";"-";"-";"<E>";"-";"priser";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"+";"-";"+";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"Max prise que Léa porte des dentelles";"to prize"
"47";"+";"+";"+";"+";"<E>";"-";"réfréner";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"Sa maladie réfrène que Léa boive";"to curb"
"48";"+";"-";"-";"-";"<E>";"-";"réprouver";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"+";"+";"+";"+";"+";"+";"+";"+";"+";"-";"-";"réprobation";"réprobation";"<E>";"<E>";"Max réprouve qu'Ida boive";"to reprove"
"49";"+";"-";"-";"-";"<E>";"-";"requérir";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"+";"+";"-";"+";"+";"+";"+";"-";"-";"-";"+";"<E>";"<E>";"<E>";"requête";"Max requiert que Luc vienne";"to call for"
"50";"+";"-";"-";"-";"<E>";"-";"respecter";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"+";"+";"+";"+";"+";"+";"+";"-";"-";"respect";"respect";"<E>";"<E>";"Max respecte qu'Ida ait pris cette décision";"to respect"
"51";"+";"-";"-";"-";"<E>";"-";"révérer";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"+";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"Max révère que Léa ait agi ainsi";"to revere"
"52";"+";"-";"-";"-";"<E>";"-";"saluer";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"Max a salué que Luc ait pris cette décision";"to salute"
"53";"+";"-";"-";"-";"<E>";"-";"sanctionner";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"Léa a sanctionné que Max ait volé";"to sanction"
"54";"+";"+";"+";"+";"<E>";"-";"solliciter";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"+";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"On a sollicité que Max occupe ce poste";"to solicit"
"55";"+";"-";"-";"-";"<E>";"-";"soutenir";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"+";"+";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"Max soutient que Léa ait dit cela";"to support"
"56";"+";"+";"+";"+";"<E>";"-";"stigmatiser";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"Max a stigmatisé que Bob boive autant";"to stigmatize"
"57";"+";"-";"-";"-";"<E>";"-";"subodorer";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"Luc subodore que Léa est partie";"?"
"58";"+";"-";"-";"-";"<E>";"-";"vanter";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"+";"+";"+";"+";"+";"-";"+";"+";"-";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"Max vante que Flo ait réussi";"to speak in praise of"
"59";"+";"-";"-";"-";"<E>";"-";"vénérer";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"+";"+";"+";"+";"+";"+";"+";"+";"+";"-";"-";"vénération";"vénération";"<E>";"<E>";"Max vénère qu'Ida soit belle";"to venerate"
"60";"+";"-";"-";"-";"<E>";"-";"vilipender";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"+";"+";"-";"+";"+";"-";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"Max vilipende que Léa écrive des romans";"to revile"
"61";"+";"-";"-";"-";"<E>";"-";"vitupérer";"-";"+";"-";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"+";"+";"+";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"Max a vitupéré qu'Ida travaille";"to vituperate"
"62";"+";"-";"-";"-";"<E>";"-";"vomir";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"+";"+";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"Max vomit qu'Ida accepte des pots de vin";"to loathe"

