"<ID>";"N0 =: Nhum";"N0 =: Nnr";"N0 =: le fait Qu P";"N0 =: V1-inf W";"N0 =: V2-inf W";"N0 =: V3-inf W";"<ENT>Ppv";"Ppv =: se figé";"<ENT>V";"Aux =: avoir";"Aux =: être";"N0 V";"N0 V Prép N1";"Prép1";"N1 =: Nhum";"Prép N1hum = Ppv";"N1 =: N-hum";"Prép N1-hum = Ppv";"il être Vpp Prép N1 (E+par N0)";"N0 V Prép N2";"Prép2";"N2 =: Nhum";"Prép N2hum = Ppv";"N2 =: N-hum";"Prép N2-hum = Ppv";"N0 V Prép N3";"Prép3";"N3 =: Qu Pind";"N3 =: Qu Psubj";"N3 =: V0-inf W";"N3 =: V1-inf W";"N3 =: de V1-inf W";"N3 =: V2-inf W";"N3 =: ce(ci+la)";"Prép N3 =: Prép Qu P = Ppv";"Prép N3 = Prép là";"N3 =: Nhum";"Prép N3hum = Ppv";"N3 =: N-hum";"Prép N3-hum = Ppv";"N0 V Prép N1 Prép N2";"N0 V Prép N1 Prép N3";"N0 V Prép N2 Prép N3";"<OPT>";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"11";"+";"-";"-";"-";"-";"-";"<E>";"-";"obtenir";"+";"-";"-";"-";"<E>";"-";"-";"+";"+";"+";"-";"de";"+";"-";"-";"-";"-";"pour";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"-";"Max a obtenu de Luc de l'argent pour démarrer le projet"
"12";"+";"-";"-";"-";"-";"-";"<E>";"-";"parier";"+";"-";"+";"+";"<E>";"-";"-";"+";"+";"+";"-";"à";"+";"+";"-";"-";"+";"sur";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"Max a parié un repas à Luc(E+sur ce)qu'Eva ne viendrait pas"
"13";"+";"-";"-";"-";"-";"-";"<E>";"-";"parier";"+";"-";"+";"+";"<E>";"-";"-";"+";"+";"+";"+";"avec";"+";"+";"+";"+";"+";"sur";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"+";"+";"+";"Max a parié un repas avec Luc(E+sur ce)qu'Eva ne viendrait pas"
"14";"~";"~";"~";"~";"~";"~";"<E>";"-";"payer";"+";"-";"~";"~";"<E>";"~";"~";"~";"~";"~";"~";"à";"~";"~";"~";"~";"~";"pour";"~";"~";"~";"~";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Max paye un salaire à Léa pour la transporter"
"15";"+";"-";"-";"-";"-";"-";"<E>";"-";"prétexter";"+";"-";"-";"-";"de";"-";"-";"+";"+";"-";"-";"auprès de";"+";"+";"-";"-";"-";"pour";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"Max a prétexté auprès de Luc d'un malaise pour ne pas venir"
"16";"~";"~";"~";"~";"~";"~";"se";"+";"prévaloir";"-";"+";"~";"~";"de";"~";"~";"~";"~";"~";"~";"auprès de";"~";"~";"~";"~";"~";"pour";"~";"~";"~";"~";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Max se prévaut auprès des autorités de sa nationalité pour ne pas payer d'impôts"
"17";"+";"-";"-";"-";"-";"-";"<E>";"-";"recevoir";"+";"-";"-";"+";"<E>";"-";"-";"+";"+";"+";"-";"de";"+";"-";"-";"-";"-";"pour";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"-";"Max a reçu de l'argent du gouvernement pour travailler"
"18";"+";"+";"+";"+";"-";"-";"<E>";"-";"recevoir";"+";"-";"-";"-";"de";"+";"-";"-";"-";"-";"-";"comme";"-";"-";"+";"-";"-";"<E>";"-";"+";"+";"-";"-";"-";"+";"+";"-";"-";"-";"+";"+";"-";"-";"+";"Max a reçu de Luc comme garantie qu'il aurait une prime"
"19";"+";"-";"-";"-";"-";"-";"<E>";"-";"rendre";"+";"-";"-";"-";"en";"-";"-";"+";"-";"-";"-";"Loc";"-";"-";"+";"+";"-";"<E>";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"+";"-";"+";"+";"Paul a rendu cette expression en anglais dans son texte"
"20";"+";"-";"-";"-";"-";"-";"<E>";"-";"retraduire";"+";"-";"+";"-";"de";"-";"-";"+";"-";"-";"-";"à";"-";"-";"+";"-";"+";"<E>";"+";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"+";"+";"+";"+";"-";"Max a retraduit ce texte du turc à l'anglais"
"21";"+";"-";"-";"-";"-";"-";"<E>";"-";"retraduire";"+";"-";"+";"-";"de";"-";"-";"+";"-";"-";"+";"en";"-";"-";"+";"-";"+";"<E>";"+";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"+";"+";"+";"+";"+";"Max a retraduit ce texte du turc en anglais"
"22";"-";"+";"+";"+";"-";"-";"<E>";"-";"servir";"+";"-";"-";"-";"à";"+";"+";"-";"-";"-";"-";"de";"-";"-";"+";"+";"+";"pour";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"-";"Qu'Ida soit partie sert de prétexte à Max pour la congédier"
"23";"+";"-";"-";"-";"-";"-";"<E>";"-";"signaler";"+";"-";"-";"~";"à";"+";"+";"+";"-";"-";"-";"par";"-";"-";"+";"+";"+";"<E>";"+";"-";"+";"-";"-";"-";"+";"+";"-";"+";"+";"+";"+";"-";"+";"+";"On signale le danger aux passants par le feu"
"24";"+";"-";"-";"-";"-";"-";"<E>";"-";"soudoyer";"+";"-";"-";"+";"<E>";"+";"+";"-";"-";"+";"-";"par";"-";"-";"+";"-";"-";"pour";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"-";"Max a soudoyé Luc pour lui faire laver la vaisselle"
"25";"+";"-";"-";"-";"-";"-";"<E>";"-";"traduire";"+";"-";"+";"-";"de";"-";"-";"+";"-";"-";"-";"à";"-";"-";"+";"-";"+";"<E>";"+";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"+";"+";"+";"+";"-";"Max a traduit ce texte de l'anglais au turc"
"26";"+";"-";"-";"-";"-";"-";"<E>";"-";"traduire";"+";"-";"+";"-";"de";"-";"-";"+";"-";"-";"+";"en";"-";"-";"+";"-";"+";"<E>";"+";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"+";"+";"+";"+";"+";"Max a traduit ce texte d'anglais en turc"

