"<ID>";"N0 être V-n";"N0 lieu de destination de N2";"N1 V";"<ENT>Ppv";"<ENT>V";"Aux =: avoir";"Aux =: être";"N1 =: Nhum";"N0 V N0pc W";"N1 =: N-hum";"N1 =: le fait Qu P";"N1 être V-n";"N0 V N1";"N1 être Vpp (statique)";"N2 =: Nhum";"N2 =: N-hum";"N2 être V-n, Sfx = E";"N2 =: Npl obl";"N2 être V-n, Sfx # E";"Sfx =: age";"Sfx =: ment";"Sfx =: tion";"Sfx =: ure";"Ppv =: en";"V-n instrument";"de N2 =: de combien ?";"N0 V N2 (E+de N1 source)";"N0 V N2";"à Nhum source";"N1 =: texte, N2 =: mot";"N1 =: esprit, N2 =: idée";"N0 V N1hum de N2abs";"N0 être V-n (forme V-n)";"N1 être V-n (forme V-n)";"V-n instrument (forme V-n)";"<OPT>"
"22";"~";"~";"~";"<E>";"cisailler";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"Max a cisaillé la haie de tout ce qui dépassait"
"23";"-";"-";"-";"<E>";"corriger";"+";"-";"+";"-";"+";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"~";"+";"+";"+";"+";"<E>";"<E>";"<E>";"Max corrige Luc de ses erreurs"
"24";"-";"+";"-";"<E>";"couillonner";"+";"-";"+";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"~";"-";"-";"-";"-";"<E>";"couillon";"<E>";"Max a couillonné Luc de dix francs"
"25";"-";"-";"-";"<E>";"cribler";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"~";"-";"+";"+";"-";"<E>";"<E>";"crible";"Max a criblé les pois de leurs cailloux"
"26";"-";"-";"-";"<E>";"curer";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"~";"-";"-";"+";"-";"<E>";"<E>";"<E>";"Max cure le puits de sa merde"
"27";"-";"-";"-";"<E>";"cureter";"+";"-";"+";"-";"+";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"~";"+";"-";"-";"-";"<E>";"<E>";"curette";"Max a cureté l'utérus d'Ida de son pus"
"28";"-";"-";"-";"<E>";"débarder";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"~";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Les dockers débardent le bateau de ses marchandises"
"29";"-";"+";"-";"<E>";"débarrasser";"+";"-";"+";"-";"+";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"~";"-";"+";"+";"+";"<E>";"<E>";"<E>";"Max débarrasse la pièce de ses meubles"
"30";"-";"-";"-";"<E>";"débiter";"+";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"+";"~";"+";"-";"-";"-";"<E>";"<E>";"<E>";"Max débite le compte de Luc de dix francs"
"31";"-";"-";"-";"<E>";"déblayer";"+";"-";"-";"-";"+";"+";"-";"+";"+";"+";"+";"+";"+";"+";"-";"-";"-";"+";"+";"-";"-";"+";"~";"-";"+";"+";"-";"<E>";"<E>";"<E>";"Max déblaie la pièce des gravats"
"32";"-";"-";"-";"<E>";"débourber";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"~";"-";"+";"+";"+";"<E>";"<E>";"<E>";"Max a débourbé le lac de sa vase"
"33";"~";"~";"~";"<E>";"débourrer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"Max a débourré les peaux de leurs poils"
"34";"-";"-";"-";"<E>";"débroussailler";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"~";"-";"+";"+";"-";"<E>";"<E>";"<E>";"Max a débroussaillé la clairière de tous les buissons morts"
"35";"-";"-";"-";"<E>";"décaféiner";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"~";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Le procédé décafeine l'arabica"
"36";"-";"-";"+";"<E>";"décanter";"+";"-";"-";"-";"+";"+";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"~";"-";"+";"+";"-";"<E>";"<E>";"<E>";"Max décante le vin de sa lie"
"37";"-";"-";"-";"<E>";"décaper";"+";"-";"-";"-";"+";"+";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"~";"-";"+";"+";"+";"<E>";"<E>";"<E>";"Max décape le bar de ses taches"
"38";"-";"-";"-";"<E>";"décapiter";"+";"-";"+";"-";"+";"-";"-";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"~";"+";"+";"-";"-";"<E>";"<E>";"<E>";"On a décapité le réseau de son chef"
"39";"-";"-";"-";"<E>";"décarcasser";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"~";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max a décarcassé le poulet"
"40";"-";"-";"-";"<E>";"décaver";"+";"-";"+";"-";"-";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"~";"-";"-";"-";"-";"<E>";"<E>";"<E>";"La crise a décavé Max de tous ses fonds"
"41";"~";"~";"~";"<E>";"décharger";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"Luc a déchargé Max de ce crime"
"42";"-";"-";"-";"<E>";"déchaumer";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"~";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max a déchaumé le champ de la paille"
"43";"~";"~";"~";"<E>";"décintrer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"Les ouvriers ont décintré la voûte de ses cintres"
"44";"~";"~";"~";"<E>";"décombrer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"On a décombré la cour des gravas"
"45";"-";"-";"-";"<E>";"décontaminer";"+";"-";"+";"-";"+";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"~";"-";"+";"+";"+";"<E>";"<E>";"<E>";"On a décontaminé la fusée de tous les microbes"
"46";"~";"~";"~";"<E>";"décoquiller";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"Max a décoquillé les escargots(E+de leur coquille)"
"47";"-";"-";"-";"<E>";"décorder";"+";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"~";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Le guide a décordé Max(E+de sa corde)"
"48";"~";"~";"~";"<E>";"décorner";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"L'éleveur a décorné ses boeufs"
"49";"-";"-";"-";"<E>";"décortiquer";"+";"-";"-";"-";"+";"+";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"~";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max décortique les noix de sa coque"
"50";"~";"~";"~";"<E>";"découenner";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"Le charcutier découenne les jambons(E+de leur couenne)"
"51";"-";"-";"-";"<E>";"décrasser";"+";"-";"+";"-";"+";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"~";"-";"+";"+";"+";"<E>";"<E>";"<E>";"Max a décrassé le mur de sa liane"
"52";"-";"-";"-";"<E>";"déculasser";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"~";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max déculasse le moteur de sa culasse"
"53";"-";"-";"-";"<E>";"déculotter";"+";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"~";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max déculotte Ida de son slip"
"54";"-";"-";"-";"<E>";"déculturer";"+";"-";"+";"-";"+";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"~";"-";"-";"-";"+";"<E>";"<E>";"<E>";"La télé a déculturé les masses"
"55";"~";"~";"~";"<E>";"défaire";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"Max s'est défait de ses illusions"
"56";"-";"-";"-";"<E>";"défausser";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"~";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max défausse (son jeu+sa main)du roi de coeur"
"57";"-";"-";"-";"<E>";"défeuiller";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"+";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"+";"~";"-";"-";"-";"-";"<E>";"<E>";"<E>";"L'hiver défeuille les arbres de leurs feuilles"
"58";"~";"~";"~";"<E>";"défibrer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"Ce procédé défibre le bois de ses fibres"
"59";"-";"-";"-";"<E>";"défolier";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"~";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max a défolié la région de toute végétation"
"60";"~";"~";"~";"<E>";"défrayer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"Max a défrayé Luc de ses épreuves"
"61";"~";"~";"~";"<E>";"défricher";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"Max défriche ce terrain des mauvaise herbes"
"62";"-";"-";"+";"<E>";"défroquer";"+";"-";"+";"-";"-";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"~";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max défroque Luc de son froc"
"63";"-";"-";"-";"<E>";"dégager";"+";"-";"-";"-";"+";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"~";"-";"+";"+";"+";"<E>";"<E>";"<E>";"Jo dégage le couloir des meubles"
"64";"-";"-";"-";"<E>";"dégarnir";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"~";"-";"+";"+";"+";"<E>";"<E>";"<E>";"L'hiver dégarnit les arbres de leurs feuilles"
"65";"-";"-";"+";"<E>";"dégazer";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"~";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max dégaze son pétrolier des résidus"
"66";"-";"-";"-";"<E>";"dégermer";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"~";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max a dégermé les patates de leurs pousses"
"67";"-";"-";"+";"<E>";"dégorger";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"~";"-";"+";"+";"-";"<E>";"<E>";"<E>";"Max a dégorgé les concombres de leur eau"
"68";"-";"-";"-";"<E>";"dégoupiller";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"~";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max dégoupille la grenade de sa goupille"
"69";"-";"-";"-";"<E>";"dégraisser";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"~";"-";"-";"+";"-";"<E>";"<E>";"<E>";"Le teinturier dégraisse la veste des tâches"
"70";"~";"~";"~";"<E>";"dégraisser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"Max a dégraissé ce service de tous les éléments indésirables"
"71";"~";"~";"~";"<E>";"dégraisser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"Max dégraisse le bouillon de graisse"
"72";"-";"-";"-";"<E>";"dégrever";"+";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"+";"~";"+";"-";"-";"-";"<E>";"<E>";"<E>";"Cette loi dégrève Max de tout impôt"
"73";"-";"-";"-";"<E>";"délaver";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"~";"-";"-";"-";"-";"<E>";"<E>";"<E>";"L'eau délave (le mur+la terre)de sa couleur"
"74";"-";"+";"-";"<E>";"délester";"+";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"~";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max a délesté l'autoroute du trop plein de voiture"
"75";"-";"-";"-";"<E>";"délester";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"~";"-";"+";"+";"+";"<E>";"<E>";"<E>";"Max a délesté Luc de(dix francs+son sac)"
"76";"-";"-";"-";"<E>";"déloquer";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"~";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max a déloqué Ida de ses fringues"
"77";"-";"-";"+";"<E>";"démailler";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"~";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Ida a démaillé le pull"
"78";"-";"-";"-";"<E>";"démailloter";"+";"-";"+";"-";"+";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"~";"+";"-";"-";"-";"<E>";"<E>";"<E>";"Max a démailloté le bébé de ses langes"
"79";"~";"~";"~";"<E>";"démancher";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"Max a démanché le marteau"
"80";"-";"-";"-";"<E>";"démarquer";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"~";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max démarque les robes de leurs griffes"
"81";"-";"-";"+";"<E>";"démâter";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"~";"-";"-";"-";"-";"<E>";"<E>";"<E>";"(Max+La tempête)a démâté le bateau de tous ses mâts"
"82";"~";"~";"~";"<E>";"démazouter";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"Le bateau a démazouté (E+ses cuves)"
"83";"-";"-";"-";"<E>";"déménager";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"~";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Guy déménage la pièce de tous les objets inutiles"
"84";"-";"-";"-";"<E>";"déminéraliser";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"~";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Le procédé déminéralise l'eau de son calcaire"
"85";"-";"-";"-";"<E>";"démonétiser";"+";"-";"-";"-";"+";"-";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"~";"-";"-";"-";"-";"<E>";"monnaie";"<E>";"Ce décret démonétise les billets de leur valeur"
"86";"-";"-";"-";"<E>";"démoustiquer";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"~";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max a démoustiqué les marais de leurs hôtes"
"87";"-";"-";"-";"<E>";"déneiger";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"~";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max a déneigé la route d'une énorme couche"
"88";"-";"-";"-";"<E>";"dénerver";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"~";"-";"+";"+";"+";"<E>";"<E>";"<E>";"Max dénerve la viande de ses tendons"
"89";"-";"-";"-";"<E>";"dénoyauter";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"~";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max dénoyaute les prunes de leur noyau"
"90";"-";"-";"-";"<E>";"dénuder";"+";"-";"+";"-";"+";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"~";"-";"+";"+";"+";"<E>";"<E>";"<E>";"Max a dénudé le fil de sa gaine"
"91";"-";"-";"-";"<E>";"dénuer";"+";"-";"+";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"~";"-";"-";"-";"+";"<E>";"<E>";"<E>";"Ce texte dénue son livre de tout contenu"
"92";"-";"-";"-";"<E>";"déodorer";"+";"-";"+";"-";"+";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"~";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Ida déodore les aisselles avec un déodorant"
"93";"-";"-";"-";"<E>";"dépaqueter";"+";"-";"-";"-";"+";"-";"+";"+";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"~";"-";"-";"-";"-";"<E>";"paquet";"<E>";"Max a dépaqueté les portes de leur papier"
"94";"-";"-";"-";"<E>";"dépiauter";"+";"-";"-";"-";"+";"+";"-";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"~";"-";"+";"+";"-";"<E>";"<E>";"<E>";"Max a dépiauté le lapin de sa peau"
"95";"~";"~";"~";"<E>";"dépigeonner";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"On a dépigeonné la ville de ses pigeons"
