"<ID>";"N1 V W";"N2 V N1";"<ENT>Ppv";"<ENT>V";"Aux =: avoir";"Aux =: être";"dé-V";"N1 =: Nhum";"N1 =: N-hum";"N1 =: Npc obl";"N0 V N1";"Prép2 =: avec";"Prép2 =: dans";"Prép2 =: en";"N2 =: Nhum";"N2 =: N-hum";"N2 =: trou";"N2 =: couche";"N2 =: coup";"N2 apparition";"N2 =: Npl obl";"N2 être V-n, Sfx = E";"N2 être V-n, Sfx # E";"Sfx =: age";"Sfx =: ment";"Sfx =: tion";"Sfx =: ure";"V-n instrument";"N1 =: texte, N2 =: mot";"N1 =: esprit, N2 =: idée";"N0 V N1hum de N2abs";"N0 V N2 (E+Loc N1 destination)";"N0 mettre V-n Loc N1";"N0 faire V-n Prép N1";"N0 donner V-n à N1";"N0 donner à N1 (une apparence Vpp+l'apparence de V-n)";"N0 lancer V-n Loc N1";"V-n instrument (forme V-n)";"<OPT>"
"38";"+";"+";"<E>";"denteler";"+";"-";"-";"~";"+";"-";"+";"-";"-";"-";"~";"+";"+";"-";"-";"+";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"<E>";"Max a dentelé le tissu de petites dents"
"39";"-";"+";"<E>";"denter";"+";"-";"-";"~";"+";"-";"+";"-";"-";"-";"~";"+";"-";"-";"-";"+";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"On a denté (les roues+le pignon)"
"40";"-";"+";"<E>";"échancrer";"+";"-";"-";"~";"+";"-";"+";"-";"-";"-";"~";"+";"+";"-";"-";"+";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"Max a échancré la robe d'une large ouverture"
"41";"-";"-";"<E>";"écorcher";"+";"-";"-";"~";"+";"-";"+";"-";"-";"-";"~";"+";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"<E>";"L'épine a écorché son bras d'une longue estafilade"
"42";"-";"+";"<E>";"égratigner";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"~";"+";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"+";"+";"+";"-";"-";"+";"-";"-";"-";"<E>";"Le frottement lui avait égratigné le de nombreuses estafilades"
"43";"~";"~";"<E>";"empoisonner";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~";"+";"-";"-";"-";"-";"<E>";"Max a empoisonné le vin"
"44";"~";"~";"<E>";"encadrer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~";"+";"+";"-";"-";"-";"<E>";"Max encadre le paragraphe d'un trait noir"
"45";"-";"+";"<E>";"encocher";"+";"-";"-";"~";"+";"-";"+";"-";"-";"-";"~";"+";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"<E>";"Max a encoché la planchette"
"46";"+";"+";"<E>";"enfler";"+";"-";"+";"~";"+";"-";"+";"-";"-";"-";"~";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"La chaleur lui avait enflé les jambes"
"47";"-";"+";"<E>";"enluminer";"+";"-";"-";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"+";"+";"-";"+";"+";"+";"-";"-";"-";"<E>";"Le vin enluminait les trognes de reflets rubiconds"
"48";"-";"+";"<E>";"entailler";"+";"-";"-";"~";"+";"-";"+";"-";"-";"-";"~";"+";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"L'épée lui entailla le torse d'une large blessure"
"49";"-";"-";"<E>";"érafler";"+";"-";"-";"~";"+";"-";"+";"-";"-";"-";"~";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"La branche lui a éraflé la joue d'une longue balafre"
"50";"~";"~";"<E>";"escarrifier";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~";"-";"+";"-";"-";"-";"<E>";"Cette immobilité a escarrifié le dos de Paul d'escarres"
"51";"-";"+";"<E>";"estamper";"+";"-";"-";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"+";"+";"-";"-";"-";"<E>";"Max estampe le bijou d'un poinçon"
"52";"-";"+";"<E>";"étoiler";"+";"-";"-";"~";"+";"-";"+";"-";"-";"+";"~";"+";"-";"-";"-";"+";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"La balle a étoilé la pare-brise de fêlures en étoile"
"53";"~";"~";"<E>";"excaver";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"+";"-";"-";"+";"-";"-";"~";"~";"~";"~";"-";"+";"-";"-";"-";"<E>";"On a excavé le sol d'un grand trou"
"54";"+";"-";"<E>";"fêler";"+";"-";"-";"~";"+";"-";"+";"-";"-";"-";"~";"+";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"Le choc a fêlé le pare-brise de fêlures en étoile"
"55";"+";"-";"<E>";"fendiller";"+";"-";"-";"~";"+";"-";"+";"-";"-";"-";"~";"+";"+";"-";"-";"+";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"Un long usage avait fendillé le cuir de multiples fissures"
"56";"-";"+";"<E>";"fendre";"+";"-";"-";"~";"+";"-";"+";"+";"-";"-";"~";"+";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"<E>";"L'humidité a fendu la planche de fentes"
"57";"~";"~";"<E>";"feuilleter";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"-";"+";"-";"-";"-";"-";"~";"~";"~";"~";"+";"-";"-";"-";"-";"<E>";"Max a feuilleté la pâte d'un feuilletage léger"
"58";"-";"-";"<E>";"fileter";"+";"-";"-";"~";"+";"-";"+";"-";"-";"-";"~";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"<E>";"On a fileté la tige d'un pas anglais"
"59";"-";"+";"<E>";"filigraner";"+";"-";"-";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"<E>";"On filigrane le papier des billets d'un motif compliqué"
"60";"+";"-";"<E>";"fissurer";"+";"-";"-";"~";"+";"-";"+";"-";"-";"-";"~";"+";"-";"-";"-";"+";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"<E>";"Le temps a fissuré le plafond de lézards"
"61";"-";"+";"<E>";"forer";"+";"-";"-";"~";"+";"-";"+";"-";"-";"-";"~";"+";"+";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"<E>";"Max a foré le sol de galeries multiples"
"62";"-";"+";"<E>";"fracturer";"+";"-";"-";"~";"+";"-";"+";"-";"-";"-";"~";"+";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"Le choc a fracturé le tibia"
"63";"-";"+";"<E>";"fraiser";"+";"-";"-";"~";"+";"-";"+";"-";"-";"-";"~";"+";"+";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"fraise";"Max a fraisé la dent d'un trou"
"64";"+";"+";"<E>";"friser";"+";"-";"+";"~";"+";"+";"+";"-";"-";"-";"~";"+";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"Max a frisé (E+cheveux d')Ida de jolies frisettes"
"65";"+";"+";"<E>";"frisotter";"+";"-";"+";"~";"+";"+";"+";"-";"-";"-";"~";"+";"-";"-";"-";"+";"+";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"Max a frisotté (E+les cheveux d')Ida de bouclettes ridicules"
"66";"+";"-";"<E>";"froncer";"+";"-";"+";"~";"+";"-";"+";"-";"-";"-";"~";"+";"-";"-";"-";"+";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"Max a froncé le rideau de plis réguliers"
"67";"+";"+";"<E>";"gaufrer";"+";"-";"+";"~";"+";"-";"+";"-";"-";"-";"~";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"On gaufre le tissu de motifs réguliers"
"68";"+";"+";"<E>";"gercer";"+";"-";"-";"~";"+";"+";"+";"-";"-";"-";"~";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"Le froid a gercé les lèvres de Max"
"69";"+";"+";"<E>";"gondoler";"+";"-";"+";"~";"+";"-";"+";"-";"-";"-";"~";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"L'humidité a gondolé le placage"
"70";"+";"+";"<E>";"gonfler";"+";"-";"+";"~";"+";"-";"+";"-";"-";"-";"~";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"+";"+";"+";"+";"-";"+";"-";"-";"-";"<E>";"L'alcool avait gonflé son visage de bouffissures malsaines"
"71";"-";"+";"<E>";"graver";"+";"-";"-";"~";"+";"-";"+";"-";"-";"-";"~";"+";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"+";"+";"-";"+";"-";"-";"-";"<E>";"Jo a gravé la plaque de gravures psychédiliques"
"72";"~";"~";"<E>";"graver";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"+";"-";"-";"-";"+";"-";"~";"~";"~";"~";"-";"+";"-";"-";"-";"<E>";"Max a gravé la plaque de son nom"
"73";"+";"+";"<E>";"grêler";"+";"-";"-";"~";"+";"+";"+";"-";"-";"-";"~";"+";"+";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"La variole a grêlé le visage de Max de marques profondes"
"74";"-";"+";"<E>";"griffer";"+";"-";"-";"~";"+";"-";"+";"-";"-";"-";"~";"+";"-";"-";"-";"+";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"<E>";"Le chat a griffé Max d'une longue balafre"
"75";"+";"+";"<E>";"grumeler";"+";"-";"-";"~";"+";"-";"+";"-";"-";"-";"~";"+";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"Un excès de chaleur a grumelé la sauce"
"76";"-";"+";"<E>";"guillocher";"+";"-";"-";"~";"+";"-";"+";"-";"-";"-";"~";"+";"+";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"Max a guilloché le miroir de creux réguliers"
"77";"~";"~";"<E>";"horodater";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"+";"+";"-";"-";"-";"-";"~";"~";"~";"~";"+";"-";"-";"-";"-";"<E>";"Cet appareil horodate les tickets"
"78";"-";"-";"<E>";"inciser";"+";"-";"-";"~";"+";"-";"+";"-";"-";"-";"~";"+";"+";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"<E>";"Max a incisé l'écorce d'une fente verticale"
"79";"~";"~";"<E>";"indenter";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"+";"-";"-";"+";"-";"-";"~";"~";"~";"~";"-";"+";"-";"-";"-";"<E>";"On a indenté ce paragraphe d'une indentation de 3 caractères"
"80";"-";"-";"<E>";"labourer";"+";"-";"-";"~";"+";"-";"+";"-";"-";"-";"~";"+";"+";"-";"-";"+";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"<E>";"Max laboure le champ de sillons réguliers"
"81";"-";"+";"<E>";"lacérer";"+";"-";"-";"~";"+";"-";"+";"-";"-";"-";"~";"+";"+";"-";"-";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"La griffe lui a lacéré le visage d'une estafilade"
"82";"-";"-";"<E>";"larder";"+";"-";"-";"~";"+";"-";"+";"-";"-";"-";"~";"+";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"<E>";"Max a lardé Luc de coups d'épingles"
"83";"-";"+";"<E>";"lézarder";"+";"-";"-";"~";"+";"-";"+";"-";"-";"-";"~";"+";"+";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"<E>";"La secousse a lézardé le mur de fines crevasses"
"84";"~";"~";"<E>";"mâchurer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~";"-";"-";"-";"-";"-";"<E>";"L'étau a mâchuré le tuyau de machines"
"85";"-";"+";"<E>";"marteler";"+";"-";"-";"~";"+";"-";"+";"-";"-";"-";"~";"+";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"<E>";"Max martèle le plat de dessus en creux"
"86";"-";"-";"<E>";"meurtrir";"+";"-";"-";"~";"+";"+";"+";"-";"-";"-";"~";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"<E>";"Le coup lui a meurtri le bras"
"87";"-";"+";"<E>";"miner";"+";"-";"-";"~";"+";"-";"+";"-";"-";"-";"~";"+";"+";"-";"-";"+";"-";"+";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"La mer a miné la falaise de nombreuses cavités"
"88";"-";"+";"<E>";"miter";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"~";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"Les mites ont mité l'étoffe de trous innombrables"
"89";"~";"~";"<E>";"moirer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~";"-";"+";"-";"-";"-";"<E>";"On moire la soie à chaud"
"90";"-";"-";"<E>";"mortaiser";"+";"-";"-";"~";"+";"-";"+";"-";"-";"-";"~";"+";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"Max mortaise le madrier en queue d'aronde"
