"<ID>";"N0 =: Nhum";"N0 =: N-hum";"N0 =: Nnr";"N0 =: V-inf W";"N0 être V-n";"<ENT>Ppv";"Ppv =: se figé";"Ppv =: en figé";"Ppv =: le figé";"Ppv =: y figé";"Ppv =: Neg";"<ENT>V";"Neg";"Aux =: avoir";"Aux =: être";"Prép1";"thèmeN1";"N0 V";"N0 être V-ant";"N0 être Vpp";"N0pc lui V W";"N0 V de N0pc";"N1 =: Nhum";"N0 lui V Prép N1pc";"N0 V Prép N0pc";"N1 =: N-hum";"N1 =: Qu Pind";"N1 =: Qu Psubj";"N1 =: V0-inf W";"N1 =: le fait Qu P";"Ppv =: y";"Ppv =: en";"N0 (E+Ppv) V (Prép+Prép-adv)";"N1 être V-n";"N1 =: Npl obl";"N0 V de N0pc W";"N0hum V W sur ce point";"N0 être V-ant Prép N1";"[extrap]";"N0 être V-n (forme V-n)";"N1 être V-n (forme V-n)";"<OPT>"
"11";"~";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"-";"achopper";"-";"+";"-";"Loc";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Paul a achoppé sur un caillou"
"12";"+";"-";"-";"-";"-";"s'";"+";"-";"-";"-";"-";"afficher";"-";"-";"+";"avec";"<E>";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"<E>";"<E>";"Max s' affiche avec Ida"
"13";"~";"~";"~";"~";"~";"s'";"+";"-";"-";"-";"-";"affirmer";"-";"-";"+";"comme";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max s' affirme (E+comme)un directeur incompétent"
"14";"+";"+";"+";"+";"-";"<E>";"-";"-";"-";"-";"-";"agir";"-";"+";"-";"auprès";"autorité";"+";"+";"-";"+";"-";"+";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"<E>";"<E>";"Max agit efficacement auprès des autorités"
"15";"+";"+";"+";"+";"-";"<E>";"-";"-";"-";"-";"-";"aller";"-";"-";"+";"avec";"<E>";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"<E>";"<E>";"Cette couleur va avec ce ton"
"16";"~";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"-";"aller";"-";"-";"+";"au-devant de";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max va au devant des désirs de Luc"
"17";"+";"+";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"aller";"-";"-";"+";"sur ses";"Dnum ans";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"<E>";"<E>";"Max va sur ses dix ans"
"18";"-";"+";"-";"-";"-";"s'en";"+";"+";"-";"-";"-";"aller";"-";"-";"+";"en";"dépenses";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"<E>";"<E>";"Son argent s'en va en disques"
"19";"+";"-";"-";"-";"-";"y";"-";"-";"-";"+";"-";"aller";"-";"-";"+";"de sa";"chanson";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"<E>";"<E>";"Max y est allé de sa chanson"
"20";"+";"-";"-";"-";"-";"y";"-";"-";"-";"+";"-";"aller Advm";"-";"-";"+";"avec";"<E>";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"Max y va lourdement avec Luc"
"21";"+";"-";"-";"-";"-";"s'";"+";"-";"-";"~";"-";"amouracher";"-";"-";"+";"de";"<E>";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"<E>";"<E>";"Max s' amourache d'Ida"
"22";"~";"~";"~";"~";"~";"s'";"+";"-";"-";"-";"-";"amuser";"-";"-";"+";"avec";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max s' amuse curieusement avec des cubes"
"23";"+";"-";"-";"-";"-";"s'";"+";"-";"-";"-";"-";"amuser";"-";"-";"+";"de";"<E>";"+";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"+";"<E>";"<E>";"Paul s' amuse de (Marie+d'un rien+la situation)"
"24";"+";"+";"+";"+";"-";"<E>";"-";"-";"-";"-";"-";"anticiper";"-";"+";"-";"sur";"résultat";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"Max anticipe sur cette loi"
"25";"+";"-";"-";"-";"-";"s'";"+";"-";"-";"-";"-";"aplatir";"-";"-";"+";"devant";"autorité";"+";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"<E>";"<E>";"Max s' aplatit devant son chef"
"26";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"appeler";"-";"+";"-";"de";"jugement";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"<E>";"<E>";"Max appelle de ce jugement"
"27";"+";"-";"-";"-";"-";"en";"-";"+";"-";"-";"-";"appeler";"-";"+";"-";"de";"décision";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"Max en appelle de cette décision"
"28";"+";"-";"-";"-";"-";"s'";"+";"-";"-";"-";"-";"appesantir";"-";"-";"+";"sur";"sujet";"+";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"+";"<E>";"<E>";"Max s' appesantit sur ce détail"
"29";"~";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"-";"appuyer";"-";"+";"-";"sur";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max appuie sur les erreurs de Luc"
"30";"~";"~";"~";"~";"~";"s'";"+";"-";"-";"-";"-";"arranger";"-";"-";"+";"avec";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max s' arrange avec sa conscience"
"31";"+";"-";"-";"-";"-";"s'";"+";"-";"-";"-";"-";"asseoir";"-";"-";"+";"sur";"loi";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"<E>";"<E>";"Guy s' assied sur mes conseils"
"32";"+";"-";"-";"-";"-";"s'";"+";"-";"-";"-";"-";"assurer";"-";"-";"+";"de";"<E>";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"La police s'est assurée de Max"
"33";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"attendre";"-";"+";"-";"après";"paye";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"<E>";"<E>";"Max attend après sa paye"
"34";"~";"~";"~";"~";"~";"n'";"-";"-";"-";"-";"+";"attendre pas";"+";"+";"-";"après";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max n' attend pas après ton argent"
"35";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"attiger";"-";"+";"-";"avec";"loi";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"Max attige avec la loi"
"36";"-";"+";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"avancer";"-";"+";"-";"sur";"son temps";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"<E>";"<E>";"Max avance sur son temps"
"37";"~";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"-";"avancer";"-";"+";"-";"de";"temps";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Ta montre avance (E+d'une minute par heure) "
"38";"~";"~";"~";"~";"~";"s'";"+";"-";"-";"-";"-";"aveugler";"-";"+";"-";"sur";"possibilités";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max s'aveugle sur ses possibilités"
"39";"+";"-";"-";"-";"-";"en";"-";"+";"-";"-";"-";"avoir";"-";"+";"-";"après";"<E>";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"Max en a après Luc"
"40";"+";"-";"-";"-";"-";"en";"-";"+";"-";"-";"-";"avoir";"-";"+";"-";"contre";"<E>";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"Max en a contre Luc"
"41";"~";"~";"~";"~";"~";"en";"-";"+";"-";"-";"-";"avoir";"-";"+";"-";"pour";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max en a pour dix francs"
"42";"+";"-";"-";"-";"-";"ne";"-";"-";"-";"-";"+";"badiner";"+";"+";"-";"avec";"loi";"+";"-";"-";"-";"-";"+";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"<E>";"<E>";"Max ne badine pas avec le règlement"
"43";"~";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"-";"balancer";"-";"+";"-";"entre";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max balance entre Luc et Ida"
"44";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"banqueter";"-";"+";"-";"de";"nourriture";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"<E>";"banquet";"Les invités ont banqueter de homards"
"45";"~";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"-";"battre";"-";"+";"-";"de";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Paul bat des(mains+pieds)"
"46";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"baver";"-";"+";"-";"sur";"<E>";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"+";"<E>";"<E>";"Max bave sur le compte de Luc"
"47";"+";"-";"-";"-";"-";"en";"-";"+";"-";"-";"-";"baver";"-";"+";"-";"avec";"<E>";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"Max en bave avec Luc"
"48";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"biaiser";"-";"+";"-";"avec";"loi";"+";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"Max biaise avec la loi"
"49";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"bigler";"-";"+";"-";"sur";"<E>";"-";"-";"-";"-";"+";"+";"+";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"<E>";"<E>";"Max bigle sur Ida"
"50";"~";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"-";"blaguer";"-";"+";"-";"sur";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max blague sur les projets de Luc"
"51";"+";"-";"-";"-";"-";"ne";"-";"-";"-";"-";"+";"blaguer";"+";"+";"-";"avec";"loi";"+";"-";"-";"-";"-";"+";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"<E>";"<E>";"Max ne blague pas avec le règlement"
"52";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"bondir";"-";"+";"-";"sur";"épée";"+";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"+";"<E>";"<E>";"Max a bondi sur son épée"
"53";"~";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"-";"bouffer";"-";"+";"-";"de";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max bouffe d'un sandwich"
"54";"~";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"-";"bouillonner";"-";"+";"-";"de";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max bouillonne (d'idées+de projets)"
"55";"~";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"-";"boulotter";"-";"+";"-";"de";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max boulotte d'un sandwich"
"56";"~";"~";"~";"~";"~";"se";"+";"-";"-";"-";"-";"bousculer";"-";"-";"+";"pour";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"On ne se bouscule pas pour ce travail"
"57";"~";"~";"~";"~";"~";"ne";"-";"-";"-";"-";"+";"briller";"+";"+";"-";"par";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max ne brille pas par son intelligence"
"58";"~";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"-";"briser";"-";"+";"-";"avec";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a brisé avec son passé"
"59";"~";"~";"~";"~";"~";"se";"+";"-";"-";"-";"-";"briser";"-";"-";"+";"sur";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Cet espoir s'est brisé sur la réalité"
"60";"~";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"-";"bruncher";"-";"+";"-";"de";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a brunché d'une omelette"
"61";"+";"-";"-";"-";"-";"se";"+";"-";"-";"-";"-";"cacher";"-";"-";"+";"de";"<E>";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"<E>";"<E>";"Max se cache de Luc"
"62";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"calculer";"-";"+";"-";"sur";"tout";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"<E>";"<E>";"Max calcule sur(tout+ses dépenses)"
"63";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"caler";"-";"+";"-";"sur";"steak";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"<E>";"<E>";"Max a calé sur son plat"
"64";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"caner";"-";"+";"-";"devant";"problème";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"<E>";"<E>";"Max a cané devant la difficulté"
"65";"~";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"-";"canner";"-";"+";"-";"devant";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a canné devant la difficulté"
"66";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"capituler";"-";"+";"-";"devant";"<E>";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"<E>";"<E>";"Max capitule devant l'ennemi"
"67";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"cartonner";"-";"+";"-";"sur";"sujet";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"<E>";"carton";"Max a cartonné sur(E+le bêtise de)Luc"
"68";"~";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"-";"causer";"-";"+";"-";"sur";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"On cause sur Paul"
"69";"+";"-";"-";"-";"+";"<E>";"-";"-";"-";"-";"-";"cavaler";"-";"+";"-";"après";"emploi";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"cavalier";"<E>";"Max cavale après un emploi"
"70";"+";"+";"+";"+";"-";"<E>";"-";"-";"-";"-";"-";"changer";"-";"+";"-";"avec";"l'âge";"+";"+";"+";"+";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"+";"-";"<E>";"<E>";"La température change avec la pression"
"71";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"changer";"-";"+";"-";"de";"<E>";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"<E>";"<E>";"Max change de lit"
"72";"~";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"-";"chialer";"-";"+";"-";"après";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max chiale après des crédits"
"73";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"chier";"-";"+";"-";"sur";"loi";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"+";"<E>";"<E>";"Max chie sur la littérature"
"74";"~";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"-";"chuter";"-";"+";"-";"sur";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Le ministère a chuté (E+sur cette question)"
"75";"~";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"-";"cliquer";"-";"+";"-";"sur";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a cliqué sur l'icône"
"76";"~";"~";"~";"~";"~";"se";"+";"-";"-";"-";"-";"coiffer";"-";"-";"+";"de";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Paul s'est coiffé de musique pop"
"77";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"collaborer";"-";"+";"-";"avec";"ennemi";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"<E>";"<E>";"Max a collaboré avec l'occupant"
"78";"~";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"-";"collationner";"-";"+";"-";"de";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max collationne (E+avec ses amis)de petits fours"
"79";"~";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"-";"commencer";"-";"+";"-";"à+par";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"La rue commence (par le+au)numéro 7"
"80";"~";"~";"~";"~";"~";"se";"+";"-";"-";"-";"-";"commettre";"-";"-";"+";"avec";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max se commet avec Luc"
"81";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"comparaître";"-";"+";"-";"devant";"justice";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"<E>";"<E>";"Max a comparu devant le juge"
"82";"~";"~";"~";"~";"~";"se";"+";"-";"-";"-";"-";"complaire";"-";"-";"+";"dans";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max se complait dans le désordre"
"83";"~";"~";"~";"~";"~";"se";"+";"-";"-";"-";"-";"comporter  Advm";"-";"-";"+";"envers";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max se comporte gentiment envers Luc"
"84";"+";"-";"-";"-";"-";"se";"+";"-";"-";"-";"-";"compromettre";"-";"-";"+";"avec";"<E>";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"<E>";"<E>";"Max s'est compromis avec des crapules dans ce trafic"
"85";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"compter";"-";"+";"-";"avec";"<E>";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"Max a compté avec la pluie"
