"<ID>";"N0 =: Nhum";"<ENT>Ppv";"Ppv =: Neg";"<ENT>V";"Neg";"Aux =: avoir";"Aux =: être";"N1 =: Nhum";"N0 lui V N1pc W";"N0 V N1 Loc N1pc W";"N0 V N0pc W";"N1 =: N-hum";"N1 =: le fait Qu P";"N1 être V-n";"Ppv =: le";"N0 V N1";"N0 V N2";"N2 =: Nhum";"N2 =: N-hum";"N2 =: le fait Qu P";"N2 être V-n";"Ppv =: lui";"Ppv =: y";"N0 V à N2";"N1 être Vpp W";"N1 être V-adj à N2";"V-adj";"N1 être V-n (forme V-n)";"N2 être V-n (forme V-n)";"<OPT>"
"16";"+";"<E>";"-";"attacher";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"<E>";"<E>";"<E>";"Une longue vie commune a attaché Luc à(Max+cette maison)"
"17";"+";"<E>";"-";"augmenter";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"<E>";"<E>";"<E>";"Max a augmenté le nombre des lits à six"
"18";"-";"<E>";"-";"boire";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"+";"+";"+";"-";"-";"+";"+";"-";"-";"<E>";"boisson";"<E>";"Max boit du champagne à sa santé"
"19";"~";"<E>";"-";"causer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"(Max+Ceci)a causé des dommages à(la maison+Paul)"
"20";"+";"<E>";"-";"chercher";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max cherche des(ennuis+histoires)à Luc"
"21";"+";"<E>";"-";"chiffrer";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"<E>";"<E>";"<E>";"Max chiffre la dépense à dix francs"
"22";"~";"<E>";"-";"coller";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"On a collé Luc au bac"
"23";"~";"<E>";"-";"comparer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"Max compare la vie à une pièce de théâtre"
"24";"+";"ne";"+";"comprendre";"+";"+";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"<E>";"<E>";"<E>";"Max ne comprend rien à la mécanique"
"25";"~";"<E>";"-";"confronter";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"Max confronte son hypothèse aux faits"
"26";"~";"<E>";"-";"conjuguer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"Max conjugue ce verbe au passé"
"27";"+";"<E>";"-";"connaître";"-";"+";"-";"+";"+";"-";"-";"+";"-";"-";"+";"-";"-";"+";"+";"+";"-";"+";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max connaît beaucoup d'amis à Luc"
"28";"+";"<E>";"-";"conquérir";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"-";"<E>";"<E>";"<E>";"Max a conquis Luc aux idées d'Ida"
"29";"+";"<E>";"-";"couper";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"+";"-";"-";"+";"+";"-";"+";"-";"<E>";"<E>";"<E>";"Max coupe la route à Luc"
"30";"+";"<E>";"-";"crever";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max crève Léa au boulot"
"31";"+";"<E>";"-";"déclarer";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"<E>";"Max a déclaré ses achats au douanier"
"32";"+";"<E>";"-";"décliner";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"+";"+";"-";"+";"-";"+";"-";"+";"+";"+";"-";"<E>";"<E>";"déclinaison";"Max décline ce mot(à tous les cas+au datif)"
"33";"+";"<E>";"-";"défier";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"<E>";"<E>";"Movie défie Luc à la course"
"34";"~";"<E>";"-";"désigner";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"Ces maladresses ont désigné Max(à+aux yeux de)la justice"
"35";"+";"<E>";"-";"élever";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"<E>";"<E>";"On a élevé une statue à(E+la mémoire de)Max"
"36";"+";"n'";"+";"entendre";"+";"+";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"<E>";"<E>";"<E>";"Paul n' entend rien à la musique"
"37";"+";"<E>";"-";"ériger";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"<E>";"<E>";"On a érigé un monument à(E+la gloire de)Max"
"38";"~";"<E>";"-";"estimer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"Max estime la distance(E+à)200 kms"
"39";"~";"<E>";"-";"étaler";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"Le jury a étalé Max à cet examen"
"40";"+";"<E>";"-";"étanchéifier";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"+";"+";"+";"+";"étanche";"<E>";"<E>";"ce procédé étanchéifie ce tissu à l'eau"
"41";"~";"<E>";"-";"étendre";"-";"+";"-";"~";"~";"~";"~";"~";"~";"-";"~";"~";"~";"~";"~";"~";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"Le jury a étendu Max à cet examen"
"42";"+";"<E>";"-";"étendre";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"<E>";"<E>";"<E>";"Paul étend sa propriété au champ voisin"
"43";"~";"<E>";"-";"évaluer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"Max évalue la distance(E+à)100km"
"44";"~";"<E>";"-";"éveiller";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"Ceci a éveillé Marie à l'amour"
"45";"-";"<E>";"-";"évoquer";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Ce paysage m' évoque la Grèce"
"46";"-";"<E>";"-";"exposer";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"+";"+";"+";"-";"<E>";"<E>";"<E>";"Max expose la plaque à la lumière"
"47";"-";"<E>";"-";"fermer";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"+";"-";"-";"+";"+";"-";"+";"-";"<E>";"<E>";"<E>";"On a fermé la route à la circulation automobile"
"48";"+";"<E>";"-";"fixer";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"<E>";"<E>";"<E>";"Max a fixé son salaire à 10.000 F"
"49";"~";"<E>";"-";"flasher";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"On a flashé Paul à l'héroïne"
"50";"+";"<E>";"-";"frayer";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"+";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Ceci fraye (la voie+la route+etc)à tous les excès"
"51";"+";"<E>";"-";"gagner";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"+";"-";"+";"+";"-";"<E>";"<E>";"<E>";"Que Léa ait fait cela m'a gagné à(sa cause+elle)"
"52";"+";"<E>";"-";"imperméabiliser";"-";"+";"-";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"+";"-";"-";"+";"-";"+";"-";"+";"imperméable";"<E>";"<E>";"Ce produit imperméabilise la toile à l'humidité"
"53";"+";"<E>";"-";"imprimer";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"+";"-";"-";"+";"-";"-";"+";"-";"<E>";"<E>";"<E>";"L'arbre imprime (un mouvement+une rotation)à la roue"
"54";"~";"<E>";"-";"imputer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"On lui a imputé ces frais à l'achat du meuble"
"55";"-";"<E>";"-";"intéresser";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"<E>";"<E>";"<E>";"On intéresse les travailleurs aux bénéfices"
"56";"~";"<E>";"-";"limiter";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"On a limité la vitesse à 60 km heure"
"57";"+";"<E>";"-";"livrer";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"La rupture du gouvernail a livré le bateau à la tempête"
"58";"+";"<E>";"-";"maintenir";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"+";"-";"+";"-";"<E>";"<E>";"<E>";"L'état a maintenu les institutions à ce niveau"
"59";"+";"<E>";"-";"marier";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"<E>";"<E>";"<E>";"Max a marié sa fille à un flic"
"60";"+";"<E>";"-";"mêler";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"<E>";"<E>";"<E>";"On a mêlé Luc à cette affaire"
"61";"+";"<E>";"-";"mesurer";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"<E>";"<E>";"mesure";"On a mesuré l'offense au châtiment"
"62";"-";"<E>";"-";"occasionner";"-";"+";"-";"-";"+";"-";"-";"+";"+";"-";"+";"+";"-";"+";"+";"-";"-";"+";"-";"-";"+";"-";"<E>";"<E>";"<E>";"Léa occasionne des dépenses à Luc"
"63";"+";"<E>";"-";"offrir";"-";"+";"-";"-";"+";"-";"+";"+";"-";"-";"+";"-";"-";"+";"+";"-";"-";"+";"+";"-";"+";"-";"<E>";"<E>";"<E>";"Max offre son dos au soleil"
"64";"~";"<E>";"-";"passer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"Paul a passé 3 ans à la Santé"
"65";"+";"<E>";"-";"prendre";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"<E>";"<E>";"<E>";"Max prend Luc aux échecs"
"66";"~";"<E>";"-";"préposer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"On prépose l'article au substantif"
"67";"~";"<E>";"-";"présenter";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"Max présente son dos au soleil"
"68";"~";"<E>";"-";"présenter";"~";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"<E>";"<E>";"<E>";"Ida a présenté son fils au bac"
"69";"~";"<E>";"-";"prier";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"Max a prié Léa à un(cocktail+vernissage)"
"70";"+";"<E>";"-";"proposer";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"<E>";"<E>";"<E>";"On a proposé Max à ce poste"
"71";"+";"<E>";"-";"rajuster";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"<E>";"<E>";"<E>";"On rajuste les salaires au coût de la vie"
"72";"~";"<E>";"-";"ramener";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"Ceci va ramener Paul(à plus de sérénité+au calme)"
"73";"+";"<E>";"-";"ramener";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"<E>";"<E>";"<E>";"On a ramené le nombre de lits à dix"
"74";"+";"<E>";"-";"ranger";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"<E>";"<E>";"<E>";"Max a rangé l'auditoire à son opinion"
"75";"+";"<E>";"-";"rappeler";"-";"+";"-";"+";"-";"-";"-";"+";"+";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"rappel";"<E>";"Ce parfum rappelle à Max l'Orient"
"76";"+";"<E>";"-";"rappeler";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max a rappelé Luc à la(raison+modestie)"
"77";"+";"<E>";"-";"rattacher";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"-";"<E>";"<E>";"<E>";"On a rattaché ce territoire à ce pays"
"78";"~";"<E>";"-";"recaler";"~";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"<E>";"<E>";"<E>";"On a recalé Max au bac"
"79";"+";"<E>";"-";"réduire";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"<E>";"<E>";"<E>";"Max a réduit le nombre de lits à 6"
"80";"+";"<E>";"-";"rendre";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"<E>";"<E>";"<E>";"On a rendu cette pièce à sa destination première"
"81";"~";"<E>";"-";"rendre";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"Max rend 10 kg à Luc"
"82";"+";"<E>";"-";"réserver";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"+";"+";"-";"-";"+";"-";"-";"+";"-";"<E>";"<E>";"<E>";"Max a réservé une journée au nettoyage de la maison"
"83";"~";"<E>";"-";"restreindre";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"On a restreint le nombre de candidats à dix"
"84";"~";"<E>";"-";"rétamer";"~";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"<E>";"<E>";"<E>";"Le jury a rétamé Max à cet examen"
"85";"+";"<E>";"-";"sensibiliser";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"+";"-";"+";"-";"<E>";"<E>";"<E>";"Ce procédé sensibilise les plaques à la lumière"
"86";"~";"<E>";"-";"servir";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"Ce stage a beaucoup servi à Paul"
"87";"+";"<E>";"-";"shooter";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"<E>";"<E>";"<E>";"Max shoote Luc à la morphine"
"88";"~";"<E>";"-";"signaler";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"Max a signalé Luc aux flics"
"89";"+";"<E>";"-";"soumettre";"-";"+";"-";"+";"+";"-";"-";"+";"-";"-";"+";"-";"-";"+";"+";"+";"-";"+";"+";"-";"-";"-";"<E>";"<E>";"<E>";"L'état a soumis ce revenu à l'impôt"
"90";"+";"<E>";"-";"substituer";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"<E>";"<E>";"<E>";"Max a substitué le mot don au mot con"
"91";"~";"<E>";"-";"succéder";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"Max a succédé à son père"
"92";"+";"<E>";"-";"témoigner";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max témoigne de l'intérêt à ce projet"
"93";"+";"<E>";"-";"transmettre";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"+";"+";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"<E>";"<E>";"<E>";"Cet arbre transmet le mouvement aux roues"

