"<ID>";"N0 =: Nhum";"N0 =: N-hum";"N0 =: Nnr";"N0 =: V-inf W";"N0 être V-n";"N0 =: Npl obl";"<ENT>Ppv";"Ppv =: se figé";"<ENT>V";"Aux =: avoir";"Aux =: être";"N0 V";"N0 être V-ant";"N0 être Vpp";"N0pc lui V W";"N0 V de N0pc";"N0 V N1 destination";"Loc N1 =: dans N1 destination";"Loc N1 =: sur N1 destination";"Loc N1 =: contre N1 destination";"Loc N1 =: à N1 destination";"Loc N1 =: vers N1 destination";"autre Loc1";"Loc N1 = Ppv =: y";"N0 lui V Loc N1pc";"N0 V Prép N0pc";"N1 =: le fait Qu P";"N1 être V-n";"N0 être V-ant Prép N1";"[extrap]";"N0 =: idée, N1 =: esprit";"N0 =: Nhum, N1 =: Nabs";"il V Qu P W";"N0 être V-n (forme V-n)";"N1 être V-n (forme V-n)";"<OPT>"
"11";"-";"+";"-";"-";"-";"-";"<E>";"-";"baver";"+";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"~";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"L'encre a bavé sur la marge"
"12";"~";"~";"~";"~";"~";"~";"<E>";"-";"capoter";"+";"-";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"(Max+la voiture)a capoté dans le fossé"
"13";"~";"~";"~";"~";"~";"~";"<E>";"-";"cartonner";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a cartonné contre un pin avec la voiture"
"14";"-";"+";"-";"-";"-";"-";"<E>";"-";"crouler";"+";"-";"+";"+";"-";"-";"-";"-";"-";"+";"+";"+";"-";"~";"-";"+";"+";"+";"-";"-";"-";"+";"+";"-";"<E>";"<E>";"Le mur croule sur le sol"
"15";"+";"-";"-";"-";"-";"-";"<E>";"-";"descendre";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"~";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"<E>";"La police est descendu dans ce bar"
"16";"~";"~";"~";"~";"~";"~";"<E>";"-";"descendre";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"~";"chez";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max est descendu (chez Paul+à l'hôtel+au Georges V)"
"17";"-";"+";"-";"-";"-";"-";"<E>";"-";"déteindre";"+";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"~";"+";"+";"-";"-";"-";"-";"+";"+";"+";"-";"<E>";"<E>";"Ce bas a déteint sur la robe"
"18";"~";"~";"~";"~";"~";"~";"se";"+";"dissoudre";"-";"+";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max se dissout dans la foule"
"19";"+";"+";"-";"-";"-";"-";"<E>";"-";"donner";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"+";"-";"+";"~";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"La tête de Max a donné contre le mur"
"20";"-";"+";"-";"-";"-";"-";"<E>";"-";"échouer";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"~";"+";"+";"-";"-";"-";"-";"+";"+";"+";"-";"<E>";"<E>";"Max a échoué dans un bouge"
"21";"~";"~";"~";"~";"~";"~";"s'";"+";"échouer";"-";"+";"~";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Le bateau abandonné s'est échoué sur la grève"
"22";"~";"~";"~";"~";"~";"~";"s'";"+";"écraser";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"L'avion s'est écrasé au sol"
"23";"-";"+";"-";"-";"-";"-";"s'";"+";"écrouler";"-";"+";"+";"-";"+";"-";"-";"+";"+";"+";"-";"-";"+";"~";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"<E>";"<E>";"Jean s'est écroulé dans son fauteuil"
"24";"-";"+";"-";"-";"-";"-";"s'";"+";"effondrer";"-";"+";"+";"-";"+";"-";"-";"-";"+";"+";"-";"-";"+";"~";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"<E>";"<E>";"Max s'est effondré dans un fauteuil"
"25";"+";"-";"-";"-";"-";"-";"s'";"+";"embusquer";"-";"+";"+";"-";"+";"-";"-";"-";"+";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max s'est embusqué dans un ministère"
"26";"~";"~";"~";"~";"~";"~";"s'";"+";"empiler";"-";"+";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"La foule s' empile dans le métro"
"27";"~";"~";"~";"~";"~";"~";"s'";"+";"encadrer";"-";"+";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"La voiture s'est encadré dans un platane"
"28";"~";"~";"~";"~";"~";"~";"s'";"+";"encadrer";"-";"+";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Le patron s' encadra dans la porte"
"29";"~";"~";"~";"~";"~";"~";"s'";"+";"encastrer";"-";"+";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"La voiture s'est encastré sous le camion"
"30";"~";"~";"~";"~";"~";"~";"s'";"+";"enfoncer";"-";"+";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Le bateau s' enfonce dans les flots"
"31";"+";"-";"-";"-";"-";"-";"s'";"+";"engager";"-";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"~";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"<E>";"Max s' engage dans la légion"
"32";"~";"~";"~";"~";"~";"~";"s'";"+";"enterrer";"-";"+";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Les soldats s' enterre dans le sable"
"33";"+";"-";"-";"-";"-";"-";"s'";"+";"entremettre";"-";"+";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"~";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"<E>";"?";"Max s'est entremis dans une affaire louche"
"34";"+";"+";"-";"-";"-";"-";"<E>";"-";"entreparaître";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"~";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"<E>";"<E>";"Ida entreparue à sa fenêtre"
"35";"~";"~";"~";"~";"~";"~";"<E>";"-";"entrer";"-";"+";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"La voiture est entrée dans un arbre"
"36";"+";"+";"-";"-";"-";"-";"<E>";"-";"entrer";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"~";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max est entré dans(l'armée+l'enseignement)"
"37";"~";"~";"~";"~";"~";"~";"s'";"+";"étaler";"-";"+";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max s'est étalé dans l'escalier"
"38";"+";"+";"~";"~";"~";"~";"<E>";"-";"finir";"+";"-";"~";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Cette voiture finira à la casse"
"39";"~";"~";"~";"~";"~";"~";"se";"+";"fondre";"-";"+";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max s'est fondu dans la nuit"
"40";"-";"+";"-";"-";"-";"-";"se";"+";"former";"-";"+";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"~";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"<E>";"<E>";"Une tache d'eau se forme sur le tissu"
"41";"+";"-";"-";"-";"-";"-";"s'";"+";"incruster";"-";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"chez";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"<E>";"<E>";"Luc s' incruste chez les Dupont"
"42";"+";"-";"-";"-";"-";"-";"s'";"+";"ingérer";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"~";"-";"-";"-";"-";"+";"-";"-";"+";"+";"-";"<E>";"ingérence";"Max s' ingère dans les affaires de Léa"
"43";"-";"+";"-";"-";"-";"-";"s'";"+";"insérer";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"~";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"La morosité s' insère dans la crise"
"44";"~";"~";"~";"~";"~";"~";"s'";"+";"installer";"-";"+";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max s' installe dans le mensonge"
"45";"+";"-";"-";"-";"-";"-";"<E>";"-";"intégrer";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"~";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"<E>";"Max a intégré à l'X"
"46";"-";"+";"~";"~";"~";"~";"se";"+";"jeter";"-";"+";"~";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"-";"-";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"La Durance se jette dans le Rhône"
"47";"+";"-";"-";"-";"-";"-";"se";"+";"noyer";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"~";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"<E>";"<E>";"Max s'est noyé dans la foule"
"48";"~";"~";"~";"~";"~";"~";"se";"+";"paddocker";"-";"+";"~";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"-";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Paul s'est paddocké sur le divan"
"49";"~";"~";"~";"~";"~";"~";"se";"+";"pageoter";"-";"+";"~";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"-";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max s'est pageoté sur le divan"
"50";"~";"~";"~";"~";"~";"~";"se";"+";"pager";"-";"+";"~";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"-";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Paul s'est pagé sur le divan"
"51";"~";"~";"~";"~";"~";"~";"se";"+";"pagnoter";"-";"+";"~";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"-";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Paul s'est pagnoté sur le divan"
"52";"~";"~";"~";"~";"~";"~";"<E>";"-";"passer";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max est passé à l'ennemi"
"53";"~";"~";"~";"~";"~";"~";"se";"+";"pencher";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max se penche vers le sol"
"54";"~";"~";"~";"~";"~";"~";"se";"+";"percher";"-";"+";"~";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Le piaf se perche sur le toit"
"55";"+";"+";"-";"-";"-";"-";"se";"+";"perdre";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"~";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"<E>";"<E>";"Le soleil se perd dans la brume"
"56";"+";"-";"-";"-";"-";"-";"se";"+";"perdre";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"~";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"<E>";"<E>";"Max se perd dans la foule"
"57";"+";"+";"-";"-";"+";"-";"<E>";"-";"piquer";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"~";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"?";"<E>";"La voiture pique vers la foule"
"58";"~";"~";"~";"~";"~";"~";"<E>";"-";"porter";"+";"-";"~";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"La tête a porté sur le coin"
"59";"~";"~";"~";"~";"~";"~";"se";"+";"poser";"-";"+";"~";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max s'est posé sur mon divan"
"60";"~";"~";"~";"~";"~";"~";"<E>";"-";"poursuivre";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max poursuit (E+son chemin)vers la sortie"
"61";"+";"+";"-";"-";"-";"-";"<E>";"-";"pousser";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"~";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max pousse jusqu'au village"
"62";"+";"-";"-";"-";"-";"-";"<E>";"-";"rempiler";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"~";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"Max a rempilé dans la légion(E+pour 3ans)"
"63";"+";"-";"-";"-";"-";"-";"<E>";"-";"rengager";"+";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"~";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"<E>";"Max a rengagé dans la marine"
"64";"+";"-";"-";"-";"-";"-";"<E>";"-";"rentrer";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"~";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"La subvention rentre dans les caisses"
"65";"+";"-";"-";"-";"-";"-";"<E>";"-";"rentrer";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"~";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max est rentré dans la police"
"66";"+";"-";"-";"-";"-";"-";"<E>";"-";"rentrer";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"~";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max est rentré dans un platane"
"67";"-";"+";"~";"~";"~";"~";"se";"+";"répandre";"-";"+";"~";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"-";"+";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"La terreur se répand sur son visage"
"68";"+";"-";"-";"-";"-";"-";"se";"+";"rétablir";"-";"+";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"~";"-";"~";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max s'est rétabli sur le haut du mur"
"69";"~";"~";"~";"~";"~";"~";"se";"+";"rétamer";"-";"+";"~";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max s'est rétamé sur le trottoir"
"70";"~";"~";"~";"~";"~";"~";"se";"+";"retourner";"-";"+";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"La voiture s'est retourné dans le fossé"
"71";"+";"+";"-";"-";"-";"-";"<E>";"-";"sombrer";"+";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"~";"+";"+";"-";"-";"-";"-";"+";"+";"+";"-";"<E>";"<E>";"Le navire a sombré dans les flots"
"72";"~";"~";"~";"~";"~";"~";"<E>";"-";"survenir";"-";"+";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Ida est survenue dans le salon à temps"
"73";"~";"~";"~";"~";"~";"~";"se";"+";"tapir";"-";"+";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max s'est tapi sous l'escalier"
"74";"~";"~";"~";"~";"~";"~";"se";"+";"viander";"-";"+";"~";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Bob s'est viandé sur le pavé"

