"<ID>";"N0 =: N-hum";"N0 être V-n";"N2 bénéficiaire";"N2 détrimentaire";"<ENT>Ppv";"<ENT>V";"Aux =: avoir";"Aux =: être";"N1 =: Nhum";"N0 V N0pc W";"N1 =: N-hum";"N1 être V-n";"N1 =: Dnum Nmonnaie";"N1 =: coup";"Prép2 =: à";"N0 V N1 de N2 source";"Ppv =: en";"N2 =: N-hum";"Prép N2-hum = Ppv =: lui";"Ppv =: y";"N2 être V-n";"N2 =: Npl obl";"N1 être Vpp (statique)";"N1 =: Nabs";"N0 V N1 à N2 Dnum Nmonnaie";"N0 V N2 (E+de N1)";"N0 V N1 Loc N-hum";"N0 V N1 à N2 pour Dnum Nmonnaie";"N0 être V-n (forme V-n)";"N1 être V-n (forme V-n)";"N2 être V-n (forme V-n)";"<OPT>";"<ENGLISH>"
"20";"+";"-";"+";"-";"<E>";"allouer";"+";"-";"+";"-";"+";"+";"+";"-";"+";"-";"-";"+";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"<E>";"allocation";"allocataire";"Max a alloué cent kilofrancs à Luc";"to allocate"
"23";"-";"-";"+";"-";"<E>";"arnaquer";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"<E>";"Max a arnaqué Luc de deux francs";"to swindle"
"25";"-";"-";"+";"-";"<E>";"assigner";"+";"-";"+";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max assigne  un bureau à Eva";"to allocate"
"26";"+";"-";"+";"-";"<E>";"attribuer";"+";"-";"+";"-";"+";"+";"+";"-";"+";"-";"-";"+";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"tribut";"<E>";"Max attribue un bureau à Eva";"to allocate"
"27";"~";"~";"~";"~";"<E>";"attribuer";"+";"-";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"On attribue cette découverte à Max";"to impute"
"29";"-";"-";"+";"-";"<E>";"avancer";"+";"-";"-";"-";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"avance";"<E>";"Max a avancé des sous à Luc";"to lend"
"30";"-";"-";"+";"-";"<E>";"avoir";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max a eu un poste à Luc";"to get"
"31";"-";"+";"+";"-";"<E>";"balancer";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"balance";"<E>";"<E>";"Bob a balancé Riton aux poulets";"to finger"
"32";"~";"~";"~";"~";"<E>";"balancer";"+";"-";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"Max balance (une décoration+un sac)à Luc";"?"
"33";"-";"-";"+";"-";"<E>";"banquer";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"<E>";"Max a banqué cinq briques aux ravisseurs";"to cough up"
"35";"-";"-";"+";"-";"<E>";"bazarder";"+";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"<E>";"bazar";"<E>";"Max a bazardé sa bagnole à Luc";"to flog"
"36";"-";"-";"+";"-";"<E>";"brader";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"+";"<E>";"<E>";"<E>";"Max a bradé du blé à Luc";"to sell cut-price"
"39";"-";"-";"+";"-";"<E>";"casquer";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"<E>";"<E>";"<E>";"Max a casqué mille francs à Luc";"to cough up"
"40";"-";"-";"+";"-";"<E>";"céder";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"<E>";"<E>";"<E>";"Max cède son lit à Luc";"to give up to"
"45";"-";"-";"+";"-";"<E>";"chipoter";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"<E>";"<E>";"On a chipoté les subventions à Max";"to quibble over"
"49";"+";"-";"+";"-";"<E>";"cloquer";"+";"-";"+";"-";"+";"-";"+";"+";"+";"-";"-";"+";"+";"-";"-";"-";"-";"+";"+";"-";"+";"+";"<E>";"<E>";"<E>";"Max a cloqué sa voiture à Luc";"to whip"
"52";"+";"-";"+";"-";"<E>";"communiquer";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max a communiqué sa grippe à Luc";"to pass on"
"54";"-";"-";"+";"-";"<E>";"compter";"+";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"compte";"<E>";"Le caissier vous comptera 500fr.";"to pay"
"55";"-";"-";"+";"-";"<E>";"compter";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"<E>";"<E>";"<E>";"Max a compté 500fr. à Marie (E + pour cette réparation) ";"to charge"
"56";"-";"-";"+";"-";"<E>";"compter";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max compte chaque sou à Luc";"to count"
"57";"~";"~";"~";"~";"<E>";"compter Advp";"+";"-";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"Max a compté ce plat(920F.+cher)à Luc";"to charge"
"58";"+";"-";"+";"-";"<E>";"concéder";"+";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"<E>";"concession";"<E>";"L'état a concédé à Elf la prospection de SE.";"to grant"
"59";"+";"-";"+";"-";"<E>";"concilier";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Ce cadeau a concilié à Max les grâces de Luc";"to gain"
"60";"+";"-";"+";"-";"<E>";"confier";"+";"-";"+";"-";"+";"-";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max confie sa clé à Luc";"to confide"
"62";"+";"-";"+";"-";"<E>";"consacrer";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"+";"+";"+";"-";"-";"+";"+";"-";"-";"-";"-";"<E>";"<E>";"<E>";"On a consacré ce lieu à Eros";"to consecrate"
"63";"-";"-";"+";"-";"<E>";"consentir";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max consent un(prêt+délai)à Luc";"to grant"
"64";"+";"-";"+";"-";"<E>";"conserver";"+";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max conserve cet avantage à Paul";"to retain"
"67";"-";"-";"+";"-";"<E>";"contingenter";"+";"-";"+";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"<E>";"contingent";"<E>";"Max contingente le lait aux hommes";"to distribute by a system of quotas"
"70";"-";"-";"+";"-";"<E>";"cracher";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max crache dix francs à Luc";"to cough up"
"73";"-";"-";"+";"-";"<E>";"débiter";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"<E>";"Max débite du vin à ses clients";"to retail"
"74";"-";"-";"+";"-";"<E>";"débourser";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max a déboursé dix francs à Luc";"to pay out"
"75";"+";"-";"+";"-";"<E>";"décerner";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max décerne un prix à Luc";"to award"
"76";"-";"-";"+";"-";"<E>";"décliner";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max décline son identité au policier";"to give"
"78";"+";"-";"+";"-";"<E>";"dédier";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max dédie son livre à Ida";"to dedicate"
"79";"-";"-";"+";"-";"<E>";"dédommager";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"<E>";"<E>";"<E>";"Max dédommage ses frais à Luc";"to compensate"
"81";"-";"-";"+";"-";"<E>";"défrayer";"+";"-";"-";"-";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"+";"-";"-";"<E>";"?";"<E>";"Max a défrayé les dépenses à Luc";"to settle one's expenses"
"82";"-";"-";"+";"-";"<E>";"déléguer";"+";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"<E>";"délégué";"<E>";"Max délègue un adjoint à Luc comme contrôleur";"to delegate"
"83";"+";"-";"+";"-";"<E>";"délivrer";"+";"-";"-";"-";"+";"-";"+";"+";"+";"-";"-";"+";"+";"-";"-";"-";"+";"+";"-";"-";"+";"-";"<E>";"<E>";"<E>";"Max délivre un colis à Luc";"to deliver"
"85";"-";"-";"+";"-";"<E>";"dénoncer";"+";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max a dénoncé Luc à la police";"to give one away"
"87";"-";"-";"+";"-";"<E>";"dépêcher";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"<E>";"<E>";"<E>";"Max dépêche un adjoint à Luc";"to send"
"89";"+";"-";"+";"-";"<E>";"destiner";"+";"-";"+";"-";"+";"-";"+";"+";"+";"-";"-";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"<E>";"<E>";"destinataire";"Max destine ce sac à Ida";"to destine"
"90";"-";"+";"+";"-";"<E>";"détailler";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"détaillant";"<E>";"<E>";"Max détaille des cigares à ses clients";"to sell separately"
"91";"+";"-";"+";"-";"<E>";"devoir";"+";"-";"+";"-";"+";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"<E>";"dû";"<E>";"Max doit dix francs à Luc";"to owe"
"92";"-";"-";"+";"-";"<E>";"discounter";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"<E>";"<E>";"<E>";"Max discounte les disques aux jeunes";"to sell cut-price"
"93";"+";"-";"+";"-";"<E>";"dispenser";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"+";"-";"+";"+";"-";"-";"+";"<E>";"<E>";"<E>";"Max dispense des conseils à ses amis";"to dispense"
"94";"+";"-";"+";"-";"<E>";"disputer";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max dispute (ce droit+le ballon)à Ida";"to fight for"
"96";"+";"-";"+";"-";"<E>";"distribuer";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max distribue les bonbons aux enfants";"to distribute"
"97";"-";"-";"+";"-";"<E>";"donner";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max a donné ses complices à la police";"to give one away"
"98";"+";"-";"+";"-";"<E>";"donner";"+";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"+";"-";"<E>";"<E>";"<E>";"Max donne un lit à Ida";"to give"
"99";"-";"-";"+";"-";"<E>";"douiller";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"<E>";"<E>";"<E>";"Max a douillé dix briques à Riton";"to cough up"
"102";"+";"-";"+";"-";"<E>";"enfiler";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"<E>";"<E>";"<E>";"Luc enfile une chemise à Ida";"to slip on"
"105";"-";"+";"+";"-";"<E>";"enseigner";"+";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"enseignant";"enseignement";"<E>";"Max enseigne les maths à des adolescents";"to teach"
"106";"-";"-";"+";"-";"<E>";"envoyer";"+";"-";"-";"-";"+";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"<E>";"envoi";"<E>";"Max a envoyé des sous à Luc";"to send"
"113";"-";"-";"+";"-";"<E>";"exhiber";"+";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max exhibe ses papiers à la police";"to present"
"115";"-";"-";"+";"-";"<E>";"faciliter";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max a facilité cette entrevue à Luc";"to make easier"
"116";"-";"-";"+";"-";"<E>";"facturer";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"<E>";"<E>";"<E>";"Max a facturé ce plat 10 F à Léa";"to charge for"
"117";"-";"-";"+";"-";"<E>";"faire";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max fait un prix d'ami à Luc";"to grant"
"118";"~";"~";"~";"~";"<E>";"faire";"+";"-";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"Max a fait un enfant à Léa";"?"
"119";"-";"-";"+";"-";"<E>";"faire Advp";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max m'a fait cette voiture(à un bon prix+1000F)";"?"
"120";"-";"-";"+";"-";"<E>";"faire tenir";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max fait tenir ce rapport à Luc";"?"
"122";"+";"-";"+";"-";"<E>";"ficher";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"+";"+";"-";"-";"-";"+";"-";"-";"+";"-";"<E>";"<E>";"<E>";"Max fiche une claque à Luc";"to give"
"123";"+";"-";"+";"-";"<E>";"filer";"+";"-";"+";"-";"+";"-";"+";"+";"+";"-";"-";"+";"+";"+";"-";"-";"-";"+";"-";"-";"+";"-";"<E>";"<E>";"<E>";"Max a filé (100 F+une trempe)à Luc";"to give"
"125";"+";"-";"+";"-";"<E>";"flanquer";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"+";"+";"-";"-";"-";"+";"-";"-";"+";"-";"<E>";"<E>";"<E>";"Max flanque une claque à Luc";"to give"
"127";"-";"+";"+";"-";"<E>";"fourguer";"+";"-";"+";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"?";"<E>";"fourgue";"Les cambrioleurs ont fourgué le butin à Max";"to flog"
"128";"-";"-";"+";"-";"<E>";"fourguer";"+";"-";"+";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"+";"<E>";"<E>";"fourgue";"Max a fourgué son char(E+1000 F)à Luc";"to flog"
"129";"-";"-";"+";"-";"<E>";"fournir";"+";"-";"+";"-";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"+";"<E>";"fourniture";"<E>";"Max fournit du vin à Luc";"to supply"
"130";"+";"-";"+";"-";"<E>";"foutre";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"+";"-";"<E>";"<E>";"<E>";"Max fout une claque à Luc";"to give"
"132";"-";"-";"+";"-";"<E>";"fréter";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"<E>";"<E>";"<E>";"Cette compagnie frète des camions aux particuliers";"to charter"
"133";"-";"-";"-";"+";"<E>";"fréter";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"<E>";"<E>";"<E>";"Max a frété un camion à cette compagnie";"to charter"
"137";"-";"+";"+";"-";"<E>";"garder";"+";"-";"+";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"gardien";"<E>";"<E>";"On a gardé (du rôti+une place)à Max";"to keep"
"138";"+";"-";"+";"-";"<E>";"garder";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Paul garde sa confiance à Max";"to keep"
"143";"+";"-";"+";"-";"<E>";"infliger";"+";"-";"+";"-";"+";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Le juge a infligé une amende à Max";"to impose"
"146";"-";"-";"+";"-";"<E>";"laisser";"+";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max laisse ce tapis à Luc pour cent francs";"?"
"147";"+";"-";"+";"-";"<E>";"laisser";"+";"-";"+";"-";"+";"-";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Son père laisse une fortune à Max";"to leave"
"148";"-";"-";"+";"-";"<E>";"léguer";"+";"-";"+";"-";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"<E>";"legs";"<E>";"Son père a légué une fortune à Max";"to bequeath"
"149";"-";"-";"+";"-";"<E>";"livrer";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max a livré Luc à la police";"to hand over"
"150";"-";"-";"+";"-";"<E>";"livrer";"+";"-";"+";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"+";"-";"<E>";"livraison";"<E>";"Max livre du lait à Luc";"to deliver"
"151";"-";"-";"+";"-";"<E>";"louer";"+";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"+";"<E>";"<E>";"locataire";"Le propriétaire loue une chambre à Max";"to lease"
"152";"-";"+";"-";"+";"<E>";"louer";"+";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"locataire";"<E>";"<E>";"Max loue une chambre au propriétaire";"to rent"
"160";"-";"-";"+";"-";"<E>";"mesurer";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max mesure les crédits à Luc";"to limit"
"161";"+";"-";"+";"-";"<E>";"mettre";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"<E>";"<E>";"<E>";"Max met une claque à Luc";"to give"
"164";"-";"+";"+";"-";"<E>";"moucharder";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"mouchard";"<E>";"<E>";"Toto a mouchardé Léa à Max";"to grass on"
"165";"-";"-";"+";"-";"<E>";"nommer";"+";"-";"+";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"nom";"<E>";"Max a nommé ses complices à la police";"to hand over"
"166";"+";"-";"+";"-";"<E>";"obtenir";"+";"-";"+";"-";"+";"-";"+";"-";"-";"+";;"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"<E>";"<E>";"<E>";"Max a obtenu ce poste à Luc";"to get"
"167";"+";"-";"+";"-";"<E>";"octroyer";"+";"-";"+";"-";"+";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"octroi";"<E>";"Luc a octroyé une prime à Max";"to grant"
