"<ID>";"N0 =: N-hum";"N0 être V-n";"N2 bénéficiaire";"N2 détrimentaire";"<ENT>Ppv";"<ENT>V";"Aux =: avoir";"Aux =: être";"N1 =: Nhum";"N0 V N0pc W";"N1 =: N-hum";"N1 être V-n";"N1 =: Dnum Nmonnaie";"N1 =: coup";"Prép2 =: à";"N0 V N1 de N2 source";"Ppv =: en";"N2 =: N-hum";"Prép N2-hum = Ppv =: lui";"Ppv =: y";"N2 être V-n";"N2 =: Npl obl";"N1 être Vpp (statique)";"N1 =: Nabs";"N0 V N1 à N2 Dnum Nmonnaie";"N0 V N2 (E+de N1)";"N0 V N1 Loc N-hum";"N0 V N1 à N2 pour Dnum Nmonnaie";"N0 être V-n (forme V-n)";"N1 être V-n (forme V-n)";"N2 être V-n (forme V-n)";"<OPT>";"<ENGLISH>"
"47";"-";"-";"-";"+";"<E>";"chouraver";"+";"-";"+";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"<E>";"<E>";"<E>";"Max a chouravé sa voiture à Luc";"to whip"
"48";"-";"-";"-";"+";"<E>";"chourer";"+";"-";"+";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"<E>";"<E>";"<E>";"Max a chouré sa voiture à Luc";"to whip"
"51";"-";"-";"-";"+";"<E>";"commander";"+";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"commande";"<E>";"Max commande une bière à Luc";"to order"
"61";"-";"-";"-";"+";"<E>";"confisquer";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max confisque la balle à Luc";"to confiscate"
"71";"-";"-";"-";"+";"<E>";"cravater";"+";"-";"+";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"<E>";"<E>";"<E>";"Max a cravaté un livre à Luc";"to pinch"
"84";"-";"-";"-";"+";"<E>";"demander";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max demande son livre à Luc";"to ask for"
"86";"+";"-";"-";"+";"<E>";"départir";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"+";"-";"-";"+";"-";"<E>";"<E>";"<E>";"La nature a départi de l'intelligence à Flo";"to assign"
"88";"-";"-";"-";"+";"<E>";"dérober";"+";"-";"+";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"<E>";"<E>";"<E>";"Max dérobe son argent à Luc";"to steal"
"100";"-";"-";"-";"+";"<E>";"écornifler";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"<E>";"<E>";"<E>";"Max écornifle des repas à ses collègues";"to cadge"
"101";"+";"-";"-";"+";"<E>";"emprunter";"+";"-";"+";"-";"+";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"<E>";"emprunt";"<E>";"Max emprunte son chapeau à Luc";"to borrow"
"104";"+";"-";"-";"+";"<E>";"enlever";"+";"-";"+";"-";"+";"-";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"<E>";"<E>";"<E>";"Max enlève sa prime à Ida";"to take off"
"108";"-";"+";"-";"+";"<E>";"escroquer";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"escroc";"<E>";"<E>";"Max a escroqué une forte somme à Ida";"to swindle"
"110";"-";"-";"-";"+";"<E>";"estamper";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"<E>";"Max a estampé une forte somme à Luc";"to fleece"
"114";"-";"-";"-";"+";"<E>";"extorquer";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Léa a extorqué trois sous à Ida";"to extort"
"120";"-";"-";"+";"-";"<E>";"faire tenir";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max fait tenir ce rapport à Luc";"?"
"121";"-";"-";"-";"+";"<E>";"faucher";"+";"-";"+";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"<E>";"<E>";"<E>";"Max a fauché son briquet à Luc";"to pinch"
"124";"-";"+";"-";"+";"<E>";"filouter";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"filou";"<E>";"<E>";"Max a filouté Ida d'une coquette somme";"to cheat"
"126";"-";"+";"-";"+";"<E>";"flibuster";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"flibustier";"<E>";"<E>";"Max a flibusté 1000 F à Luc";"to cheat"
"131";"-";"-";"-";"+";"<E>";"frauder";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"<E>";"Max a fraudé une somme importante au fisc";"to defraud"
"132";"-";"-";"+";"-";"<E>";"fréter";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"<E>";"<E>";"<E>";"Cette compagnie frète des camions aux particuliers";"to charter"
"133";"-";"-";"-";"+";"<E>";"fréter";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"<E>";"<E>";"<E>";"Max a frété un camion à cette compagnie";"to charter"
"135";"-";"-";"-";"+";"<E>";"gagner";"+";"-";"+";"-";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"gain";"<E>";"Max a gagné cette voiture à Bob(E+au jeu)";"to win"
"136";"+";"-";"-";"+";"<E>";"garantir";"+";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"<E>";"<E>";"<E>";"L'épicier garantit ce vin à Max";"to guarantee"
"140";"+";"+";"-";"+";"<E>";"hériter";"+";"-";"+";"-";"+";"+";"+";"-";"-";"+";;"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"héritier";"héritage";"<E>";"Max a hérité une maison de son père";"to inherit"
"144";"-";"-";"-";"+";"<E>";"kidnapper";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"On a kidnappé son fils à Max";"to kidnap"
"151";"-";"-";"+";"-";"<E>";"louer";"+";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"+";"<E>";"<E>";"locataire";"Le propriétaire loue une chambre à Max";"to lease"
"152";"-";"+";"-";"+";"<E>";"louer";"+";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"locataire";"<E>";"<E>";"Max loue une chambre au propriétaire";"to rent"
"154";"-";"-";"-";"+";"<E>";"manger";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Cette opération mange (du temps+du fric)à Max";"to take up"
"155";"~";"~";"~";"~";"<E>";"manger";"+";"-";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"Max a mangé une tour à Luc";"?"
"156";"-";"-";"-";"+";"<E>";"marauder";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"<E>";"<E>";"<E>";"Max maraude des pommes(aux paysans+dans les champs)";"to pinch"
"158";"-";"+";"-";"+";"<E>";"mendier";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"mendiant";"<E>";"<E>";"Max mendie de l'argent aux passants";"to beg"
"159";"-";"+";"-";"+";"<E>";"mendigoter";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"mendigot";"<E>";"<E>";"Max mendigote de l'argent aux passants";"to beg"
"166";"+";"-";"+";"-";"<E>";"obtenir";"+";"-";"+";"-";"+";"-";"+";"-";"-";"+";;"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"<E>";"<E>";"<E>";"Max a obtenu ce poste à Luc";"to get"
"178";"+";"-";"-";"+";"<E>";"percevoir";"+";"-";"-";"-";"+";"-";"+";"-";"-";"+";;"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max a perçu (son salaire+de l'argent+un impôt)de Luc";"to collect"
"179";"-";"-";"-";"+";"<E>";"pigeonner";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"-";"<E>";"<E>";"pigeon";"Max a pigeonné 10 francs à Léa";"to do"
"180";"+";"-";"-";"+";"<E>";"piquer";"+";"-";"+";"-";"+";"-";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"+";"-";"-";"+";"+";"<E>";"<E>";"<E>";"Max a piqué (100 F+sa voiture)à Ida";"to whip"
"181";"-";"+";"-";"+";"<E>";"pirater";"+";"-";"+";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"+";"+";"pirate";"<E>";"<E>";"Max a piraté 100F à Léa";"to whip"
"185";"+";"-";"-";"+";"<E>";"prendre";"+";"-";"+";"-";"+";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"+";"+";"<E>";"prise";"<E>";"Max a pris un stylo à Luc";"to take"
"198";"-";"-";"-";"+";"<E>";"quêter";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max quête de l'argent(auprès des+aux)promeneurs";"to beg"
"199";"-";"-";"-";"+";"<E>";"rabioter";"+";"-";"-";"-";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"rabiot";"<E>";"Max a rabioté 100 F à Luc sur les commissions";"to scrounge"
"200";"-";"-";"-";"+";"<E>";"racheter";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"<E>";"<E>";"<E>";"Max a racheté ce prisonnier à la justice locale";"to ransom"
"201";"-";"-";"-";"+";"<E>";"racheter";"+";"-";"-";"-";"+";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"<E>";"<E>";"<E>";"Max a racheté cette voiture à Luc";"to buy"
"202";"-";"-";"-";"+";"<E>";"rafler";"+";"-";"+";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"<E>";"<E>";"<E>";"Max a raflé ce lot à Luc";"to run off with"
"203";"-";"-";"-";"+";"<E>";"rapiner";"+";"-";"-";"-";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"<E>";"rapine";"<E>";"Les soudards ont rapiné le bétail aux paysans";"to plunder"
"206";"-";"-";"-";"+";"<E>";"ratiboiser";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"<E>";"<E>";"<E>";"Max a ratiboisé Ida de mille francs";"to clean one out"
"207";"-";"-";"-";"+";"<E>";"rationner";"+";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"<E>";"ration";"<E>";"Max rationne le lait à Luc";"to give short rations of"
"209";"-";"-";"-";"+";"<E>";"ravir";"+";"-";"+";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max a ravi Ida à sa famille";"to ravish"
"211";"+";"-";"-";"+";"<E>";"recevoir";"+";"-";"+";"-";"+";"-";"+";"+";"-";"+";;"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"<E>";"<E>";"<E>";"Max a reçu un livre de Léa";"to receive"
"212";"~";"~";"~";"~";"<E>";"recommander";"+";"-";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"Max recommande ce livre à Max";"?"
"214";"-";"-";"-";"+";"<E>";"redemander";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max a redemandé son livre à Luc";"to ask for"
"219";"-";"-";"-";"+";"<E>";"regagner";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max a regagné 100 F. à Luc";"to win back"
"222";"+";"-";"+";"-";"<E>";"remettre";"+";"-";"+";"-";"+";"-";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max a remis de l'argent à Luc";"to hand over"
"223";"-";"-";"-";"+";"<E>";"remettre";"+";"-";"-";"-";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"remise";"<E>";"On a remis sa peine à Luc";"to remit"
"225";"-";"-";"-";"+";"<E>";"rendre bien";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Paul rend bien à Léa son inimitié";"?"
"228";"~";"~";"~";"~";"<E>";"reprendre";"+";"-";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"Max a repris le livre à Paul";"to take back"
"229";"-";"-";"-";"+";"<E>";"reprendre";"+";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"<E>";"<E>";"<E>";"Max a repris sa voiture à Luc 10.000 francs";"to buy"
"230";"~";"~";"~";"~";"<E>";"réserver";"+";"-";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"Ceci réserve une surprise à Max";"?"
"231";"-";"-";"-";"+";"<E>";"réserver";"+";"-";"+";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max a réservé une chambre à l'hôtelier";"to book"
"232";"-";"-";"-";"+";"<E>";"resquiller";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"<E>";"On a resquillé 100 F à Luc";"to swipe"
"234";"-";"-";"-";"+";"<E>";"retenir";"+";"-";"-";"-";"+";"+";"+";"-";"+";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"<E>";"retenue";"<E>";"Max a retenu une(chambre+place)pour Luc à l'hôtelier";"to book"
"235";"+";"-";"-";"+";"<E>";"retirer";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"<E>";"<E>";"<E>";"On a retiré son(emploi+couteau)à Luc";"to take off"
"244";"-";"-";"-";"+";"<E>";"saisir";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"L'huissier a saisi les meubles à Max";"to seize"
"248";"-";"-";"-";"+";"<E>";"souffler";"+";"-";"+";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max a soufflé (la place+sa fiancé)à Luc";"to pinch"
"249";"-";"-";"-";"+";"<E>";"soulever";"+";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Ida a soulevé son mari à Zoé";"to pinch"
"252";"-";"-";"+";"-";"<E>";"sous-louer";"+";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"<E>";"sous-location";"<E>";"Les gens de passage sous-louent ce studio à Luc";"to sublet"
"253";"-";"-";"-";"+";"<E>";"sous-louer";"+";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"<E>";"sous-location";"<E>";"Luc sous-loue son studio aux gens de passage";"to sublet"
"256";"-";"-";"-";"+";"<E>";"subtiliser";"+";"-";"+";"-";"+";"-";"+";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"<E>";"<E>";"<E>";"Max a subtilisé son pain à Luc";"to spirit away"
"259";"-";"-";"-";"+";"<E>";"suspendre";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"On a suspendu son traitement à Luc";"to suspend"
"261";"-";"-";"-";"+";"<E>";"taper";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"<E>";"<E>";"<E>";"Max a tapé une cigarette à Luc";"to cadge off"
"264";"+";"-";"-";"+";"<E>";"tenir";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";;"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max tient cette montre de son père";"to have from"
"267";"-";"-";"-";"+";"<E>";"torpiller";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"+";"-";"<E>";"<E>";"<E>";"Flo a torpillé mille francs à Max";"to cadge off"
"268";"+";"-";"-";"+";"<E>";"toucher";"+";"-";"-";"-";"+";"-";"+";"-";"-";"+";;"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max a touché (sa paye+mille francs de Luc)";"to get"
"270";"-";"+";"-";"+";"<E>";"truander";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"truand";"<E>";"<E>";"Max a truandé cent francs à Léa";"to do"
"274";"-";"-";"-";"+";"<E>";"voler";"+";"-";"+";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"+";"-";"<E>";"<E>";"<E>";"Max a volé sa voiture à Luc";"to steal"

