"<ID>";"N1 V W";"<ENT>Ppv";"<ENT>V";"Aux =: avoir";"Aux =: être";"N1 =: Nhum";"N0 lui V N1pc W";"N0 V N1 Loc N1pc W";"N1 =: le fait Qu P";"N1 =: Npl obl";"Ppv =: le";"N0 V N1";"N2 être V-n";"N2 =: point";"N2 =: zone";"V-n instrument";"N0 V N1 entre N2pl obl";"en combien ?";"N1 se V en N2 (statique)";"N1 être Vpp W";"N0 V N2 (E+Loc N1)";"N2 être V-n (forme V-n)";"V-n instrument (forme V-n)";"<OPT>"
"53";"+";"<E>";"essaimer";"+";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"<E>";"Le président a essaimé cette société en plusieurs filiales"
"54";"-";"<E>";"factoriser";"+";"-";"-";"+";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"+";"+";"-";"facteur";"<E>";"Ida a factorisé les expressions"
"55";"-";"<E>";"fédéraliser";"+";"-";"+";"+";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"<E>";"<E>";"Ce traité a fédéralisé l'Allemagne Occidentale en plusieurs provinces"
"56";"+";"<E>";"fendre";"+";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"+";"+";"<E>";"<E>";"Le choc a fendu le billot en deux morceaux"
"57";"~";"<E>";"formater";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a formater son programme en enregistrements à longueur fixe"
"58";"-";"<E>";"fracasser";"+";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"<E>";"<E>";"Max a fracassé le pot(E+en mille morceaux)"
"59";"-";"<E>";"fractionner";"+";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"+";"-";"+";"-";"+";"+";"+";"fraction";"<E>";"On a fractionné la manifestation en trois groupes"
"60";"-";"<E>";"fragmenter";"+";"-";"-";"+";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"+";"+";"fragment";"<E>";"On a fragmenté le pays en plusieurs états"
"61";"-";"<E>";"granuler";"+";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"+";"-";"granule";"<E>";"On granule le plomb en granules fines"
"62";"-";"<E>";"hacher";"+";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"+";"+";"<E>";"hachoir";"Max a haché le rôti en(petits morceaux+un hachis très fin)"
"63";"~";"<E>";"hiérarchiser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"On hiérarchise le montant des primes en 5 catégories"
"64";"~";"<E>";"îloter";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"On a îloté cette banlieue"
"65";"~";"<E>";"javeler";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"On a javelé le blé en javelle"
"66";"-";"<E>";"lacérer";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"<E>";"<E>";"Max a lacéré la jupe en bandes"
"67";"-";"<E>";"lotir";"+";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"+";"-";"lot";"<E>";"Max a loti son terrain en dix parcelles"
"68";"-";"<E>";"massicoter";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"<E>";"massicot";"Max a massicoté la rame en fiches"
"69";"~";"<E>";"microniser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"On a micronisé cette poudre"
"70";"~";"<E>";"mincer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a mincé les carottes en tranches fines"
"71";"-";"<E>";"morceler";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"+";"+";"-";"+";"-";"-";"+";"+";"morceau";"<E>";"Max a morcelé sa propriété en quatre parcelles"
"72";"-";"<E>";"moudre";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"<E>";"<E>";"Max moud le poivre en poudre"
"73";"-";"<E>";"mouliner";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"<E>";"moulin";"Max mouline du poivre"
"74";"~";"<E>";"normer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"On a normé ces produits en quatre catégories"
"75";"-";"<E>";"parcellariser";"+";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"<E>";"<E>";"On a parcellarisé l'enseignement en de nombreux niveaux"
"76";"~";"<E>";"parceller";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Cet acte parcelle le domaine en parcelles égales"
"77";"-";"<E>";"parcelliser";"+";"-";"-";"+";"-";"-";"-";"+";"+";"+";"-";"+";"-";"-";"-";"-";"+";"-";"parcelle";"<E>";"Max a parcellisé son domaine en lots"
"78";"~";"<E>";"parsemer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a parsemé des jouets dans la chambre"
"79";"-";"<E>";"partager";"+";"-";"+";"+";"-";"+";"-";"+";"+";"-";"+";"+";"-";"+";"+";"+";"+";"+";"<E>";"<E>";"Max a partagé le gâteau en six morceaux"
"80";"-";"<E>";"périodiser";"+";"-";"-";"+";"-";"-";"-";"+";"+";"+";"-";"+";"-";"-";"-";"+";"+";"-";"période";"<E>";"Max a périodisé l'histoire du pain"
"81";"+";"<E>";"péter";"+";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"+";"+";"<E>";"<E>";"Max a pété la vitre en mille morceaux"
"82";"-";"<E>";"piler";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"<E>";"<E>";"Max pile des amandes en poudre"
"83";"+";"<E>";"plier";"+";"-";"-";"+";"+";"-";"-";"+";"+";"+";"-";"-";"-";"-";"+";"-";"+";"+";"pli";"<E>";"Max a plié la feuille en deux"
"84";"~";"<E>";"prédécouper";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"On prédécoupe la viande en plusieurs steaks"
"85";"-";"<E>";"pulvériser";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"<E>";"<E>";"Cette machine pulvérise la pierre en poudre fine"
"86";"-";"<E>";"quadriller";"+";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"+";"-";"-";"+";"-";"+";"-";"<E>";"<E>";"On a quadrillé le territoire en neuf régions"
"87";"+";"<E>";"ramifier";"+";"-";"-";"+";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"+";"+";"-";"rameau";"<E>";"Max a ramifié son arbre généalogique en trois branches"
"88";"-";"<E>";"râper";"+";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"+";"+";"<E>";"râpe";"Max a râpé la noix en poudre"
"89";"-";"<E>";"recopier";"+";"-";"-";"+";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"+";"-";"+";"-";"copie";"<E>";"Max a recopié trois exemplaires de son rapport"
"90";"+";"<E>";"réduire";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"<E>";"<E>";"Max a réduit le bloc de pierre en fragments"
"91";"-";"<E>";"repartager";"+";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"<E>";"<E>";"On a repartagé les terres en 10 lots entre les villageois"
"92";"-";"<E>";"répartir";"+";"-";"+";"-";"-";"+";"+";"+";"+";"-";"+";"+";"-";"+";"-";"+";"+";"-";"<E>";"<E>";"Max a réparti la somme en dix entre les amis"
"93";"+";"<E>";"rompre";"+";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"+";"+";"<E>";"<E>";"Max a rompu le bâton en trois morceaux"
"94";"~";"<E>";"saucissonner";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a saucissonné l'ouvrage en trois tomes"
"95";"-";"<E>";"scier";"+";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"<E>";"scie";"Max a scié le bâton en deux morceaux"
"96";"-";"<E>";"scinder";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"+";"-";"+";"+";"+";"+";"+";"<E>";"<E>";"Max a scindé son exposé en trois parties"
"97";"-";"<E>";"sectionner";"+";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"+";"+";"<E>";"<E>";"Max a sectionné le pain en trois morceaux"
"98";"-";"<E>";"sectoriser";"+";"-";"+";"+";"-";"-";"+";"+";"+";"+";"-";"+";"-";"-";"-";"+";"+";"-";"secteur";"<E>";"On a sectorisé la production"
"99";"-";"<E>";"segmenter";"+";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"+";"-";"-";"-";"-";"+";"-";"segment";"<E>";"Max a segmenté son discours en trois"
"100";"-";"<E>";"séparer";"+";"-";"+";"+";"-";"+";"-";"+";"-";"+";"+";"+";"-";"-";"+";"-";"+";"+";"part";"<E>";"Max a séparé sa chambre en deux parties par une cloison"
"101";"-";"<E>";"stratifier";"+";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"+";"-";"-";"-";"+";"+";"-";"strate";"<E>";"Le plissement a stratifié la roche en 12 couches"
"102";"-";"<E>";"subdiviser";"+";"-";"+";"-";"-";"+";"-";"+";"-";"+";"+";"+";"-";"+";"-";"-";"+";"-";"division";"<E>";"Max a subdivisé ce genre en dix classes"
"103";"-";"<E>";"trancher";"+";"-";"-";"+";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"+";"-";"+";"+";"tranche";"<E>";"Max a tranché le pain en tranches fines"
"104";"-";"<E>";"trianguler";"+";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"+";"-";"-";"-";"-";"+";"-";"triangle";"<E>";"Le génie a triangulé le pays"
"105";"-";"<E>";"tronçonner";"+";"-";"-";"+";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"+";"-";"+";"+";"tronçon";"<E>";"Max tronçonne l'arbre en morceaux"
"106";"-";"<E>";"ventiler";"+";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"+";"-";"+";"-";"-";"+";"-";"<E>";"<E>";"Max a ventilé le courrier(en quatre tas+dans les différents services)"
"107";"~";"<E>";"zoner";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"L'informaticien zone le disque en zones"

