"<ID>";"N0 =: Nhum";"N0 =: N-hum";"N0 =: Nnr";"N0 =: V-inf W";"N0 être V-n";"N0 =: Npl obl";"<ENT>Ppv";"Ppv =: se figé";"Ppv =: Neg";"<ENT>V";"Neg";"Aux =: avoir";"Aux =: être";"N0 V";"N0 être V-ant";"N0 être Vpp";"N0pc lui V W";"N0 V de N0pc";"trajet";"de combien ?";"N0 V N1";"Loc N1 =: dans N1";"Loc N1 =: sur N1";"Loc N1 =: contre N1";"Loc N1 =: à N1";"Loc N1 =: vers N1";"autre Loc1";"Loc N1 = Ppv =: y";"N0 lui V Loc N1pc";"N0 V Prép N0pc";"N1 =: le fait Qu P";"N1 être V-n";"N0 être V-ant Prép N1";"[extrap]";"N0 =: idée, N1 =: esprit";"N0 =: Nhum, N1 =: Nabs";"il V Qu P W";"N0 être V-n (forme V-n)";"N1 être V-n (forme V-n)";"<OPT>"
"28";"~";"~";"~";"~";"~";"~";"<E>";"-";"-";"éclater";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max éclate dans son pantalon"
"29";"-";"+";"-";"-";"-";"-";"s'";"+";"-";"écraser";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"<E>";"On s' écrase dans le métro"
"30";"+";"-";"-";"-";"-";"-";"s'";"+";"-";"égarer";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"~";"+";"-";"-";"-";"-";"-";"+";"+";"+";"-";"<E>";"<E>";"Son regard s'est égaré (E+dans le décolleté d'Ida)"
"31";"~";"~";"~";"~";"~";"~";"s'";"+";"-";"égrener";"-";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Les coureurs s' égrènent sur 10 kilomètres"
"32";"~";"~";"~";"~";"~";"~";"s'";"+";"-";"embarrasser";"-";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max s'est embarrassé (E+les pieds)dans la corde"
"33";"~";"~";"~";"~";"~";"~";"<E>";"-";"-";"emmêler";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max s'est emmêlé (dans la corde+dans son discours)"
"34";"+";"-";"-";"-";"-";"-";"s'";"+";"-";"enterrer";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"~";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"<E>";"terre";"Max s' enterre en province"
"35";"~";"~";"~";"~";"~";"~";"<E>";"-";"-";"entrer";"-";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Trois ingrédients entrent dans cette recette"
"36";"~";"~";"~";"~";"~";"~";"<E>";"-";"-";"errer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max erre dans la campagne"
"37";"~";"~";"~";"~";"~";"~";"<E>";"-";"-";"escaler";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Le barreau escale à Véra Cruz"
"38";"~";"~";"~";"~";"~";"~";"s'";"+";"-";"établir";"-";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Le silence s' établit dans la salle"
"39";"~";"~";"~";"~";"~";"~";"<E>";"-";"-";"être";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max est de Paris"
"40";"~";"~";"~";"~";"~";"~";"<E>";"-";"-";"farandoler";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"autour de";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"<E>";"<E>";"Les convives farandolent autour de la table"
"41";"+";"+";"-";"-";"-";"-";"<E>";"-";"-";"farfouiller";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"~";"+";"+";"-";"-";"+";"-";"+";"-";"+";"-";"<E>";"fouillis";"Max farfouille dans le tiroir"
"42";"~";"~";"~";"~";"~";"~";"<E>";"-";"-";"flibuster";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Le pirate flibuste dans les caraïbes"
"43";"~";"~";"~";"~";"~";"~";"<E>";"-";"-";"florir";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"+";"-";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Les arts florissent ici"
"44";"+";"-";"-";"-";"-";"-";"<E>";"-";"-";"flotter";"-";"+";"-";"-";"-";"-";"-";"-";"~";"~";"-";"+";"-";"~";"-";"-";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max flotte dans son pantalon"
"45";"+";"+";"-";"-";"-";"-";"<E>";"-";"-";"fouailler";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"~";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max fouailla (E+dans)la blessure avec son poignard"
"46";"~";"~";"~";"~";"~";"~";"<E>";"-";"-";"fouetter";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"+";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"La pluie fouette (E+contre)les vitres"
"47";"+";"-";"-";"-";"-";"-";"<E>";"-";"-";"fouiller";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"~";"+";"+";"-";"-";"+";"-";"+";"-";"+";"-";"<E>";"fouillis";"Max fouille dans la poubelle"
"48";"+";"+";"-";"-";"+";"-";"<E>";"-";"-";"fouiner";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"~";"+";"+";"-";"-";"-";"-";"+";"-";"+";"-";"fouine";"<E>";"Max fouine (dans la cave+dans le passé de Bob)"
"49";"+";"-";"-";"-";"-";"-";"<E>";"-";"-";"fouir";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"~";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"Le sanglier fouit dans la terre"
"50";"~";"~";"~";"~";"~";"~";"<E>";"-";"-";"fourailler";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Paul fouraille dans(la poubelle+sa barbe)"
"51";"+";"-";"-";"-";"-";"-";"<E>";"-";"-";"fourgonner";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"~";"+";"+";"-";"-";"-";"-";"-";"-";"+";"-";"<E>";"<E>";"Max fourgonne dans la poubelle"
"52";"+";"+";"-";"-";"-";"-";"<E>";"-";"-";"fourrager";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"~";"+";"+";"-";"-";"+";"-";"+";"-";"+";"-";"<E>";"?";"Max fourrage dans(la cave+ses papiers)"
"53";"+";"-";"-";"-";"+";"-";"<E>";"-";"-";"fureter";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"~";"+";"+";"-";"-";"-";"-";"+";"-";"+";"-";"furet";"<E>";"Max a fureté dans toute la maison"
"54";"-";"+";"-";"-";"-";"-";"<E>";"-";"-";"gîter";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"~";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"<E>";"Le bateau gîte de 15 degrés"
"55";"+";"-";"-";"-";"-";"-";"<E>";"-";"-";"gratter";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"~";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max gratte à la porte du fond"
"56";"+";"+";"-";"-";"-";"-";"<E>";"-";"-";"graviter";"-";"+";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"~";"-";"+";"-";"-";"-";"-";"+";"+";"+";"-";"<E>";"<E>";"La terre gravite autour du soleil"
"57";"~";"~";"~";"~";"~";"~";"<E>";"-";"-";"heurter";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a heurté au carreau"
"58";"+";"-";"-";"-";"-";"-";"<E>";"-";"-";"insister";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"~";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max a insisté sur la tache de la manche"
"59";"+";"-";"-";"-";"-";"-";"<E>";"-";"-";"intervenir";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"~";"-";"-";"-";"+";"-";"-";"+";"+";"+";"-";"<E>";"<E>";"Max est intervenu à la télévision"
"60";"+";"-";"-";"-";"-";"-";"<E>";"-";"-";"intervenir";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"~";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"<E>";"Max intervient dans les affaires de Léa"
"61";"-";"+";"-";"-";"-";"-";"<E>";"-";"-";"jouer";"-";"+";"-";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"~";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"La clef joue dans la serrure"
"62";"~";"~";"~";"~";"~";"~";"<E>";"-";"-";"jouer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Le soleil joue (E+à cache-cache)à travers les rideaux"
"63";"~";"~";"~";"~";"~";"~";"<E>";"-";"-";"jouer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Le tenon joue dans la mortaise"
"64";"+";"-";"-";"-";"-";"-";"<E>";"-";"-";"marcher";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"~";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"<E>";"Flo a marché (dans une merde+sur la fleur)"
"65";"+";"+";"+";"+";"-";"-";"<E>";"-";"-";"marquer";"-";"+";"-";"+";"+";"-";"-";"-";"~";"~";"+";"+";"+";"+";"-";"-";"~";"+";"+";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Ces chaussures marquent sur la moquette"
"66";"~";"~";"~";"~";"~";"~";"<E>";"-";"-";"mijoter";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max mijote dans le couloir"
"67";"~";"~";"~";"~";"~";"~";"se";"+";"-";"mirer";"-";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max se mire dans la mare"
"68";"~";"~";"~";"~";"~";"~";"se";"+";"-";"montrer";"-";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Paul s'est montré à la réunion"
"69";"~";"~";"~";"~";"~";"~";"<E>";"-";"-";"mordre";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"+";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Le sauteur a mordu (E+sur la ligne)"
"70";"+";"-";"-";"-";"-";"-";"<E>";"-";"-";"mordre";"-";"+";"-";"+";"-";"-";"-";"-";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"-";"+";"+";"+";"-";"<E>";"<E>";"Max a mordu dans la pomme"
"71";"~";"~";"~";"~";"~";"~";"se";"+";"-";"mouvoir";"-";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max se meut dans un milieu malsain"
"72";"~";"~";"~";"~";"~";"~";"se";"+";"-";"multiplier";"-";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max se multiplie dans les ministères"
"73";"+";"-";"-";"-";"-";"-";"<E>";"-";"-";"nager";"-";"+";"-";"-";"-";"-";"-";"-";"~";"~";"-";"+";"-";"~";"-";"-";"~";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max nage dans ses vêtements"
"74";"-";"+";"-";"-";"-";"-";"<E>";"-";"-";"naître";"-";"-";"+";"-";"-";"-";"-";"-";"~";"~";"-";"+";"+";"-";"+";"-";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Cette rivière naît (sur+de)la colline"
"75";"~";"~";"~";"~";"~";"~";"s'";"+";"-";"oublier";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Toto s'est oublié dans sa culotte"
"76";"+";"-";"-";"-";"-";"-";"<E>";"-";"-";"paraître";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"chez";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"<E>";"Le livre est paru chez Plon"
"77";"~";"~";"~";"~";"~";"~";"<E>";"-";"-";"parquer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max parque au sous-sol"
"78";"~";"~";"~";"~";"~";"~";"<E>";"-";"-";"passer";"-";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"L'avion passe dans le ciel"
"79";"-";"+";"-";"-";"-";"-";"se";"+";"-";"passer";"-";"-";"+";"-";"-";"-";"-";"-";"~";"~";"-";"+";"+";"~";"+";"-";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"La scène se passe à Aix"
"80";"+";"-";"-";"-";"-";"-";"<E>";"-";"-";"patauger";"-";"+";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"~";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"<E>";"<E>";"Max patauge dans(la boue+le sordide)"
"81";"-";"+";"-";"-";"-";"-";"<E>";"-";"-";"patiner";"-";"+";"-";"+";"-";"-";"-";"+";"~";"~";"-";"+";"+";"~";"-";"-";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"La courroie patine sur l'axe"
"82";"+";"-";"-";"-";"-";"-";"<E>";"-";"-";"patouiller";"-";"+";"-";"+";"-";"-";"-";"+";"~";"~";"-";"+";"-";"~";"-";"-";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max patouille dans la boue"
"83";"+";"-";"-";"-";"-";"-";"<E>";"-";"-";"pâturer";"-";"+";"-";"+";"-";"-";"-";"-";"~";"~";"-";"+";"-";"~";"-";"-";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Les moutons pâturent dans la vallée"
"84";"~";"~";"~";"~";"~";"~";"se";"+";"-";"paumer";"-";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max s'est paumé dans les bois"
"85";"+";"-";"-";"-";"-";"-";"se";"+";"-";"pendre";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"~";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"<E>";"Max se pend à la barre fixe"
"86";"-";"+";"-";"-";"-";"-";"<E>";"-";"-";"percuter";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"+";"+";"+";"+";"-";"-";"~";"+";"+";"+";"-";"-";"-";"+";"+";"+";"-";"<E>";"<E>";"(Max+La voiture)a percuté contre l'arbre"
"87";"+";"-";"-";"-";"-";"-";"se";"+";"-";"perdre";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"~";"+";"-";"-";"+";"-";"-";"+";"+";"+";"-";"<E>";"<E>";"Luc s'est perdu dans le bois"
"88";"+";"-";"-";"-";"-";"-";"<E>";"-";"-";"perquisitionner";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"~";"+";"+";"-";"-";"-";"-";"+";"-";"+";"-";"<E>";"<E>";"La police a perquisitionné dans la maison"
"89";"+";"+";"-";"-";"-";"-";"<E>";"-";"-";"peser";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"~";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max pèse de tout son poids sur le levier"
"90";"-";"+";"-";"-";"-";"-";"<E>";"-";"-";"peser";"-";"+";"-";"+";"-";"-";"-";"+";"~";"~";"-";"+";"+";"~";"-";"-";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Le sac lui pèse sur les épaules"
