"<ID>";"N0 lieu source de N1";"N0 lieu de destination de N1";"N1 V W";"N2 V N1";"<ENT>Ppv";"<ENT>V";"Aux =: avoir";"Aux =: être";"N0 dé-V N1 Prép N2 source";"N0 dé-V N1 Loc N3 nv-dest";"N0 V N0pc W";"N0 V N1 sur N1pc";"N1 être V-n";"N1 =: coup";"N1 =: trou";"N0 V N2 (E+de N1)";"Loc N2 =: dans N2 destination";"Loc N2 =: sur N2 destination";"Loc N2 =: contre N2 destination";"Loc N2 =: à N2 destination";"Loc N2 =: autour de N2 destination";"Loc N2 =: vers N2 destination";"Ppv =: y";"N2 être V-n";"de combien ?";"Loc N2 =: sur lui1-même";"N1 être Vpp (statique)";"N1 =: Qu P métaphore";"à Nhum destination";"à Nhum =: Loc Npc";"N1 =: mot, N2 =: texte";"N1 =: idée, N2 =: esprit";"N0 V N1abs Loc N2abs";"N0 V N1hum Loc N2abs";"N1 être V-n (forme V-n)";"N2 être V-n (forme V-n)";"<OPT>"
"14";"-";"-";"-";"-";"<E>";"ajuster";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"+";"-";"-";"-";"-";"<E>";"<E>";"Max a ajusté un coup de poing dans la gueule de Luc"
"15";"-";"-";"-";"-";"<E>";"allonger";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max a allongé Luc sur le lit"
"16";"-";"-";"+";"-";"<E>";"alunir";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"lune";"Les astronautes ont aluni leur vaisseau dans le cratère numéro six"
"17";"~";"~";"~";"~";"<E>";"amener";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Le train amène le blé aux halles"
"18";"-";"-";"+";"-";"<E>";"amerrir";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"mer";"L'équipage a amerri l'hydravion sur un lac"
"19";"-";"-";"-";"+";"<E>";"ancrer";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"+";"-";"+";"+";"+";"+";"+";"ancre";"<E>";"Le capitaine a ancré le bateau dans la rade"
"20";"-";"-";"-";"-";"<E>";"annexer";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"+";"+";"+";"+";"+";"+";"+";"-";"annexe";"<E>";"La Chine a annexé cette île à son territoire"
"21";"-";"-";"-";"-";"<E>";"appliquer";"+";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"+";"+";"+";"-";"-";"+";"-";"-";"+";"+";"+";"+";"+";"-";"-";"-";"-";"<E>";"<E>";"Max applique du vernis sur le meuble"
"22";"~";"~";"~";"~";"<E>";"appliquer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max applique son oreille sur la porte"
"23";"-";"-";"+";"-";"<E>";"apponter";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"pont";"Le pilote a apponté son avion sur le dock"
"24";"-";"-";"-";"-";"<E>";"apposer";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max a apposé sa vignette sur son pare-brise"
"25";"-";"-";"+";"-";"<E>";"appuyer";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max appuie la poutre contre le mur"
"26";"-";"-";"-";"+";"<E>";"archiver";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"+";"+";"+";"-";"archive";"archive";"Max archive ce document dans un classeur"
"27";"-";"-";"-";"-";"<E>";"asséner";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"-";"+";"+";"-";"<E>";"<E>";"Max a asséné un coup sur la table"
"28";"-";"-";"-";"-";"<E>";"asseoir";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"<E>";"<E>";"Max a assis cette construction sur le roc"
"29";"~";"~";"~";"~";"<E>";"atteler";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max attelle un cheval à sa charrue"
"30";"-";"-";"+";"-";"<E>";"atterrir";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"terre";"Max a atterri son avion dans un champ"
"31";"~";"~";"~";"~";"<E>";"attirer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Paul attire Max dans le salon"
"32";"~";"~";"~";"~";"<E>";"asperger";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max asperge de l'eau sur le mur"
"33";"~";"~";"~";"~";"<E>";"avancer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Le chauffeur avance la voiture devant la porte"
"34";"+";"-";"-";"-";"<E>";"aventurer";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"+";"+";"-";"+";"+";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"+";"<E>";"<E>";"Max aventure son bras dans le terrier"
"35";"~";"~";"~";"~";"<E>";"badigeonner";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a badigeonné du vin sur le mur"
"36";"-";"-";"-";"-";"<E>";"baguer";"+";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"bague";"<E>";"Max a bagué du plastique sur le tuyau"
"37";"-";"-";"+";"-";"<E>";"baisser";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"<E>";"<E>";"Max baisse la lampe vers Luc"
"38";"+";"-";"-";"-";"<E>";"balancer";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"+";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"+";"+";"+";"+";"+";"-";"<E>";"<E>";"Max balance son adversaire"
"39";"-";"-";"-";"-";"<E>";"bander";"+";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"bande";"<E>";"Max bande de la gaze sur le bras de Luc"
"40";"-";"-";"-";"-";"<E>";"barbouiller";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"barbouillis";"<E>";"Max barbouille une nature morte sur la toile"
"41";"~";"~";"~";"~";"<E>";"blouser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a blousé la bille dans la poche"
"42";"+";"-";"-";"-";"<E>";"botter";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"<E>";"<E>";"Max a botté le ballon entre les poteaux"
"43";"-";"-";"+";"-";"<E>";"bouturer";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"-";"bouture";"<E>";"Max bouture des géraniums dans du sable"
"44";"~";"~";"~";"~";"<E>";"broder";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a brodé un motif de fil d'or sur son bas"
"45";"~";"~";"~";"~";"<E>";"brouetter";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max brouette du fumier dans le pré"
"46";"~";"~";"~";"~";"<E>";"buter";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a buté le ballon(vers l'aile+en touche)"
"47";"~";"~";"~";"~";"<E>";"buter";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a buté l'échelle contre le mur"
"48";"-";"-";"-";"+";"<E>";"cacher";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"+";"+";"-";"+";"+";"+";"-";"<E>";"cache";"Max cache l'évadé chez lui"
"49";"-";"-";"-";"-";"<E>";"cadastrer";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"cadastre";"Max a cadastré son pré"
"50";"-";"-";"-";"+";"<E>";"cadrer";"+";"-";"+";"+";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"cadre";"<E>";"Max cadre la cible dans le collimateur"
"51";"-";"-";"-";"+";"<E>";"camoufler";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"+";"+";"-";"+";"-";"+";"-";"<E>";"camouflage";"Max camoufle le pot dans le lit"
"52";"-";"-";"-";"-";"<E>";"camper";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"+";"+";"+";"-";"<E>";"<E>";"Max campe son chapeau sur la tête"
"53";"~";"~";"~";"~";"<E>";"carguer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Le matelot a cargué la voile(sur+autour de)la vergue"
"54";"-";"-";"-";"-";"<E>";"carrer";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"?";"<E>";"Max a carré une cigarette dans la bouche de Luc"
"55";"-";"-";"-";"-";"<E>";"caser";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"+";"+";"+";"-";"<E>";"case";"Max a casé son lit dans un coin"
"56";"-";"-";"-";"+";"<E>";"cataloguer";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"<E>";"catalogue";"Max a catalogué ce livre dans la liste"
"57";"-";"-";"-";"+";"<E>";"catégoriser";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"+";"+";"+";"+";"<E>";"catégorie";"Max a catégorisé ce verbe dans la table 38LD"
"58";"~";"~";"~";"~";"<E>";"ceintrer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max ceint l'écharpe jaune à Luc"
"59";"-";"-";"-";"-";"<E>";"centrer";"+";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"centre";"<E>";"Max centre Luc dans son collimateur"
"60";"-";"-";"-";"-";"<E>";"charger";"+";"-";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"charge";"<E>";"Max a chargé le paquet sur le camion"
"61";"-";"-";"-";"+";"<E>";"charger";"+";"-";"+";"-";"-";"-";"+";"-";"-";"+";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"charge";"<E>";"Paul a chargé la balle dans le(fusil+chargeur)"
"62";"~";"~";"~";"~";"<E>";"charroyer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max charroie des pierres dans le jardin"
"63";"~";"~";"~";"~";"<E>";"chausser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max chausse des bottes aux pieds"
"64";"-";"-";"-";"-";"<E>";"chavirer";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"La tempête a chaviré le bateau"
"65";"~";"~";"~";"~";"<E>";"chavirer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a chaviré son camion dans le fossé"
"66";"-";"-";"-";"+";"<E>";"classer";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"+";"+";"+";"-";"<E>";"classeur";"Max classe ce timbre dans les rares"
"67";"~";"~";"~";"~";"<E>";"cloquer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a cloqué les papiers dans le tiroir"
"68";"-";"-";"+";"-";"<E>";"cogner";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max cogne des coups(à+sur)la porte"
"69";"-";"-";"+";"-";"<E>";"coller";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max a collé le rapport dans son tiroir"
"70";"+";"-";"-";"-";"<E>";"coller";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"<E>";"<E>";"Max colle l'armoire(à+contre)la porte"
"71";"~";"~";"~";"~";"<E>";"colporter";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max colporte des lacets sur le marché"
"72";"~";"~";"~";"~";"<E>";"coltiner";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max coltine des paquets à la gare"
"73";"-";"-";"-";"+";"<E>";"conditionner";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"conditionnement";"Max conditionne les pains dans des containers"
"74";"-";"-";"-";"-";"<E>";"consigner";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"consigne";"Max a consigné sa valise"
"75";"-";"-";"-";"-";"<E>";"coucher";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"couche";"Max couche Luc par terre"
"76";"-";"-";"+";"-";"<E>";"couler";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max a coulé du bronze dans un moule"
"77";"-";"-";"+";"-";"<E>";"couler";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max a coulé le bateau par le fond"
"78";"+";"-";"-";"-";"<E>";"couler";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max coule sa main dans l'ouverture"
"79";"~";"~";"~";"~";"<E>";"crasher";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a crashé son avion sur la piste"
"80";"-";"-";"-";"-";"<E>";"creuser";"+";"-";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"creux";"<E>";"Max creuse des trous dans le sol"
"81";"~";"~";"~";"~";"<E>";"darder";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Le soleil darde ses rayons sur les prés"
"82";"~";"~";"~";"~";"<E>";"déballer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max déballe le linge sur le comptoir"
"83";"~";"~";"~";"~";"<E>";"décalquer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max décalque le profil sur une feuille"
"84";"~";"~";"~";"~";"<E>";"décentraliser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Cette mesure décentralise les usines en province"
"85";"+";"-";"-";"-";"<E>";"décocher";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"<E>";"Max a décoché une flèche dans la cible"
"86";"~";"~";"~";"~";"<E>";"dégager";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a dégagé la balle en touche"
"87";"-";"-";"-";"-";"<E>";"déplier";"+";"-";"-";"-";"+";"+";"+";"-";"-";"-";"+";"+";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"+";"+";"-";"pli";"<E>";"Max a déplié la carte sur la table"
"88";"-";"-";"-";"-";"<E>";"déployer";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"+";"+";"-";"<E>";"<E>";"Max déploie la carte sur la table"
"89";"~";"~";"~";"~";"<E>";"déporter";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Le vent déporte la voiture dans le fossé"
"90";"+";"-";"-";"-";"<E>";"déposer";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"dépôt";"<E>";"Max a déposé des fleurs sur la tombe de Luc"
"91";"+";"-";"-";"-";"<E>";"déposer";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"<E>";"<E>";"Le fleuve dépose des alluvions dans la vallée"
"92";"~";"~";"~";"~";"<E>";"déposer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max dépose de l'argent sur son compte à la banque"
"93";"~";"~";"~";"~";"<E>";"disposer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max dispose une sentinelle à chaque coin de rue"
"94";"-";"-";"-";"+";"<E>";"dissimuler";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"<E>";"<E>";"Max dissimule une bombe dans son lit"
