"<ID>";"N0 =: Nhum";"N0 =: Nnr";"N0 =: le fait Qu P";"N0 =: V1-inf W";"N0 =: V2-inf W";"<ENT>Ppv";"<ENT>V";"Aux =: avoir";"Aux =: être";"N0 V";"N0 V N1";"N1 =: Nhum";"N1 =: N-hum";"N0 V N2";"N0 V N2 =: N0 V Qu Psubj";"N0 être V-ant pour N1";"N1 se V de ce Qu P";"N1 se V auprès de N3hum de ce Qu P";"N1 être Vpp par N0";"N1 être Vpp de N0";"N0 V Prép N2";"N2 =: Qu Pind";"N2 =: Qu Psubj";"Prép N2 =: Prép ce Qu P = Qu P";"N2 =: si P ou si P";"N2 =: V0-inf W";"N2 =: V1-inf W";"Tc =: passé";"Tc =: futur";"N2 =: ce(ci+la)";"Prép N2 =: Prép Qu P = Ppv";"N2 =: Nhum";"N2 =: N-hum";"N2 =: le fait Qu P";"il être Vpp Prép N2 (E+par N0)";"N1 être Vpp par N0 de ce Qu P";"N1 être Vpp de N0 de ce Qu P";"<OPT>";"<ENGLISH>";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"11";"+";"+";"+";"+";"-";"<E>";"alerter";"+";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"+";"+";"+";"-";"-";"+";"-";"+";"+";"+";"-";"+";"-";"-";"+";"-";"Max alerte Luc de ce que la police va arriver";"to warn"
"12";"+";"+";"+";"+";"-";"<E>";"assurer";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"-";"+";"+";"+";"-";"+";"+";"+";"+";"-";"Cette loi assure Max de ce que ses droits seront respectés";"to assure"
"13";"+";"+";"+";"+";"-";"<E>";"avertir";"+";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"+";"-";"+";"+";"-";"+";"-";"+";"+";"+";"-";"+";"+";"-";"+";"-";"Max a averti Luc de ce qu'il risquait gros";"to warn"
"14";"+";"-";"-";"-";"-";"<E>";"aviser";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"+";"-";"+";"-";"+";"+";"+";"-";"+";"+";"-";"+";"-";"Max avise Luc de ce qu'il doit partir";"to notify"
"15";"+";"-";"-";"-";"-";"<E>";"blaguer";"+";"-";"+";"+";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"+";"-";"+";"+";"-";"+";"-";"+";"+";"-";"Max blague Luc de ce qu'il porte une jupe";"to tease"
"16";"+";"-";"-";"-";"-";"<E>";"blâmer";"+";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"+";"+";"-";"+";"+";"-";"+";"-";"-";"+";"+";"Max blâme Luc de ce qu'il a insulté Ida";"to blame"
"17";"+";"+";"+";"+";"-";"<E>";"blanchir";"+";"-";"+";"+";"+";"-";"+";"-";"+";"-";"-";"+";"-";"+";"+";"+";"-";"-";"-";"+";"+";"-";"+";"+";"-";"+";"-";"-";"+";"-";"Max a blanchi Luc de ce qu'il avait insulté Ida";"to clear"
"18";"+";"+";"+";"+";"+";"<E>";"blaser";"+";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"-";"-";"+";"-";"+";"+";"+";"+";"+";"-";"-";"+";"-";"Les événements ont blasé Luc de refaire sa vie";"to make blasé"
"19";"+";"-";"-";"-";"-";"<E>";"bouder";"+";"-";"-";"+";"+";"+";"+";"+";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"+";"+";"+";"Max boude Luc de ce qu'il ne l'ait pas averti";"to refuse to talk"
"20";"+";"+";"+";"+";"+";"<E>";"changer";"+";"-";"+";"+";"+";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"-";"-";"+";"-";"-";"+";"+";"+";"+";"+";"-";"+";"-";"Aller à la mer change Max de ce qu'il aille skier";"to make a change"
"21";"+";"-";"-";"-";"-";"<E>";"chapitrer";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"+";"+";"-";"+";"+";"-";"+";"-";"-";"+";"+";"Max a chapitré Luc de ce que tout est en désordre";"to admonish"
"22";"+";"-";"-";"-";"-";"<E>";"charger";"+";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"+";"+";"-";"+";"+";"-";"+";"-";"Le juge charge Luc de ce qu'il y a eu beaucoup de dégâts";"to charge"
"23";"+";"-";"-";"-";"-";"<E>";"charger";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"+";"+";"+";"+";"-";"-";"+";"-";"Max charge Luc de ce que tout soit en ordre";"to give one the responsability"
"24";"+";"-";"-";"-";"-";"<E>";"charrier";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"+";"+";"-";"+";"+";"-";"+";"-";"-";"+";"+";"Max charrie Luc de ce qu'il s'est fait prendre";"to kid one on"
"25";"+";"-";"-";"-";"-";"<E>";"châtier";"+";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"Max châtie Luc de ce qu'il a commis ce crime";"to castigate"
"26";"+";"-";"-";"-";"-";"<E>";"chicaner";"+";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"+";"+";"+";"-";"-";"+";"+";"-";"+";"+";"-";"+";"-";"+";"+";"-";"Max chicane Luc de ce qu'il s'est trompé";"to quibble with"
"27";"+";"-";"-";"-";"-";"<E>";"complimenter";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"-";"+";"+";"Max complimente Luc de ce qu'il a réussi";"to congratulate"
"28";"+";"-";"-";"-";"-";"<E>";"congratuler";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"+";"-";"+";"+";"-";"+";"-";"-";"+";"-";"Max a congratulé Luc de ce que tout est en ordre";"to congratulate"
"29";"+";"-";"-";"-";"-";"<E>";"conjurer";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"+";"+";"-";"+";"-";"-";"-";"-";"+";"-";"Max conjure Luc de ce qu'il parte";"to beseech"
"30";"+";"+";"+";"+";"-";"<E>";"consoler";"+";"-";"+";"+";"+";"-";"-";"-";"+";"+";"+";"+";"-";"+";"+";"-";"-";"-";"-";"+";"+";"-";"+";"+";"+";"+";"+";"-";"+";"-";"Max console Luc de ce qu'il n'a pas été élu";"to console"
"31";"+";"-";"-";"-";"-";"<E>";"conspuer";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"-";"+";"-";"La foule conspue Luc de ce que tout est en désordre";"to boo"
"32";"+";"+";"+";"+";"-";"<E>";"convaincre";"+";"-";"+";"+";"+";"-";"-";"-";"+";"+";"+";"+";"-";"+";"+";"-";"+";"-";"+";"+";"+";"+";"+";"+";"-";"+";"+";"-";"+";"-";"Max convainc Luc de ce qu'il mette tout en ordre";"to convince"
"33";"+";"-";"-";"+";"-";"<E>";"convaincre";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"+";"+";"-";"+";"+";"-";"+";"-";"Le jury a convaincu Luc d'avoir fait un faux témoignage";"?"
"34";"+";"+";"+";"+";"-";"<E>";"corriger";"+";"-";"+";"+";"+";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"-";"-";"-";"-";"+";"+";"-";"+";"+";"-";"+";"-";"-";"+";"-";"Max corrige Luc d'avoir volé le livre";"to thrash"
"35";"+";"+";"+";"+";"-";"<E>";"créditer";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"+";"-";"+";"+";"-";"+";"-";"-";"+";"-";"Max crédite Luc de ce que tout soit en ordre";"to credit"
"36";"+";"+";"+";"+";"+";"<E>";"débarrasser";"+";"-";"+";"+";"+";"-";"-";"-";"-";"+";"+";"+";"-";"+";"-";"+";"-";"-";"-";"+";"-";"+";"+";"+";"+";"+";"-";"-";"+";"-";"Cette mesure débarrasse Luc de faire cette corvée";"to relieve"
"37";"+";"+";"+";"+";"+";"<E>";"débecter";"+";"-";"+";"+";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"+";"+";"+";"+";"+";"+";"+";"-";"-";"+";"-";"Qu'Ida reste débecte Max";"to disgust"
"38";"+";"+";"+";"+";"-";"<E>";"décharger";"+";"-";"+";"+";"+";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"+";"-";"-";"-";"+";"-";"+";"+";"+";"-";"+";"-";"-";"+";"-";"Max décharge Luc de ce qu'il fasse ce travail";"to relieve"
"39";"+";"+";"+";"+";"-";"<E>";"décourager";"+";"-";"+";"+";"+";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"+";"-";"-";"-";"+";"-";"+";"+";"+";"-";"+";"-";"-";"+";"-";"Qu'Ida parte décourage Max de rester";"to discourage"
"40";"+";"+";"+";"+";"-";"<E>";"dédommager";"+";"-";"+";"+";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"+";"+";"-";"-";"-";"+";"+";"-";"+";"+";"-";"+";"+";"-";"+";"-";"Max dédommage Luc de ce qu'il a eu des pertes";"to compensate"
"41";"+";"+";"+";"+";"-";"<E>";"défier";"+";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"Max défie Luc de ce qu'il saute";"to challenge"
"42";"+";"+";"+";"+";"+";"<E>";"dégager";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"+";"-";"+";"+";"+";"+";"+";"-";"-";"+";"-";"Max dégage Luc de ce qu'il se rende à Gap";"to release"
"43";"+";"+";"+";"+";"+";"<E>";"dégoûter";"+";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"+";"-";"+";"+";"+";"+";"+";"-";"-";"+";"-";"Max dégoûte Luc de ce qu'il remette tout en ordre";"to put one off"
"44";"+";"+";"+";"+";"+";"<E>";"délasser";"+";"-";"+";"+";"+";"+";"-";"-";"+";"+";"+";"+";"-";"+";"+";"+";"-";"-";"-";"+";"+";"-";"+";"+";"+";"+";"-";"-";"+";"-";"Ce film délasse son esprit de ce qu'il a travaillé";"to divert"
"45";"+";"+";"+";"+";"-";"<E>";"délier";"+";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"+";"-";"+";"+";"+";"-";"+";"-";"-";"+";"-";"Cette loi délie Luc de ce qu'il fasse ce travail";"to release"
"46";"+";"+";"+";"+";"+";"<E>";"délivrer";"+";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"+";"-";"+";"+";"+";"+";"+";"-";"-";"+";"-";"Cette loi délivre Max de ce qu'il paie des impôts";"to relieve"
"47";"+";"+";"+";"+";"+";"<E>";"désaccoutumer";"+";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"+";"+";"+";"+";"-";"-";"+";"-";"Max désaccoutume Luc de ce que tout soit en ordre";"to disaccustom from"
"48";"-";"+";"+";"+";"-";"<E>";"désaffectionner";"+";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"+";"+";"+";"+";"-";"-";"+";"-";"Les prix ont désaffectionné Max de ce qu'il aille au cinéma";"to tire"
"49";"+";"+";"+";"+";"-";"<E>";"désespérer";"+";"-";"+";"+";"+";"-";"-";"-";"+";"+";"+";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"+";"+";"-";"+";"-";"-";"+";"-";"La situation désespère Max de ce qu'il réussisse de revenir";"to drive one to despair"
"50";"+";"+";"+";"+";"+";"<E>";"déshabituer";"+";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"+";"+";"+";"+";"-";"-";"+";"-";"Ce traitement déshabituera Max de(ce qu'il fume+fumer)";"to get out one of the habit"
"51";"+";"+";"+";"+";"-";"<E>";"désintéresser";"+";"-";"+";"+";"+";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"+";"-";"-";"-";"+";"-";"+";"+";"+";"+";"+";"+";"-";"+";"-";"Ceci désintéresse Max de ce que tout soit en ordre";"to tire"
"52";"+";"+";"+";"+";"+";"<E>";"désintéresser";"+";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"+";"-";"-";"-";"+";"+";"+";"+";"+";"+";"+";"+";"-";"+";"-";"(Max+Cette somme) désintéresse Luc de ce qu'il a subit ces dommages";"to pay off"
"53";"+";"+";"+";"+";"+";"<E>";"détourner";"+";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"+";"-";"+";"+";"+";"+";"+";"-";"-";"+";"-";"Max détourne Luc de(ce qu'il parte+partir)";"to divert"
"54";"+";"+";"+";"+";"-";"<E>";"disculper";"+";"-";"+";"+";"+";"-";"-";"-";"+";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"+";"+";"-";"+";"-";"-";"+";"-";"Le juge a disculpé Luc de ce qu'il était accusé d'un crime";"to exculpate from"
"55";"+";"+";"+";"+";"-";"<E>";"dispenser";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"+";"-";"+";"+";"+";"-";"+";"-";"-";"+";"-";"Max a dispensé Luc de ce qu'il se rende au contrôle";"to exempt"
"56";"+";"+";"+";"+";"-";"<E>";"dissuader";"+";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"-";"+";"-";"+";"+";"+";"-";"-";"-";"-";"+";"-";"Max dissuade Luc de ce qu'il vienne";"to dissuade"
"57";"+";"+";"+";"+";"-";"<E>";"distraire";"+";"-";"+";"+";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"+";"+";"-";"+";"+";"-";"+";"-";"-";"+";"-";"Max a distrait Ida de ce qu'elle continue son travail";"to distract"
"58";"+";"+";"+";"+";"-";"<E>";"divertir";"+";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"+";"+";"-";"+";"-";"-";"+";"-";"Max a diverti Luc de ce qu'il fasse cette erreur";"to divert"
"59";"+";"+";"+";"+";"+";"<E>";"écoeurer";"+";"-";"+";"+";"+";"-";"-";"-";"+";"+";"-";"+";"-";"+";"-";"+";"-";"-";"-";"+";"+";"-";"+";"+";"+";"+";"-";"-";"+";"-";"Eva a écoeuré Max de manger des nouilles";"to nauseate"
"60";"+";"+";"+";"+";"+";"<E>";"éloigner";"+";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"+";"-";"+";"+";"+";"+";"+";"-";"-";"+";"-";"Ce contretemps éloigne Max de terminer sa thèse";"to take one away"
"61";"+";"+";"+";"+";"-";"<E>";"émanciper";"+";"-";"+";"+";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"+";"-";"+";"+";"+";"+";"+";"-";"-";"+";"-";"Les circonstances ont émancipé Eva d 'avoir à obéir à ses parents";"to liberate"
"62";"+";"+";"+";"+";"-";"<E>";"embarrasser";"+";"-";"+";"+";"+";"+";"-";"-";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"+";"+";"-";"+";"+";"-";"+";"-";"Max embarrasse l'esprit de(ce qu'Ida est partie+ces idées)";"to clutter"
"63";"+";"+";"+";"+";"-";"<E>";"emplir";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"+";"+";"-";"+";"+";"-";"+";"-";"Max a empli son rapport de ce que Luc était génial";"to fill"
"64";"+";"+";"+";"+";"-";"<E>";"empreindre";"+";"-";"-";"-";"+";"+";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"+";"+";"-";"+";"+";"-";"+";"-";"La philosophie avait empreint sa pensée de ce que tout est relatif";"to stamp"
"65";"+";"+";"+";"+";"-";"<E>";"encombrer";"+";"-";"+";"+";"+";"+";"-";"-";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"+";"+";"-";"+";"+";"-";"+";"-";"Max a encombré son esprit de(ce que Marie était partie+détails inutiles)";"to clutter"
"66";"+";"+";"+";"+";"-";"<E>";"engluer";"+";"-";"+";"+";"+";"+";"-";"-";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"+";"+";"-";"+";"+";"-";"+";"-";"Ida a englué son esprit de ce que Luc l'avait quitté";"to clutter"
"67";"+";"-";"-";"-";"-";"<E>";"engueuler";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"+";"+";"-";"+";"+";"-";"+";"-";"-";"+";"+";"Max engueule Ida de ce qu'elle arrive en retard";"to bawl one out"
"68";"+";"-";"-";"-";"-";"<E>";"enguirlander";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"+";"+";"-";"+";"+";"-";"+";"-";"-";"+";"+";"Max enguirlande Ida de ce qu'elle arrive en retard";"to give one a telling-off"
"69";"-";"+";"+";"+";"+";"<E>";"enticher";"+";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"+";"+";"+";"+";"-";"-";"-";"-";"La fréquentation des cafés a entiché Marie(E+de jouer au 421)";"to make one hooked on"
"70";"+";"-";"-";"-";"-";"<E>";"entretenir";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"+";"-";"+";"-";"Max a entretenu Luc de ce que la porte n'était jamais fermée";"to converse with"
"71";"+";"+";"+";"+";"-";"<E>";"excuser";"+";"-";"+";"+";"+";"-";"+";"+";"-";"+";"+";"+";"+";"+";"+";"+";"-";"-";"-";"+";"+";"-";"+";"+";"-";"+";"-";"-";"+";"+";"(Ceci+Max) excuse que Marie soit absente";"to excuse"
"72";"+";"+";"+";"+";"-";"<E>";"exempter";"+";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"+";"-";"+";"+";"+";"-";"+";"-";"-";"+";"-";"On a exempté les cadres de payer cette taxe";"to exempt"
"73";"+";"+";"+";"+";"+";"<E>";"fatiguer";"+";"-";"+";"+";"+";"+";"-";"-";"+";"+";"-";"+";"-";"+";"+";"+";"-";"-";"-";"+";"+";"-";"+";"+";"+";"+";"-";"-";"+";"-";"La rude qualité des programmes fatigue Max d'écouter la radio";"to wear out"
"74";"+";"-";"-";"-";"-";"<E>";"féliciter";"+";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"+";"-";"+";"+";"-";"+";"-";"-";"+";"+";"Max félicite Luc de ce que tout est en ordre";"to congratulate"
"75";"+";"+";"+";"+";"-";"<E>";"frustrer";"+";"-";"+";"+";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"+";"-";"-";"+";"-";"La grève a frustré les enfants d'aller au cirque";"to frustrate"
"76";"+";"-";"-";"-";"-";"<E>";"galéjer";"+";"-";"+";"+";"+";"-";"+";"+";"-";"-";"-";"+";"-";"+";"+";"+";"-";"-";"-";"+";"+";"-";"+";"+";"-";"+";"-";"+";"+";"-";"Max galèje Ida de ce qu'elle est tombée";"to spin one a yard about"
"77";"+";"+";"+";"+";"+";"<E>";"garantir";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"-";"-";"+";"-";"+";"+";"+";"+";"+";"-";"-";"+";"-";" (Max + Ceci) garantit  Léa (de ce qu'on puisse l'attaquer + des attaques) ";"to protect"
"78";"+";"+";"+";"+";"+";"<E>";"garder";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"+";"-";"+";"+";"+";"+";"+";"-";"-";"+";"-";"Que Dieu garde Max de ce que Léa revienne";"to save"
"79";"+";"+";"+";"+";"-";"<E>";"glorifier";"+";"-";"-";"+";"+";"+";"+";"+";"-";"+";"+";"+";"-";"-";"+";"+";"-";"-";"-";"+";"+";"-";"+";"+";"-";"+";"-";"-";"+";"+";"Max glorifie Léa de ce qu'elle ait réussi";"to glorify"
"80";"+";"-";"-";"-";"-";"<E>";"gourmander";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"+";"-";"-";"+";"-";"+";"-";"-";"+";"-";"Max a gourmandé Bob d'être arrivé en retard";"to rebuke"
"81";"+";"+";"+";"+";"-";"<E>";"gracier";"+";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"-";"-";"-";"-";"+";"+";"-";"+";"+";"-";"+";"-";"-";"+";"-";"On a gracié Max d'avoir à subir ce supplice";"to pardon"
"82";"+";"-";"-";"-";"-";"<E>";"gronder";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"+";"+";"-";"-";"+";"-";"+";"-";"-";"+";"+";"Max a grondé Léa d'être arrivée en retard";"to scold"
"83";"+";"+";"+";"+";"+";"<E>";"guérir";"+";"-";"+";"+";"+";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"-";"-";"+";"-";"+";"+";"+";"+";"+";"-";"+";"+";"-";"Ceci a guéri Max de faire des bêtises";"to cure"
