"<ID>";"N0 =: Npc";"N0 =: N-hum";"N0 =: Nnr";"N0 être V-n";"<ENT>Ppv";"Ppv =: se figé";"<ENT>V";"Aux =: avoir";"Aux =: être";"N1 V";"N1 =: Nhum";"N1 =: N-hum";"N1 =: le fait Qu P";"N1 être V-n";"N1 =: Dnum Nmes";"Ppv =: le";"N actif V N0";"N0 V Adv";"N1 être V-n (forme V-n)";"<OPT>";"<ENGLISH>"
"22";"-";"-";"-";"-";"<E>";"-";"coiffer";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"<E>";"Max coiffe du cinquante";"to take a X hat"
"23";"-";"+";"+";"-";"<E>";"-";"commander";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"<E>";"Cet acte commande le respect";"to compel"
"24";"+";"+";"-";"-";"<E>";"-";"comporter";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"<E>";"Ce livre comporte dix chapitres";"to include"
"25";"-";"+";"-";"-";"<E>";"-";"composer";"+";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"<E>";"Dix roses composent son bouquet";"to make up"
"26";"-";"+";"-";"-";"<E>";"-";"comprendre";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"<E>";"Ce livre comprend dix chapitres";"to include"
"27";"+";"+";"-";"-";"<E>";"-";"compter";"+";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"compte";"Ce livre compte dix chapitres";"to include"
"28";"-";"+";"-";"-";"<E>";"-";"compter";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"<E>";"Max compte 10 ans de service";"to have"
"29";"-";"+";"-";"-";"<E>";"-";"connaître";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"<E>";"Ce pays connaît des grèves";"to experience"
"30";"~";"~";"~";"~";"<E>";"-";"conserver";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Paul conserve la forme";"to keep"
"31";"-";"+";"-";"-";"<E>";"-";"constituer";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"<E>";"Ton intervention constitue une erreur";"to constitute"
"32";"-";"+";"-";"-";"<E>";"-";"contenir";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"<E>";"Le flacon contient 1 litre";"to hold"
"33";"-";"+";"-";"-";"<E>";"-";"coter";"+";"-";"-";"-";"-";"-";"+";"+";"+";"+";"-";"cote";"L'or cote mille francs";"to quote"
"34";"-";"+";"+";"-";"<E>";"-";"coûter";"+";"-";"-";"-";"-";"-";"+";"+";"+";"-";"+";"coût";"Cette auto coûte (dix mille francs+cher)";"to cost"
"35";"-";"+";"-";"-";"<E>";"-";"couvrir";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"<E>";"La propriété couvre plus d'un hectare";"to cover"
"36";"-";"+";"-";"-";"<E>";"-";"craindre";"+";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"<E>";"Ce tissu craint l'eau";"to be easily damaged by"
"37";"+";"+";"-";"-";"<E>";"-";"cuber";"+";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"<E>";"Ce fût cube trois cents litres";"to have a cubic capacity of"
"38";"~";"~";"~";"~";"<E>";"-";"découvrir";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"La robe découvre son dos";"to uncover"
"39";"+";"+";"-";"-";"<E>";"-";"décrire";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"<E>";"La route décrit une courbe";"to follow"
"40";"~";"~";"~";"~";"<E>";"-";"défier";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Son attitude défie le bon sens";"?"
"41";"-";"+";"-";"-";"<E>";"-";"dégager";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"<E>";"La robe dégage la nuque";"to leave bare"
"42";"~";"~";"~";"~";"<E>";"-";"demander";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Ce tapis demande un lavage";"to need"
"43";"+";"+";"+";"-";"<E>";"-";"demeurer";"-";"+";"-";"+";"+";"-";"-";"-";"+";"-";"+";"<E>";"Max demeure un caïd";"to remain"
"44";"~";"~";"~";"~";"<E>";"-";"dénuder";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Sa robe dénude le dos";"to leave bare"
"45";"~";"~";"~";"~";"<E>";"-";"dépasser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max dépasse (la quarantaine+les 100Kgs.)";"to exceed"
"46";"-";"+";"-";"-";"<E>";"-";"déplacer";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"<E>";"Ce pétrolier déplace dix milles tonnes";"to displace"
"47";"~";"~";"~";"~";"<E>";"-";"déplorer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"On a déploré dix décès";"to lament"
"48";"~";"~";"~";"~";"<E>";"-";"déshabiller";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Cette robe déshabille son dos";"to uncover"
"49";"~";"~";"~";"~";"<E>";"-";"déterminer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"La blessure a déterminé la mort de Max";"to lead to"
"50";"+";"+";"-";"-";"<E>";"-";"développer";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"<E>";"Ce moteur développe cent chevaux";"to have a power of"
"51";"+";"+";"+";"-";"<E>";"-";"devenir";"-";"+";"-";"+";"+";"-";"-";"-";"+";"-";"+";"<E>";"Léa est devenue une belle fille";"to become"
"52";"~";"~";"~";"~";"<E>";"-";"dire";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Ses yeux disent sa fatigue";"to say"
"53";"-";"+";"-";"-";"<E>";"-";"donner";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"<E>";"Le blé donne dix quintaux à l'hectare";"to yield"
"54";"-";"+";"-";"-";"<E>";"-";"durer";"+";"-";"-";"-";"+";"-";"+";"+";"-";"-";"+";"durée";"La séance dure 3 heures";"to last"
"55";"-";"+";"-";"-";"<E>";"-";"égaler";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"?";"X égale Y";"to equal"
"56";"-";"+";"-";"-";"<E>";"-";"embaumer";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"<E>";"Les draps embaument la lavande";"to be fragant with the scent of"
"57";"+";"+";"-";"-";"<E>";"-";"empester";"+";"-";"-";"-";"+";"-";"-";"-";"+";"+";"+";"<E>";"Le camembert empeste l'ammoniaque";"to stink of"
"58";"+";"+";"-";"-";"<E>";"-";"empoisonner";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"<E>";"Ce fromage empoisonne l'ammoniaque";"to stink of"
"59";"~";"~";"~";"~";"<E>";"-";"enregistrer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"On a enregistré une hausse";"to ring up"
"60";"-";"-";"-";"-";"<E>";"-";"éprouver";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"<E>";"Ce projet éprouve des contre-temps";"to experience"
"61";"+";"+";"+";"-";"<E>";"-";"être";"+";"-";"-";"+";"+";"+";"-";"-";"+";"-";"+";"<E>";"Max est un idiot";"to be"
"62";"~";"~";"~";"~";"<E>";"-";"être";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max est un écrivain célèbre";"to be"
"63";"+";"+";"+";"-";"<E>";"-";"excéder";"+";"-";"-";"+";"+";"+";"-";"-";"+";"-";"+";"<E>";"Ce loyer excède 1000 euros";"to exceed"
"64";"~";"~";"~";"~";"<E>";"-";"exprimer";"+";"-";"~";"~";"~";"~";"+";"~";"~";"~";"~";"expression";"Son visage exprime la surprise";"to express"
"65";"+";"-";"-";"-";"<E>";"-";"faire";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"<E>";"La table fait 3 m";"to measure"
"66";"-";"+";"-";"-";"<E>";"-";"faire";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"<E>";"Max fait le clown";"to play"
"67";"~";"~";"~";"~";"<E>";"-";"faire";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max fait très homme";"to look"
"68";"-";"+";"-";"-";"<E>";"-";"filer";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"<E>";"Le bateau file 14 noeuds";"to do"
"69";"-";"+";"-";"-";"<E>";"-";"fleurer";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"<E>";"Cette affaire fleure l'escroquerie";"to reveal"
"70";"-";"+";"+";"-";"<E>";"-";"former";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"Cette phase forme un contre exemple à la théorie";"to form"
"71";"~";"~";"~";"~";"<E>";"-";"former";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"La route forme une série de courbes";"?"
"72";"-";"+";"-";"-";"<E>";"-";"fouetter";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"<E>";"La cuisine fouette le hareng";"to stink of"
"73";"-";"+";"-";"-";"<E>";"-";"friser";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"<E>";"Max frise  la(dépression+cinquantaine)";"to be within an ace to"
"74";"-";"+";"-";"-";"<E>";"-";"frôler";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"<E>";"Max frôle la(crise+cinquante)";"to be within an ace to"
"75";"-";"+";"+";"-";"<E>";"-";"gagner";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"<E>";"Max gagne (1000 F par mois+gros+cher+lourd)";"to earn"
"76";"~";"~";"~";"~";"<E>";"-";"ganter";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max gante du sept";"?"
"77";"-";"+";"+";"-";"<E>";"-";"intéresser";"+";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"<E>";"Cette taxe intéresse les gros revenus";"to give an interest in"
"78";"+";"+";"-";"-";"<E>";"-";"jauger";"+";"-";"-";"-";"-";"-";"+";"+";"+";"+";"-";"jauge";"Ce bâton jauge 50 tonneaux";"to have a capacity of"
"79";"~";"~";"~";"~";"<E>";"-";"jouer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max joue sa(vie+réputation)";"to bet"
"80";"-";"+";"-";"-";"<E>";"-";"manifester";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"Paul manifeste de la mauvaise humeur";"to show"
"81";"-";"+";"-";"-";"<E>";"-";"marquer";"+";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"marque";"Le compteur marque 100 km";"to mark"
"82";"~";"~";"~";"~";"<E>";"-";"mériter";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Cette lettre mérite une réponse";"to deserve"
"83";"+";"+";"-";"-";"<E>";"-";"mesurer";"+";"-";"-";"-";"-";"-";"+";"+";"+";"+";"-";"mesure";"Cette table mesure deux mètres";"to measure"
"84";"~";"~";"~";"~";"<E>";"-";"montrer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Cette voiture montre des signes de fatigue";"?"
"85";"~";"~";"~";"~";"<E>";"-";"montrer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"La robe montre les jambes";"to reveal"
"86";"-";"-";"-";"-";"<E>";"-";"montrer";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"Max a montré du courage";"to show"
"87";"~";"~";"~";"~";"<E>";"-";"paraître";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max paraît trente ans";"to look"
"88";"~";"~";"~";"~";"<E>";"-";"perdre";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max a perdu 10 Kg";"to lose"
"89";"+";"+";"-";"-";"<E>";"-";"peser";"+";"-";"-";"-";"-";"-";"+";"+";"+";"+";"+";"poids";"Le sac pèse 10 kg.";"to weigh"
"90";"-";"-";"-";"-";"<E>";"-";"posséder";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"<E>";"La valise possède deux poignées";"to have"
"91";"-";"+";"-";"-";"<E>";"-";"présenter";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"<E>";"Cette voiture présente des avantages";"to present"
"92";"-";"-";"+";"-";"<E>";"-";"primer";"+";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"<E>";"Sa bêtise prime sa méchanceté";"to outdo"
"93";"~";"~";"~";"~";"<E>";"-";"produire";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Ce vin produit un dépôt";"?"
"94";"+";"+";"-";"-";"<E>";"-";"puer";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"<E>";"Ce fromage pue l'ammoniaque";"to stink of"
"95";"-";"-";"-";"-";"<E>";"-";"quitter";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"<E>";"Max a quitté son manteau";"to take off"
"96";"-";"+";"-";"-";"<E>";"-";"réaliser";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"<E>";"Cet écrivain réalise le type de romancier populaire";"to be"
"97";"-";"+";"+";"-";"<E>";"-";"receler";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"<E>";"Ce texte recèle des informations";"to conceal"
"98";"~";"~";"~";"~";"<E>";"-";"recevoir";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Ce stade reçoit 10.000 personnes";"to accomodate"
"99";"~";"~";"~";"~";"<E>";"-";"recouvrir";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Son indolence recouvre une grande énergie";"to hide"
"100";"-";"+";"-";"-";"<E>";"-";"redevenir";"-";"+";"-";"+";"+";"-";"-";"-";"+";"-";"+";"<E>";"Max est redevenu le président";"to become again"
"101";"-";"-";"-";"-";"<E>";"-";"refuser";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"<E>";"Le théâtre refuse du monde";"to turn away"
"102";"-";"+";"-";"-";"<E>";"-";"regarder";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"<E>";"La maison regarde le lac";"to face"
"103";"-";"+";"-";"-";"<E>";"-";"regarder";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"<E>";"Cette affaire regarde la police";"to concern"
"104";"-";"+";"+";"-";"<E>";"-";"rencontrer";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"(Max+Ce projet)a rencontré des difficultés";"to meet with"
"105";"-";"+";"-";"-";"<E>";"-";"rendre";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"<E>";"Cette terre rend 50 quintaux à l'hectare";"to yield"
"106";"~";"~";"~";"~";"<E>";"-";"renifler";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Cette pièce renifle l'ail";"to smell"
"107";"-";"+";"-";"-";"<E>";"-";"représenter";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"<E>";"Cette dépense représente une grosse somme";"to represent"
"108";"~";"~";"~";"~";"<E>";"-";"représenter";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Cette photo représente Max";"?"
"109";"+";"+";"-";"-";"<E>";"-";"respirer";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"<E>";"Son visage respire la(santé+bonté)";"to radiate"
"110";"+";"+";"+";"-";"<E>";"-";"rester";"-";"+";"-";"+";"+";"+";"-";"-";"+";"-";"+";"<E>";"Max est resté (E+le)président";"to remain"
"111";"~";"~";"~";"~";"<E>";"-";"révéler";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Ses yeux révèlent une grande fatigue";"to reveal"
"112";"~";"~";"~";"~";"se";"+";"révéler";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Cet achat s'est révélé une erreur";"to reveal"
"113";"~";"~";"~";"~";"<E>";"-";"revêtir";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Qu'Ida parte revêt pour Max une grande importance";"to take on"
"114";"-";"+";"-";"-";"<E>";"-";"schlinguer";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"<E>";"Ce rôti schlingue la merde";"to pong"
"115";"+";"+";"-";"-";"<E>";"-";"sentir";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"<E>";"La pièce sent le jasmin";"to smell"
"116";"~";"~";"~";"~";"<E>";"-";"sentir Advm";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"La cuisine sent bon le chou";"to smell"
"117";"-";"+";"-";"-";"<E>";"-";"sonner";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"<E>";"Cette pendule sonne dix heures";"to ring"
"118";"-";"+";"-";"-";"<E>";"-";"souffrir";"+";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"<E>";"Ces statues ont souffert certaines déprédations";"to suffer"
"119";"~";"~";"~";"~";"<E>";"-";"souffrir";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Cette règle ne souffre pas d'exception";"?"
"120";"-";"+";"-";"-";"<E>";"-";"stérer";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"<E>";"Le tas stère 10 stères";"?"
"121";"-";"+";"-";"-";"<E>";"-";"subir";"+";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"<E>";"Le pétrole subit la hausse prévue";"to subject to"
"122";"-";"-";"-";"-";"<E>";"-";"suer";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"<E>";"Ce livre sue le plagiat";"to exude"
"123";"-";"+";"-";"-";"<E>";"-";"tailler";"+";"-";"-";"-";"+";"-";"+";"+";"-";"+";"+";"taille";"Cette veste taille du cinq";"to have a size of"
"124";"+";"+";"-";"-";"<E>";"-";"tarer";"+";"-";"-";"-";"-";"-";"+";"+";"+";"+";"-";"tare";"Cette pièce tare deux kilos";"to tare"
"125";"+";"+";"-";"-";"<E>";"-";"tenir";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"+";"<E>";"Ce vase tient trois litres";"to hold"
"126";"-";"+";"-";"-";"<E>";"-";"tenir";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"<E>";"La colère tient Max";"to hold"
"127";"+";"+";"-";"-";"<E>";"-";"titrer";"+";"-";"-";"-";"-";"-";"+";"+";"+";"+";"-";"titre";"Ce vin titre 14 degrés";"to be X° proof"
"128";"+";"+";"-";"-";"<E>";"-";"toiser";"+";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"<E>";"Max toise six pieds";"to be N feet tall"
"129";"-";"+";"+";"-";"<E>";"-";"tolérer";"+";"-";"-";"-";"+";"+";"+";"+";"-";"-";"-";"tolérance";"Cette règle tolère des exceptions";"to stand"
"130";"-";"+";"-";"-";"<E>";"-";"tomber";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"Noël tombe un jeudi";"to fall"
"131";"~";"~";"~";"~";"<E>";"-";"traduire";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Ces rides traduisent sa fatigue";"?"
"132";"~";"~";"~";"~";"<E>";"-";"trahir";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Ses yeux trahissent sa fatigue";"?"
"133";"~";"~";"~";"~";"<E>";"-";"transpirer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max transpire la bêtise";"to radiate"
"134";"~";"~";"~";"~";"<E>";"-";"traverser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max traverse des moments difficiles";"?"
"135";"~";"~";"~";"~";"<E>";"-";"trouver";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max a trouvé des(obstacles+difficultés)";"?"
"136";"+";"+";"+";"-";"<E>";"-";"valoir";"+";"-";"-";"-";"-";"-";"+";"+";"+";"-";"+";"valeur";"Ce bijou vaut cent francs";"to be worth"
"137";"-";"+";"+";"-";"<E>";"-";"valoir";"+";"-";"-";"+";"+";"+";"-";"-";"+";"-";"-";"<E>";"Une blanche vaut deux noires";"to equal"
"138";"~";"~";"~";"~";"<E>";"-";"voir";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Le XVIIIème siècle a vu la chute de la royauté";"?"
"139";"-";"-";"-";"-";"<E>";"-";"voter";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"<E>";"Max a voté (Luc+communiste)";"to vote"
"140";"~";"~";"~";"~";"se";"+";"vouloir";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max se veut compétent";"to pretend to be"

