"<ID>";"N0 être V-n";"<ENT>Ppv";"Ppv =: se figé";"Ppv =: en figé";"Ppv =: le figé";"Ppv =: la figé";"Ppv =: y figé";"Ppv =: Neg";"<ENT>V";"Neg";"Aux =: avoir";"Aux =: être";"N0 être V-ant";"N0 être Vpp";"N0pc lui V W";"N0 V de N0pc";"N0hum V W sur ce point";"N0 V vers N";"[extrap]";"N0idée V Loc N1esprit";"N0hum V Loc Nabs";"N0 =: N-hum métaphore";"N0 être V-n (forme V-n)";"<OPT>";"<ENGLISH>"
"28";"-";"<E>";"-";"-";"-";"-";"-";"-";"arquer";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"<E>";"Max a arqué toute la journée";"to curve"
"29";"-";"s'";"+";"-";"-";"-";"-";"-";"arracher";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"<E>";"Max s'est arraché , je n'aurais pas cru qu'il réussirait";"?"
"30";"-";"<E>";"-";"-";"-";"-";"-";"-";"arriver";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"<E>";"Max est arrivé ";"to arrive"
"31";"-";"s'";"+";"-";"-";"-";"-";"-";"arsouiller";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"Ida s' arsouille dans des pubs";"?"
"32";"-";"<E>";"-";"-";"-";"-";"-";"-";"atermoyer";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"<E>";"Max atermoie ";"to procastinate"
"33";"~";"<E>";"-";"-";"-";"-";"-";"-";"autocensurer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Les journalistes s'autocensurent ";"?"
"34";"~";"<E>";"-";"-";"-";"-";"-";"-";"autocritiquer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Le chef s'est autocritiqué ";"?"
"35";"~";"<E>";"-";"-";"-";"-";"-";"-";"autodéterminer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Ce peuple s'est autodéterminé ";"?"
"36";"~";"<E>";"-";"-";"-";"-";"-";"-";"autofinancer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max s'autofinance ";"?"
"37";"~";"<E>";"-";"-";"-";"-";"-";"-";"autogérer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Ces ouvriers s'autogèrent ";"?"
"38";"-";"s'";"+";"-";"-";"-";"-";"-";"autosuggestionner";"-";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"<E>";"Ida s' autosuggestionne ";"?"
"39";"~";"en";"-";"+";"-";"-";"-";"-";"avoir";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max en a ";"?"
"40";"~";"l'";"-";"-";"+";"-";"-";"-";"avoir voulu";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max l' aura voulu ";"?"
"41";"+";"<E>";"-";"-";"-";"-";"-";"-";"badauder";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"badaud";"Max badaude ";"to stroll"
"42";"~";"<E>";"-";"-";"-";"-";"-";"-";"bâiller";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max bâille ";"?"
"43";"-";"<E>";"-";"-";"-";"-";"-";"-";"baisser";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"<E>";"Max baisse avec l'âge";"to have got weaker"
"44";"~";"<E>";"-";"-";"-";"-";"-";"-";"baliser";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max balise à mort";"?"
"45";"-";"<E>";"-";"-";"-";"-";"-";"-";"bambocher";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"Max bamboche ";"to live it up"
"46";"-";"<E>";"-";"-";"-";"-";"-";"-";"bander";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"<E>";"Max bande (E+comme un cerf)";"to have a hard-on"
"47";"~";"<E>";"-";"-";"-";"-";"-";"-";"baratiner";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Paul baratine ";"?"
"48";"-";"ne";"-";"-";"-";"-";"-";"+";"barguigner";"+";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"<E>";"Max ne barguigne pas sur ce point";"?"
"49";"-";"<E>";"-";"-";"-";"-";"-";"-";"barouder";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"Max a beaucoup baroudé ";"to fight"
"50";"-";"<E>";"-";"-";"-";"-";"-";"-";"batifoler";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"+";"+";"+";"<E>";"Max batifole ";"to lark"
"51";"-";"<E>";"-";"-";"-";"-";"-";"-";"bêcher";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"<E>";"Max bêche ";"to be stuck-up"
"52";"~";"<E>";"-";"-";"-";"-";"-";"-";"bémoliser";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max bémolise (E+dans la dispute)";"?"
"53";"+";"<E>";"-";"-";"-";"-";"-";"-";"bêtifier";"-";"+";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"bête";"Max bêtifie ";"to prattle stupidity"
"54";"~";"<E>";"-";"-";"-";"-";"-";"-";"bétonner";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"L'équipe de Milan bétonne constamment";"?"
"55";"+";"<E>";"-";"-";"-";"-";"-";"-";"bigler";"-";"+";"-";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"bigleux";"Max bigle ";"to squint"
"56";"~";"<E>";"-";"-";"-";"-";"-";"-";"blinder";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max a blindé de dix francs";"?"
"57";"~";"<E>";"-";"-";"-";"-";"-";"-";"bluffer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max bluffe au poker";"to bluff"
"58";"~";"<E>";"-";"-";"-";"-";"-";"-";"boire";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max boit ";"to drink"
"59";"-";"<E>";"-";"-";"-";"-";"-";"-";"boiter";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"-";"-";"-";"<E>";"Max boite de la jambe gauche";"to limp"
"60";"-";"<E>";"-";"-";"-";"-";"-";"-";"boitiller";"-";"+";"-";"+";"-";"-";"+";"-";"+";"+";"-";"-";"-";"<E>";"Max boitille de la jambe gauche";"to limp slightly"
"61";"~";"se";"+";"-";"-";"-";"-";"-";"bomber";"-";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Question d'obtenir un poste, il peut se bomber ";"?"
"62";"~";"<E>";"-";"-";"-";"-";"-";"-";"bosser";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max bosse (E+bien)";"?"
"63";"~";"<E>";"-";"-";"-";"-";"-";"-";"botaniser";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max botanise le Dimanche";"?"
"64";"-";"la";"-";"-";"-";"+";"-";"-";"boucler";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"<E>";"Max la boucle sur ce problème";"?"
"65";"+";"<E>";"-";"-";"-";"-";"-";"-";"bouffonner";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"bouffon";"Max bouffonne ";"to play the fool"
"66";"~";"<E>";"-";"-";"-";"-";"-";"-";"bouger";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max bouge ";"?"
"67";"~";"se";"+";"-";"-";"-";"-";"-";"bouger";"-";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max s'est bougé pour (Marie+cette cause)";"?"
"68";"~";"ne";"-";"-";"-";"-";"-";"+";"bouger";"+";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Les journaux n'ont pas bougé (E+dans cette affaire)";"?"
"69";"-";"<E>";"-";"-";"-";"-";"-";"-";"bourlinguer";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"<E>";"Max a bourlingué partout";"to get around a lot"
"70";"-";"<E>";"-";"-";"-";"-";"-";"-";"bourrer";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"Max bourre pour finir l'heure";"to speed up"
"71";"-";"<E>";"-";"-";"-";"-";"-";"-";"boursicoter";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"Max boursicote ";"to speculate in a small way"
"72";"~";"<E>";"-";"-";"-";"-";"-";"-";"bovaryser";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Ida bovaryse ";"?"
"73";"~";"<E>";"-";"-";"-";"-";"-";"-";"brailler";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"L'enfant braille ";"?"
"74";"~";"ne";"-";"-";"-";"-";"-";"+";"branler";"+";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Paul ne branle rien ";"?"
"75";"-";"<E>";"-";"-";"-";"-";"-";"-";"bricoler";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"<E>";"Max bricole ";"to do odd jobs"
"76";"-";"<E>";"-";"-";"-";"-";"-";"-";"briller";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"<E>";"Max brille sur cette question";"to stand out"
"77";"~";"<E>";"-";"-";"-";"-";"-";"-";"bringuer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max a bringué toute la nuit";"?"
"78";"-";"<E>";"-";"-";"-";"-";"-";"-";"broncher";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"<E>";"Ce cheval a bronché ";"to stumble"
"79";"-";"ne";"-";"-";"-";"-";"-";"+";"broncher";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"<E>";"Max n'a pas bronché ";"?"
"80";"-";"<E>";"-";"-";"-";"-";"-";"-";"buller";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"Max bulle ";"to laze around"
"81";"-";"<E>";"-";"-";"-";"-";"-";"-";"caboter";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"<E>";"Max cabote le long des côtes";"to ply"
"82";"+";"<E>";"-";"-";"-";"-";"-";"-";"cabotiner";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"cabotin";"Max cabotine ";"to playact"
"83";"-";"<E>";"-";"-";"-";"-";"-";"-";"cabrioler";"-";"+";"-";"+";"-";"-";"-";"-";"+";"+";"+";"-";"-";"<E>";"Max cabriole ";"to caper"
"84";"-";"<E>";"-";"-";"-";"-";"-";"-";"cafarder";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"Max cafarde (=a le cafard)";"to be down in the dumps"
"85";"-";"<E>";"-";"-";"-";"-";"-";"-";"cailler";"-";"+";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"<E>";"Max caille ";"to be cold"
"86";"-";"<E>";"-";"-";"-";"-";"-";"-";"calancher";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"<E>";"Le vieux a calanché ";"to croak"
"87";"-";"se";"+";"-";"-";"-";"-";"-";"camer";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"Ida se came à la coke";"?"
"88";"-";"<E>";"-";"-";"-";"-";"-";"-";"caner";"-";"+";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"<E>";"Victor Hugo(a+est) cané ";"to kick the bucket"
"89";"~";"<E>";"-";"-";"-";"-";"-";"-";"canner";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Victor Hugo a canné ";"to kick the bucket"
"90";"-";"<E>";"-";"-";"-";"-";"-";"-";"canoter";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"<E>";"Max canote ";"?"
"91";"-";"<E>";"-";"-";"-";"-";"-";"-";"caracoler";"-";"+";"-";"+";"-";"-";"-";"-";"+";"+";"+";"+";"+";"<E>";"Le cheval caracole ";"to caracole"
"92";"~";"<E>";"-";"-";"-";"-";"-";"-";"carambouiller";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max carambouille ";"?"
"93";"~";"<E>";"-";"-";"-";"-";"-";"-";"carburer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max a carburé pour arriver";"?"
"94";"~";"<E>";"-";"-";"-";"-";"-";"-";"cartonner";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"(Max+l'équipe)a cartonné à son dernier match";"?"
"95";"~";"<E>";"-";"-";"-";"-";"-";"-";"cartonner";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max a cartonné à son examen";"?"
"96";"-";"<E>";"-";"-";"-";"-";"-";"-";"cascader";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"<E>";"Max cascade (E+dans ce film)";"to cascade"
"97";"-";"<E>";"-";"-";"-";"-";"-";"-";"cavalcader";"-";"+";"-";"+";"-";"-";"-";"-";"+";"+";"+";"-";"+";"<E>";"Le cheval cavalcade ";"to swarm"
"98";"-";"<E>";"-";"-";"-";"-";"-";"-";"cavaler";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"Max cavale ";"to run"
"99";"~";"se";"+";"-";"-";"-";"-";"-";"caver";"-";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max s'est cavé de mille francs";"?"
"100";"~";"<E>";"-";"-";"-";"-";"-";"-";"centrer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Platini a centré ";"?"
"101";"-";"<E>";"-";"-";"-";"-";"-";"-";"chahuter";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"<E>";"Max chahute ";"to make an uproar"
"102";"-";"<E>";"-";"-";"-";"-";"-";"-";"chalouper";"-";"+";"-";"-";"-";"+";"+";"-";"-";"+";"+";"-";"+";"<E>";"Ida chaloupe du bassin";"to have a rolling gait"
"103";"~";"<E>";"-";"-";"-";"-";"-";"-";"champignonner";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Paul champignonne ";"?"
"104";"-";"se";"+";"-";"-";"-";"-";"-";"changer";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"Ida se change ";"?"
"105";"-";"<E>";"-";"-";"-";"-";"-";"-";"chevaucher";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"<E>";"Max chevauche vers Gap";"to ride"
"106";"-";"<E>";"-";"-";"-";"-";"-";"-";"chiner";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"Max chine ";"to deal in secondhand goods"
"107";"-";"<E>";"-";"-";"-";"-";"-";"-";"chinoiser";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"<E>";"Max chinoise sur le prix";"to split hairs"
"108";"-";"<E>";"-";"-";"-";"-";"-";"-";"chipoter";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"<E>";"Max chipote sur son steak";"to nibble"
"109";"~";"<E>";"-";"-";"-";"-";"-";"-";"chuter";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Les élèves ont chuté le prof";"?"
"110";"-";"<E>";"-";"-";"-";"-";"-";"-";"chuter";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"Max a chuté de deux levées";"to go down two"
"111";"+";"<E>";"-";"-";"-";"-";"-";"-";"ciller";"-";"+";"-";"-";"-";"+";"+";"+";"-";"+";"-";"-";"-";"cil";"Max a cillé devant la lumière";"to blink"
"112";"~";"ne";"-";"-";"-";"-";"-";"+";"ciller";"+";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max ne cilla pas devant l'attaque";"?"
"113";"-";"<E>";"-";"-";"-";"-";"-";"-";"claboter";"-";"+";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"+";"<E>";"Max a claboté ";"to snuff it"
"114";"-";"<E>";"-";"-";"-";"-";"-";"-";"clamser";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"Max(est+a) clamsé ";"to snuff it"
"115";"~";"<E>";"-";"-";"-";"-";"-";"-";"clapoter";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Paul(est+a) clapoté l'an dernier";"to snuff it"
"116";"-";"<E>";"-";"-";"-";"-";"-";"-";"clapper";"-";"+";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"<E>";"Max clappe de la langue";"to click one's tongue"
"117";"-";"<E>";"-";"-";"-";"-";"-";"-";"claquer";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"Max a claqué d'un infarctus";"to snuff it"
"118";"-";"<E>";"-";"-";"-";"-";"-";"-";"claudiquer";"-";"+";"-";"+";"-";"-";"+";"-";"+";"+";"-";"-";"-";"<E>";"Max claudique légèrement de la jambe droite";"to limp"
"119";"-";"<E>";"-";"-";"-";"-";"-";"-";"cligner";"-";"+";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"<E>";"Max cligne des yeux";"to blink"
"120";"-";"<E>";"-";"-";"-";"-";"-";"-";"clopiner";"-";"+";"-";"+";"-";"-";"+";"-";"+";"+";"-";"-";"-";"<E>";"Max clopine vers la porte";"to hobble"
"121";"-";"<E>";"-";"-";"-";"-";"-";"-";"communier";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"Les fidèles ont communié d'une hostie";"to receive communion"
"122";"-";"<E>";"-";"-";"-";"-";"-";"-";"communiquer";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"<E>";"Flo communiquera sur la sémantique";"to communicate"
"123";"-";"<E>";"-";"-";"-";"-";"-";"-";"composer";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"<E>";"Les élèves composent en Maths";"to be doing a test"
"124";"-";"se";"+";"-";"-";"-";"-";"-";"comprendre";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"<E>";"Max se comprend quand il dit cela";"?"
"125";"~";"se";"+";"-";"-";"-";"-";"-";"concentrer";"-";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"L'athlète se concentre ";"?"
"126";"-";"se";"+";"-";"-";"-";"-";"-";"conduire Advm";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"<E>";"Max s'est bien conduit (E+à la guerre)";"?"
"127";"-";"ne se";"+";"-";"-";"-";"-";"+";"connaître";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"<E>";"Flo ne se connaît plus ";"?"
"128";"-";"<E>";"-";"-";"-";"-";"-";"-";"consommer";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"Les Français consomment (E+souvent au bar)";"to consume"
"129";"-";"<E>";"-";"-";"-";"-";"-";"-";"consulter";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"<E>";"Le médecin consulte dans son hôpital";"to hold surgery"
"130";"-";"se";"+";"-";"-";"-";"-";"-";"coucher";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"Le boxeur s'est couché au second round";"?"
"131";"-";"se";"+";"-";"-";"-";"-";"-";"couper";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"<E>";"Max s'est coupé dans ses déclarations";"?"
"132";"-";"<E>";"-";"-";"-";"-";"-";"-";"crapahuter";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"<E>";"Max crapahute ";"to trudge over difficult ground"
"133";"-";"<E>";"-";"-";"-";"-";"-";"-";"craquer";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"<E>";"Max a craqué ";"to break down"
"134";"-";"<E>";"-";"-";"-";"-";"-";"-";"cravacher";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"<E>";"Max cravache (E+pour son examen)";"to work like mad"
"135";"-";"<E>";"-";"-";"-";"-";"-";"-";"crever";"-";"+";"+";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"<E>";"Luc (a+est) crevé ";"to snuff it"
"136";"~";"<E>";"-";"-";"-";"-";"-";"-";"crier";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max cri , pousse un cri ";"?"
"137";"~";"<E>";"-";"-";"-";"-";"-";"-";"croire";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max croit (E+en Dieu)";"to believe"
"138";"-";"se";"+";"-";"-";"-";"-";"-";"croire";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"<E>";"Max se croit ";"?"
