"<ID>";"N0 lieu de destination de N1";"N1 V";"N0 être V-n";"<ENT>Ppv";"<ENT>V";"Aux =: avoir";"Aux =: être";"N0 V N0pc W";"N1 être V-n";"N0 V N1";"N0 V N2 (E+de N1)";"Loc N2 =: de N2 source";"Loc N2 =: Loc N2 source, Loc # de";"Loc N3 =: vers N3";"N0 V N1 Loc N2 source Loc N3 destination";"Ppv =: y";"N2 être V-n";"V-n instrument";"N1 être Vpp (statique)";"N1 =: Qu P métaphore";"à Nhum source";"à Nhum =: Loc Npc";"de Nhum source";"N1 =: mot, (N2+N3) =: texte";"N1 =: idée, (N2+N3) =: esprit";"N0 V N1abs Loc (N2abs+N3abs)";"N0 V N1hum Loc (N2abs+N3abs)";"N0 être V-n (forme V-n)";"N1 être V-n (forme V-n)";"N2 être V-n (forme V-n)";"V-n instrument (forme V-n)";"<OPT>"
"21";"-";"-";"-";"<E>";"cureter";"+";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"Max a cureté la tumeur de l'estomac de Paul"
"22";"-";"-";"-";"<E>";"déballer";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"<E>";"<E>";"ballot";"<E>";"Max déballe les pots de la caisse"
"23";"~";"~";"~";"<E>";"débarquer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"<E>";"Les passagers débarquent (à Paris+au débarcadère)"
"24";"-";"-";"-";"<E>";"débiter";"+";"-";"-";"-";"+";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"Max débite dix francs du compte de Luc"
"25";"~";"~";"~";"<E>";"débloquer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"<E>";"Max a débloqué une grosse somme de son compte pour cette opération"
"26";"~";"~";"~";"<E>";"débourber";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"<E>";"Max a débourbé la voiture du chemin"
"27";"-";"-";"-";"<E>";"décaler";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"Max a décalé la pièce d'une position"
"28";"-";"-";"-";"<E>";"décaper";"+";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"Max a décapé la crasse du mur"
"29";"~";"~";"~";"<E>";"décapiter";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"<E>";"Max a décapité le haut de ses arbres"
"30";"-";"-";"-";"<E>";"décapuchonner";"+";"-";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"<E>";"capuchon";"<E>";"<E>";"Max décapuchonne le stylo de Marie"
"31";"~";"~";"~";"<E>";"décarcérer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"<E>";"Les secouristes ont décarcéré les blessés de la voiture"
"32";"-";"-";"-";"<E>";"décentrer";"+";"-";"-";"+";"+";"-";"+";"-";"+";"-";"-";"+";"-";"+";"+";"-";"-";"-";"+";"+";"+";"+";"<E>";"centre";"centre";"<E>";"On a décentré l'axe de ce rouage de son axe"
"33";"-";"-";"-";"<E>";"déchausser";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"?";"<E>";"Le scorbut déchausse les dents de la gencive"
"34";"-";"+";"-";"<E>";"déchirer";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"Max a déchiré une feuille du calepin"
"35";"~";"~";"~";"<E>";"déclasser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"<E>";"Le juge a déclassé ce fonctionnaire"
"36";"-";"+";"-";"<E>";"décoller";"+";"-";"-";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"L'avion décolle pour Gap"
"37";"-";"-";"-";"<E>";"décompter";"+";"-";"-";"-";"+";"-";"+";"+";"-";"-";"+";"+";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"compte";"<E>";"Max décompte les frais de ses bénéfices"
"38";"~";"~";"~";"<E>";"décoquiller";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"<E>";"Max a décoquillé la viande de la coquille"
"39";"-";"-";"-";"<E>";"découper";"+";"-";"-";"-";"+";"-";"+";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"Max découpe la photo dans le journal"
"40";"~";"~";"~";"<E>";"décrocher";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"<E>";"Max a décroché les tableaux du mur"
"41";"-";"-";"-";"<E>";"déduire";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"-";"+";"-";"<E>";"<E>";"<E>";"<E>";"Max a déduit dix francs de la note"
"42";"-";"-";"-";"<E>";"défaire";"+";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"Max a défait la corde de l'arbre"
"43";"-";"-";"-";"<E>";"défalquer";"+";"-";"-";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"Max défalque dix francs de la note"
"44";"-";"-";"-";"<E>";"défourner";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"four";"<E>";"Max défourne le pain"
"45";"-";"-";"-";"<E>";"défricher";"+";"-";"-";"+";"+";"+";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"friche";"<E>";"<E>";"Max défriche les mauvaises herbes du terrain"
"46";"~";"~";"~";"<E>";"dégager";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"<E>";"Max dégage ses bijoux du Mont de piété"
"47";"-";"+";"-";"<E>";"dégager";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"Max dégage les meubles du couloir"
"48";"~";"~";"~";"<E>";"dégager";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"<E>";"Max dégage des crédits sur son budget"
"49";"-";"-";"-";"<E>";"dégainer";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"gaine";"<E>";"Max dégaine son épée du fourreau"
"50";"-";"-";"-";"<E>";"dégommer";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"+";"+";"-";"<E>";"<E>";"<E>";"<E>";"Paul a dégommé la pipe du présentoir"
"51";"-";"-";"-";"<E>";"dégonder";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"gond";"<E>";"Max a dégondé la porte du chambranle"
"52";"-";"+";"-";"<E>";"dégringoler";"+";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"Max a dégringolé les quilles de l'étagère"
"53";"-";"+";"-";"<E>";"déjanter";"+";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"jante";"<E>";"Max a déjanté le pneu de sa jante"
"54";"~";"~";"~";"<E>";"déloger";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"<E>";"Max a délogé le lapin du terrier"
"55";"-";"+";"-";"<E>";"déménager";"+";"-";"-";"-";"+";"+";"+";"-";"+";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"Guy déménage les objets inutiles de la pièce"
"56";"-";"-";"-";"<E>";"démouler";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"moule";"<E>";"Max a démoulé le gâteau de son moule"
"57";"-";"-";"-";"<E>";"dépiauter";"+";"-";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"peau";"<E>";"<E>";"Max a dépiauté la peau du lapin"
"58";"-";"-";"-";"<E>";"dépoter";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"pot";"<E>";"Max dépote la plante de son bac"
"59";"-";"-";"-";"<E>";"déquiller";"+";"-";"-";"+";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"+";"+";"-";"<E>";"quille";"<E>";"<E>";"Max a déquillé les flacons de l'étagère"
"60";"-";"-";"-";"<E>";"déraciner";"+";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"<E>";"racine";"<E>";"<E>";"La tempête a déraciné les buis de leurs pots"
"61";"-";"-";"-";"<E>";"désaxer";"+";"-";"-";"+";"+";"-";"+";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"<E>";"axe";"<E>";"?";"Le choc a désaxé la roue de son axe"
"62";"~";"~";"~";"<E>";"désincarcérer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"<E>";"Les pompiers ont désincarcéré le passager(E+coincé dans sa voiture)de la carcasse"
"63";"-";"-";"-";"<E>";"détacher";"+";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"+";"+";"+";"+";"<E>";"<E>";"<E>";"<E>";"La tour détache sa masse(du+sur le)ciel"
"64";"-";"-";"-";"<E>";"dételer";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"Max dételle le cheval de la voiture"
"65";"-";"-";"-";"<E>";"déterrer";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"terre";"<E>";"Max a déterré le corps de la tombe"
"66";"~";"~";"~";"<E>";"détortiller";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"<E>";"Max a détortillé la bouteille du chiffon"
"67";"~";"~";"~";"<E>";"dévaser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"<E>";"On a dévasé le véhicule de la vase"
"68";"-";"-";"-";"<E>";"dévider";"+";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"Max dévide le fil de la bobine"
"69";"~";"~";"~";"<E>";"disperser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"<E>";"Le vent disperse le brouillard(E+de la plaine)"
"70";"-";"-";"-";"<E>";"dissiper";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"+";"+";"-";"<E>";"<E>";"<E>";"<E>";"Le vent dissipe les nuages de la plaine"
"71";"-";"-";"-";"<E>";"distancier";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"+";"-";"<E>";"<E>";"<E>";"<E>";"L'auteur a distancié sa pièce de la réalité"
"72";"-";"-";"-";"<E>";"distraire";"+";"-";"-";"-";"+";"-";"+";"+";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"<E>";"<E>";"<E>";"<E>";"Max a distrait de l'argent de la caisse"
"73";"-";"-";"-";"<E>";"draguer";"+";"-";"-";"-";"+";"+";"+";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"dragueuse";"On a dragué la vase de la rivière"
"74";"-";"-";"-";"<E>";"drainer";"+";"-";"-";"-";"+";"+";"+";"+";"+";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"drain";"On draine le pus de la plaie"
"75";"-";"-";"-";"<E>";"écosser";"+";"-";"-";"+";"-";"+";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"?";"cosse";"<E>";"Max écosse les petits pois"
"76";"~";"~";"~";"<E>";"écroûter";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"<E>";"Max a écroûté la croûte de ce pain"
"77";"-";"-";"-";"<E>";"écumer";"+";"-";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"<E>";"écume";"<E>";"<E>";"Max écume l'écume du bouillon"
"78";"-";"-";"-";"<E>";"effacer";"+";"-";"-";"-";"+";"+";"+";"+";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"+";"+";"-";"<E>";"<E>";"<E>";"<E>";"Max a effacé cette inscription du tableau"
"79";"-";"-";"-";"<E>";"éjecter";"+";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"+";"+";"+";"+";"<E>";"<E>";"<E>";"<E>";"Max éjecte la douille de la culasse"
"80";"-";"-";"-";"<E>";"élider";"+";"-";"-";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"On élide le e dans l'article défini devant la voyelle"
"81";"-";"-";"-";"<E>";"éliminer";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"+";"+";"+";"<E>";"<E>";"<E>";"<E>";"Max a éliminé quelques noms(de+dans)la liste"
"82";"+";"-";"-";"<E>";"enlever";"+";"-";"+";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"-";"+";"+";"+";"+";"<E>";"<E>";"<E>";"<E>";"Max a enlevé le pot de la table"
"83";"~";"~";"~";"<E>";"énucléer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"<E>";"On a énucléé le kyste du bras de Jean"
"84";"-";"-";"-";"<E>";"éponger";"+";"-";"-";"-";"+";"+";"+";"+";"-";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"éponge";"Max a épongé le vin de la table"
"85";"-";"-";"-";"<E>";"éradiquer";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"+";"+";"<E>";"<E>";"<E>";"<E>";"La médecine a éradiqué cette maladie de ce pays"
"86";"+";"-";"-";"<E>";"escamoter";"+";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"+";"+";"+";"+";"-";"+";"+";"+";"+";"<E>";"<E>";"<E>";"<E>";"Max a escamoté le billet(de la table+de sa poche)"
"87";"~";"~";"~";"<E>";"essoucher";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"<E>";"Max a essouché les vieilles souches de son terrain"
"88";"-";"-";"-";"<E>";"essuyer";"+";"-";"-";"-";"+";"+";"+";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"Max essuie l'eau sur le verre"
"89";"-";"+";"-";"<E>";"évacuer";"+";"-";"-";"-";"+";"+";"+";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"-";"<E>";"<E>";"<E>";"<E>";"Max évacue les habitants de la région"
"90";"-";"+";"-";"<E>";"évaporer";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"-";"<E>";"<E>";"<E>";"<E>";"Le soleil évapore la brume du ciel"
"91";"-";"-";"-";"<E>";"excepter";"+";"-";"-";"-";"+";"-";"+";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"+";"+";"+";"<E>";"<E>";"<E>";"<E>";"On excepte la taxe de ce total"
"92";"-";"-";"-";"<E>";"exciser";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"On lui a excisé une tumeur(dans le+du)poumon"
"93";"-";"-";"-";"<E>";"exclure";"+";"-";"-";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"+";"+";"+";"<E>";"<E>";"<E>";"<E>";"Max exclut la taxe de calculs"
"94";"~";"~";"~";"<E>";"exhumer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"<E>";"Max a exhumé une vieux livre du grenier"
"95";"~";"~";"~";"<E>";"exorciser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"<E>";"Le curé a exorcisé le démon de Max"
"96";"~";"~";"~";"<E>";"exporter";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"<E>";"Max exporte des lits en fer du Japon en France"
"97";"-";"-";"-";"<E>";"exprimer";"+";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"Max exprime le jus de citron"
"98";"-";"-";"-";"<E>";"expulser";"+";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"+";"+";"+";"-";"+";"+";"+";"+";"+";"<E>";"<E>";"<E>";"<E>";"La choc a expulsé la bille de son logement"
"99";"-";"-";"-";"<E>";"extirper";"+";"-";"-";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"-";"+";"+";"+";"<E>";"<E>";"<E>";"<E>";"Max extirpe la dent de la mâchoire"
"100";"-";"-";"-";"<E>";"extraire";"+";"-";"-";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"+";"+";"+";"+";"<E>";"<E>";"<E>";"<E>";"Max extrait la dent de la gencive"
"101";"-";"+";"-";"<E>";"filtrer";"+";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"+";"-";"<E>";"<E>";"<E>";"filtre";"On a filtré le dépôt de vin"
"102";"-";"-";"-";"<E>";"gauler";"+";"-";"-";"-";"+";"-";"+";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"gaule";"Max gaule les noix sur ce noyer"
"103";"+";"-";"-";"<E>";"glaner";"+";"-";"-";"+";"+";"+";"+";"+";"-";"-";"+";"-";"-";"-";"+";"+";"-";"+";"+";"+";"+";"-";"<E>";"?";"<E>";"<E>";"Max a glané quelques épis dans le champ"
