"<ID>";"N0 =: Nhum";"N0 =: Nnr";"N0 être V-n";"N1 V";"<ENT>Ppv";"Ppv =: se figé";"Ppv =: Neg";"<ENT>V";"Neg";"Aux =: avoir";"Aux =: être";"N1 être V-n";"N0 V Nhum sur ce point";"N1 être Vpp W";"N1 =: Nconc métaphore";"N1 =: Nabs métaphore";"N0 être V-n (forme V-n)";"N1 être V-n (forme V-n)";"<OPT>";"<ENGLISH>"
"57";"+";"-";"-";"-";"<E>";"-";"-";"atteindre";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max a atteint Luc au téléphone";"to reach"
"58";"~";"~";"~";"~";"<E>";"-";"-";"attendre";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Max attend Luc sur ce point";"?"
"59";"+";"-";"-";"-";"<E>";"-";"-";"attraper";"-";"+";"-";"-";"+";"-";"-";"-";"<E>";"<E>";"Max a attrapé son fils";"to tell off"
"60";"~";"~";"~";"~";"<E>";"-";"-";"auditionner";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Luc a auditionné Eva";"?"
"61";"+";"-";"-";"-";"<E>";"-";"-";"autopsier";"-";"+";"-";"-";"-";"-";"-";"+";"<E>";"<E>";"Le médecin a autopsié Luc";"to carry out an autopsy on"
"62";"~";"~";"~";"~";"<E>";"-";"-";"avaler";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Max veut tout avaler ";"to swallow"
"63";"-";"+";"-";"-";"<E>";"-";"-";"avantager";"-";"+";"-";"-";"+";"+";"+";"+";"<E>";"<E>";"Cette robe avantage Léa";"to flatter"
"64";"~";"~";"~";"~";"<E>";"-";"-";"avertir";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Le conseil a averti l'élève";"?"
"65";"~";"~";"~";"~";"<E>";"-";"-";"aveugler";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"La lumière aveugle Max";"?"
"66";"~";"~";"~";"~";"<E>";"-";"-";"avoir";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Paul a eu Luc (E+dans cette affaire)";"?"
"67";"~";"~";"~";"~";"<E>";"-";"-";"avoir";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Luc a eu Marie";"?"
"68";"+";"-";"-";"-";"<E>";"-";"-";"avorter";"-";"+";"-";"+";"+";"+";"+";"-";"<E>";"?";"Le médecin a avorté Eva";"to abort"
"69";"+";"-";"-";"-";"<E>";"-";"-";"baiser";"-";"+";"-";"-";"+";"-";"+";"-";"<E>";"<E>";"Max ne baise que des putes";"to screw"
"70";"+";"-";"-";"-";"<E>";"-";"-";"balader";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"L'orateur a baladé l'auditoire";"to take for a walk"
"71";"+";"-";"-";"-";"<E>";"-";"-";"baptiser";"-";"+";"-";"-";"-";"+";"+";"-";"<E>";"<E>";"Le curé a baptisé le petit";"to christen"
"72";"+";"-";"-";"-";"<E>";"-";"-";"baratiner";"-";"+";"-";"-";"+";"-";"-";"-";"<E>";"<E>";"Max baratine Léa";"to chat up"
"73";"~";"~";"~";"~";"<E>";"-";"-";"bastonner";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a bastonné Luc";"to beat with a stick"
"74";"+";"-";"-";"-";"<E>";"-";"-";"bâtonner";"-";"+";"-";"-";"-";"-";"-";"+";"<E>";"<E>";"Max a bâtonné Luc";"to beat with a stick"
"75";"+";"-";"-";"-";"<E>";"-";"-";"battre";"-";"+";"-";"-";"+";"+";"+";"-";"<E>";"<E>";"Max bat Luc aux échecs";"to beat"
"76";"+";"-";"-";"-";"<E>";"-";"-";"battre";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max bat sa femme";"to hit"
"77";"~";"~";"~";"~";"<E>";"-";"-";"béatifier";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Le pape a béatifié Ida";"?"
"78";"+";"-";"-";"-";"<E>";"-";"-";"bêcher";"-";"+";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"Max bêche ses associés";"?"
"79";"+";"-";"-";"-";"<E>";"-";"-";"besogner";"-";"+";"-";"-";"-";"-";"-";"+";"<E>";"<E>";"Max besogne Ida";"to screw"
"80";"+";"+";"-";"-";"<E>";"-";"-";"beurrer";"-";"+";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"Ce gin a beurré Max";"to make drunk"
"81";"~";"~";"~";"~";"<E>";"-";"-";"bigorner";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Paulo a bigorné Max";"?"
"82";"+";"-";"-";"-";"<E>";"-";"-";"bitter";"-";"+";"-";"-";"+";"-";"+";"-";"<E>";"<E>";"Le prof a bitté Luc à son examen";"to plough"
"83";"+";"+";"-";"-";"<E>";"-";"-";"biturer";"-";"+";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"Max a bituré Ida au gin";"to make drunk"
"84";"+";"-";"-";"-";"<E>";"-";"-";"bizuter";"-";"+";"-";"+";"+";"-";"-";"-";"<E>";"bizut";"Max bizute les petits";"to rag"
"85";"+";"-";"-";"-";"<E>";"-";"-";"blackbouler";"-";"+";"-";"-";"-";"-";"+";"+";"<E>";"<E>";"Les électeurs ont blackboulé Max";"to blackball"
"86";"~";"~";"~";"~";"<E>";"-";"-";"blâmer";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Le conseil a blâmé cet élève";"?"
"87";"+";"+";"-";"-";"<E>";"-";"-";"blinder";"-";"+";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"Ce tafia a blindé Luc";"to make drunk"
"88";"+";"-";"-";"-";"<E>";"-";"-";"bluffer";"-";"+";"-";"-";"+";"-";"-";"+";"<E>";"<E>";"Max a bluffé Luc";"to bluff"
"89";"~";"~";"~";"~";"<E>";"-";"-";"bordéliser";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Max bordélise le prof";"?"
"90";"~";"~";"~";"~";"<E>";"-";"-";"bouffer";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Paul bouffe (du curé+du flic+du militaire)";"?"
"91";"~";"~";"~";"~";"<E>";"-";"-";"bouler";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Ce prof m'a boulé à l'examen";"to plough"
"92";"~";"~";"~";"~";"<E>";"-";"-";"bourrer";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Ce Gin a bourré Max";"to make drunk"
"93";"+";"+";"-";"-";"<E>";"-";"-";"bourrer";"-";"+";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"Max a bourré cette gonzesse";"to screw"
"94";"~";"~";"~";"~";"<E>";"-";"-";"bousculer";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"On a bousculé Paul pour qu'il finisse";"?"
"95";"+";"-";"-";"-";"<E>";"-";"-";"bousiller";"-";"+";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"Max a bousillé (Ida+Paulo)";"to bump off"
"96";"~";"~";"~";"~";"<E>";"-";"-";"boxer";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a boxé le champion";"?"
"97";"+";"-";"+";"-";"<E>";"-";"-";"braconner";"-";"+";"-";"-";"-";"-";"-";"-";"braconnier";"<E>";"Max braconne des lapins";"to poach"
"98";"+";"-";"-";"-";"<E>";"-";"-";"braquer";"-";"+";"-";"-";"-";"-";"-";"+";"<E>";"<E>";"Max braque (une banque+un local)";"to hold up"
"99";"+";"-";"-";"-";"<E>";"-";"-";"brocarder";"-";"+";"-";"-";"+";"-";"-";"+";"<E>";"<E>";"Max a brocardé Luc";"to taunt"
"100";"-";"+";"-";"-";"<E>";"-";"-";"brûler";"-";"+";"-";"-";"-";"+";"-";"+";"<E>";"<E>";"Cette photo a brûlé l'espion";"to betray"
"101";"-";"-";"-";"-";"<E>";"-";"-";"brûler";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Son estomac brûle Luc";"to burn"
"102";"+";"-";"-";"-";"<E>";"-";"-";"buter";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Riton a buté Polo";"to bump off"
"103";"+";"+";"-";"-";"<E>";"-";"-";"cabrer";"-";"+";"-";"-";"+";"+";"-";"-";"<E>";"<E>";"Max a cabré son cheval";"to rear up"
"104";"+";"-";"-";"-";"<E>";"-";"-";"cajoler";"-";"+";"-";"-";"-";"-";"-";"+";"<E>";"<E>";"Max cajole Ida";"to cuddle"
"105";"+";"-";"+";"-";"<E>";"-";"-";"câliner";"-";"+";"-";"-";"-";"-";"-";"+";"?";"<E>";"Max câline Ida";"to cuddle"
"106";"+";"-";"-";"-";"<E>";"-";"-";"calomnier";"-";"+";"-";"-";"+";"-";"+";"+";"<E>";"<E>";"Max a calomnié Ida";"to slander"
"107";"+";"-";"-";"-";"<E>";"-";"-";"calotter";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max a calotté Luc sur la tête";"to clout"
"108";"+";"+";"-";"-";"<E>";"-";"-";"canoniser";"-";"+";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"Le Pape a canonisé Max";"to canonize"
"109";"+";"+";"-";"-";"<E>";"-";"-";"canuler";"-";"+";"-";"-";"+";"-";"-";"-";"<E>";"<E>";"Max canule ";"to pester"
"110";"+";"-";"+";"-";"<E>";"-";"-";"caporaliser";"-";"+";"-";"-";"-";"-";"-";"+";"caporal";"<E>";"Max a caporalisé (le service+ses collègues)";"to manage with petty officiousness"
"111";"+";"-";"-";"-";"<E>";"-";"-";"capturer";"-";"+";"-";"+";"-";"+";"+";"-";"<E>";"capture";"Max capture un tigre";"to catch"
"112";"~";"~";"~";"~";"<E>";"-";"-";"caricaturer";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a caricaturé Luc";"?"
"113";"~";"~";"~";"~";"<E>";"-";"-";"castagner";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a castagné Bob";"?"
"114";"+";"-";"-";"-";"<E>";"-";"-";"catéchiser";"-";"+";"-";"-";"+";"-";"-";"-";"<E>";"<E>";"Max a catéchisé les petits garçcons";"to catechize"
"115";"+";"-";"-";"-";"<E>";"-";"-";"catéchiser";"-";"+";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"Le délégué syndical a catéchisé ses collègues";"to indoctrinate"
"116";"~";"~";"~";"~";"<E>";"-";"-";"cautionner";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a cautionné Luc(E+auprès du fournisseur)";"?"
"117";"~";"~";"~";"~";"<E>";"-";"-";"ceinturer";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a ceinturé son enfant";"?"
"118";"~";"~";"~";"~";"<E>";"-";"-";"ceinturer";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Max ceinture son adversaire";"?"
"119";"~";"~";"~";"~";"<E>";"-";"-";"cercler";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Le médecin a cerclé Léa";"?"
"120";"+";"-";"-";"-";"<E>";"-";"-";"chahuter";"-";"+";"-";"-";"+";"+";"+";"-";"<E>";"<E>";"Max a chahuté le prof";"to play up"
"121";"~";"~";"~";"~";"<E>";"-";"-";"challenger";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a challengé le champion";"to challenge"
"122";"+";"-";"-";"-";"<E>";"-";"-";"chamailler";"-";"+";"-";"-";"+";"-";"-";"-";"<E>";"<E>";"Max chamaille Luc";"to squabble"
"123";"+";"-";"-";"-";"<E>";"-";"-";"chambrer";"-";"+";"-";"-";"+";"-";"-";"-";"<E>";"<E>";"Max a chambré Luc sur son vin";"to tease"
"124";"~";"~";"~";"~";"<E>";"-";"-";"chansonner";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Max chansonne les dirigeants";"?"
"125";"+";"-";"-";"-";"<E>";"-";"-";"charger";"-";"+";"-";"-";"-";"-";"+";"-";"<E>";"<E>";"La police a chargé les grévistes";"to charge"
"126";"+";"+";"-";"-";"<E>";"-";"-";"charmer";"-";"+";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"Max charme (Luc+les auditeurs)";"to charm"
"127";"+";"-";"-";"-";"<E>";"-";"-";"chasser";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Le chat chasse les souris";"to hunt"
"128";"~";"~";"~";"~";"<E>";"-";"-";"châtaigner";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a châtaigné Bob";"?"
"129";"~";"~";"~";"~";"<E>";"-";"-";"chatouiller";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Le zizi de Max chatouille Max";"?"
"130";"+";"-";"-";"-";"<E>";"-";"-";"chercher";"-";"+";"-";"-";"+";"-";"-";"-";"<E>";"<E>";"Max cherche (E+des crosses)à Luc";"to look for"
"131";"~";"~";"~";"~";"<E>";"-";"-";"chicaner";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Max chicane des frais à Luc";"?"
"132";"+";"-";"-";"-";"<E>";"-";"-";"chiner";"-";"+";"-";"-";"+";"-";"-";"-";"<E>";"<E>";"Max chine Luc sur ses travers";"?"
"133";"+";"-";"-";"-";"<E>";"-";"-";"chloroformer";"-";"+";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"Max chloroformé le malade";"to chloroform"
"134";"~";"~";"~";"~";"<E>";"-";"-";"choquer";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"L'accident a choqué Max";"?"
"135";"+";"-";"-";"-";"<E>";"-";"-";"chouchouter";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max chouchoute Luc";"to pamper"
"136";"~";"~";"~";"~";"<E>";"-";"-";"chouriner";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Paulo a chouriné Riton";"to stab"
"137";"+";"-";"-";"-";"<E>";"-";"-";"choyer";"-";"+";"-";"-";"-";"-";"+";"+";"<E>";"<E>";"Max a choyé Luc";"to cherish"
"138";"+";"+";"-";"-";"<E>";"-";"-";"cibler";"-";"+";"-";"+";"-";"-";"-";"-";"<E>";"cible";"Cette publicité cible les cadres";"to target"
"139";"+";"-";"-";"-";"<E>";"-";"-";"circoncire";"-";"+";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"Max a circoncis Luc";"to circumcize"
"140";"+";"+";"-";"-";"<E>";"-";"-";"circonvenir";"-";"+";"-";"-";"+";"-";"-";"-";"<E>";"<E>";"Max a circonvenu (le garde+les témoins)";"to circumvent"
"141";"~";"~";"~";"~";"<E>";"-";"-";"civiliser";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"On a civilisé ces populations";"?"
"142";"~";"~";"~";"~";"<E>";"-";"-";"cocufier";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a cocufié Paul dans cet affaire";"?"
"143";"+";"-";"-";"-";"<E>";"-";"-";"coincer";"-";"+";"-";"-";"+";"+";"-";"-";"<E>";"<E>";"L'examinateur a coincé Luc sur la Géo";"to catch out"
"144";"+";"-";"-";"-";"<E>";"-";"-";"coller";"-";"+";"-";"-";"+";"+";"-";"-";"<E>";"<E>";"Le maître colle l'élève quatre heures";"to put in detention"
"145";"+";"-";"-";"-";"<E>";"-";"-";"coller";"-";"+";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"Le maître colle l'élève sur ce point";"to set a poser"
"146";"~";"~";"~";"~";"<E>";"-";"-";"coller";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Max colle Luc, est collant";"?"
"147";"+";"-";"-";"-";"<E>";"-";"-";"combattre";"-";"+";"-";"-";"+";"-";"-";"+";"<E>";"<E>";"Max combat l'ennemi";"to fight"
"148";"+";"-";"-";"-";"<E>";"-";"-";"commander";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max commande tout le monde chez lui";"to command"
"149";"+";"-";"-";"-";"<E>";"-";"-";"commander";"-";"+";"-";"-";"-";"+";"+";"-";"<E>";"<E>";"Max commande une(troupe+expédition)";"to command"
"150";"~";"~";"~";"~";"<E>";"-";"-";"commotionner";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Le choc a commotionné Paul";"?"
"151";"~";"~";"~";"~";"<E>";"-";"-";"communier";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Le prêtre communie 4 fidèles";"?"
"152";"~";"~";"~";"~";"<E>";"-";"-";"compasser";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Son éducation a compassé Paul";"?"
"153";"+";"-";"-";"-";"<E>";"-";"-";"compléter";"-";"+";"-";"-";"+";"-";"+";"-";"<E>";"<E>";"Max complète Léa";"to complement"
"154";"+";"+";"-";"-";"<E>";"-";"-";"compromettre";"-";"+";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"Qu'Ida soit restée compromet Max";"to compromise"
"155";"~";"~";"~";"~";"<E>";"-";"-";"concevoir";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Max conçoit un enfant";"?"
"156";"~";"~";"~";"~";"<E>";"-";"-";"condamner";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Les médecins ont condamné le malade";"?"
"157";"~";"~";"~";"~";"<E>";"-";"-";"confesser";"-";"+";"-";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a confessé Marie(E+pour savoir les projets de Luc)";"?"
