"<ID>";"N1 V W";"N2 V N1";"<ENT>Ppv";"<ENT>V";"Aux =: avoir";"Aux =: être";"dé-V";"N1 =: Nhum";"N1 =: N-hum";"N1 =: Npc obl";"N0 V N1";"Prép2 =: avec";"Prép2 =: dans";"Prép2 =: en";"N2 =: Nhum";"N2 =: N-hum";"N2 =: trou";"N2 =: couche";"N2 =: coup";"N2 apparition";"N2 =: Npl obl";"N2 être V-n, Sfx = E";"N2 être V-n, Sfx # E";"Sfx =: age";"Sfx =: ment";"Sfx =: tion";"Sfx =: ure";"V-n instrument";"N1 =: texte, N2 =: mot";"N1 =: esprit, N2 =: idée";"N0 V N1hum de N2abs";"N0 V N2 (E+Loc N1 destination)";"N0 mettre V-n Loc N1";"N0 faire V-n Prép N1";"N0 donner V-n à N1";"N0 donner à N1 (une apparence Vpp+l'apparence de V-n)";"N0 lancer V-n Loc N1";"V-n instrument (forme V-n)";"<OPT>"
"11";"+";"+";"<E>";"argenter";"+";"-";"+";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"<E>";"Max argente la bague d'une seule couche"
"12";"-";"+";"<E>";"aromatiser";"+";"-";"+";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"Max aromatise son punch de cannelle"
"13";"-";"+";"<E>";"asphalter";"+";"-";"+";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"<E>";"Max asphalte la route de bitume"
"14";"-";"+";"<E>";"aurifier";"+";"-";"+";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"<E>";"Le dentiste a aurifié la dent d'or pur"
"15";"-";"+";"<E>";"aviner";"+";"-";"+";"~";"+";"+";"-";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"<E>";"Les libations avinèrent son haleine de relents mauvais"
"16";"-";"+";"<E>";"azoter";"+";"-";"+";"~";"+";"-";"-";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"<E>";"Max azote la solution de nitrates"
"17";"-";"+";"<E>";"bétonner";"+";"-";"+";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"<E>";"Max bétonne le sol d'une dalle de 3cm"
"18";"-";"+";"<E>";"beurrer";"+";"-";"+";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"<E>";"Max beurre les tartines d'une couche fine"
"19";"-";"+";"<E>";"bitumer";"+";"-";"+";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"<E>";"Max a bitumé son toit d'une couche de bitume"
"20";"-";"+";"<E>";"boiser";"+";"-";"+";"~";"+";"-";"+";"+";"-";"+";"~";"+";"-";"-";"-";"-";"+";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"<E>";"On a boisé la colline de pins"
"21";"-";"+";"<E>";"cacaoter";"+";"-";"+";"~";"+";"-";"-";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"<E>";"Ida a cacaoté le gâteau d'un cacao sucré"
"22";"-";"+";"<E>";"caillouter";"+";"-";"+";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"+";"-";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"Max cailloute la route de mâchefer"
"23";"-";"+";"<E>";"calaminer";"+";"-";"+";"~";"+";"-";"+";"-";"-";"-";"~";"+";"-";"+";"-";"+";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"<E>";"Un mauvais allumage a calaminé les bougies d'une couche de calamine"
"24";"-";"+";"<E>";"calfeutrer";"+";"-";"+";"~";"+";"-";"+";"+";"+";"+";"~";"+";"-";"+";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"+";"+";"+";"+";"+";"-";"-";"-";"<E>";"Max a calfeutré la porte de bourrelets"
"25";"-";"+";"<E>";"caoutchouter";"+";"-";"+";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"<E>";"Max caoutchoute la toile d'une couche de gomme"
"26";"-";"+";"<E>";"caraméliser";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"~";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"Max a caramélisé son gâteau d'une couche de caramel"
"27";"-";"-";"<E>";"cartonner";"+";"-";"+";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"Max a cartonné le livre de plaques de carton"
"28";"-";"+";"<E>";"cendrer";"+";"-";"+";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"Max a cendré la piste d'une couche de cendre"
"29";"-";"+";"<E>";"charbonner";"+";"-";"+";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"Ida charbonne ses sourcils de mascara"
"30";"-";"+";"<E>";"chauler";"+";"-";"+";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"<E>";"Max a chaulé son champ de chaux grasse"
"31";"-";"+";"<E>";"chlorer";"+";"-";"+";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"Max a chloré l'eau de pastilles"
"32";"-";"+";"<E>";"chocolater";"+";"-";"+";"~";"+";"-";"-";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"<E>";"Max a chocolaté son lait de cacao"
"33";"-";"+";"<E>";"chromer";"+";"-";"+";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"<E>";"Max a chromé son vélo de deux couches de chrome"
"34";"-";"+";"<E>";"cirer";"+";"-";"+";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"Max a ciré le lit d'encaustique"
"35";"~";"~";"<E>";"cirer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"+";"+";"-";"-";"-";"-";"~";"~";"~";"~";"+";"-";"-";"-";"-";"<E>";"Max a ciré ses chaussures"
"36";"-";"+";"<E>";"citronner";"+";"-";"+";"~";"+";"-";"-";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"<E>";"Max a citronné son eau de quelques gouttes"
"37";"+";"+";"<E>";"colorer";"+";"-";"+";"~";"+";"-";"+";"+";"-";"+";"~";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"Max a coloré son eau de vin"
"38";"-";"+";"<E>";"colorier";"+";"-";"+";"~";"+";"-";"+";"+";"-";"+";"~";"+";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"<E>";"Max a colorié son dessin(de+en)rouge et(de+en)bleu"
"39";"-";"-";"<E>";"compisser";"+";"-";"-";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"<E>";"Médor compisse le mur"
"40";"~";"~";"<E>";"condimenter";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~";"+";"-";"-";"-";"-";"<E>";"Léa a condimenté son plat de moutarde forte"
"41";"~";"~";"<E>";"contextualiser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~";"+";"-";"-";"-";"-";"<E>";"Max a contextualisé ce mot de dix lignes"
"42";"~";"~";"<E>";"cosmétiquer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~";"+";"-";"-";"-";"-";"<E>";"Ida a cosmétiqué ses cheveux de gel"
"43";"~";"~";"<E>";"cotonner";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~";"+";"-";"-";"-";"-";"<E>";"Max a cotonné ses coussins d'ouate"
"44";"~";"~";"<E>";"cramponner";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~";"+";"-";"-";"-";"-";"<E>";"Paul a cramponné ses chaussures de montagne de crampons"
"45";"-";"-";"<E>";"crayonner";"+";"-";"+";"~";"+";"-";"+";"+";"-";"+";"~";"+";"-";"-";"+";"-";"-";"+";"+";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"crayon";"Max a crayonné sa feuille de petits dessins"
"46";"+";"+";"<E>";"cuivrer";"+";"-";"+";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"-";"<E>";"Max a cuivré la plaque d'une couche mince"
"47";"+";"+";"<E>";"dorer";"+";"-";"+";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"+";"-";"<E>";"Max dore le fil d'une couche fine"
"48";"-";"-";"<E>";"droguer";"+";"-";"-";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"<E>";"Max a drogué son vin d'un puissant somnifère"
"49";"-";"-";"<E>";"dynamiter";"+";"-";"+";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"Max a dynamité le Pont Neuf de 10 charges de plastic"
"50";"+";"+";"<E>";"émailler";"+";"-";"+";"~";"+";"-";"+";"+";"-";"+";"~";"+";"-";"+";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"+";"+";"-";"+";"+";"+";"-";"+";"-";"<E>";"Max émaille la plaque d'émail blanc"
"51";"-";"+";"<E>";"embarbouiller";"+";"-";"+";"~";"+";"+";"+";"+";"-";"-";"~";"+";"-";"+";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"-";"-";"<E>";"Max a embarbouillé sa figure de chocolat"
"52";"~";"~";"<E>";"emblaver";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"+";"+";"-";"-";"-";"-";"~";"~";"~";"~";"-";"+";"-";"-";"-";"<E>";"Max a emblavé ce champ(de+en)blé"
"53";"-";"+";"<E>";"embrumer";"+";"-";"+";"~";"+";"-";"+";"-";"-";"-";"~";"+";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"+";"-";"<E>";"L'orage avait embrumé les marais d'un épais brouillard"
"54";"+";"+";"<E>";"embuer";"+";"-";"+";"~";"+";"-";"+";"-";"-";"-";"~";"+";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"L'humidité embuait les vitres glacées d'une buée épaisse"
"55";"-";"+";"<E>";"empailler";"+";"-";"+";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"<E>";"Max empaille l'émeu d'un bouchon de paille"
"56";"-";"+";"<E>";"empeser";"+";"-";"+";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"+";"+";"-";"+";"-";"-";"-";"-";"<E>";"Max a empesé le plastron d'amidon pur"
"57";"-";"+";"<E>";"empierrer";"+";"-";"+";"~";"+";"-";"+";"+";"-";"+";"~";"+";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"<E>";"Max a empierré le chemin d'un coude de granit"
"58";"-";"+";"<E>";"emplumer";"+";"-";"+";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"Max a emplumé son chapeau de plumes de paon"
"59";"+";"+";"<E>";"empoussiérer";"+";"-";"+";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"+";"-";"-";"-";"-";"<E>";"Les années ont empoussiéré les livres"
"60";"-";"+";"<E>";"encaustiquer";"+";"-";"+";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"Max a encaustiqué l'escalier de cire naturelle"
"61";"-";"-";"<E>";"encenser";"+";"-";"-";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"<E>";"Max encense l'officiant de senteurs exotiques"
"62";"+";"+";"<E>";"encrasser";"+";"-";"+";"~";"+";"-";"+";"-";"-";"-";"~";"+";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"Un long usage a encrassé les bougies de calamine"
"63";"+";"+";"<E>";"encrer";"+";"-";"+";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"Max encre le tampon d'encre bleue"
"64";"-";"+";"<E>";"enfariner";"+";"-";"+";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"Ida enfarine son visage de poudre de riz"
"65";"-";"+";"<E>";"enfumer";"+";"-";"+";"~";"+";"-";"+";"-";"-";"-";"~";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"Max enfume la pièce de nuages de havane"
"66";"-";"+";"<E>";"engazonner";"+";"-";"+";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"Max a engazonné son allée d'herbe"
"67";"-";"+";"<E>";"engluer";"+";"-";"+";"~";"+";"-";"+";"+";"+";"-";"~";"+";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"<E>";"Max a englué la branche d'une couche de glu"
"68";"+";"+";"<E>";"engraisser";"+";"-";"+";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"+";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"<E>";"On engraisse les terres pauvres de fumier"
"69";"-";"+";"<E>";"enneiger";"+";"-";"+";"~";"+";"-";"+";"+";"+";"-";"~";"+";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"<E>";"La tempête a enneigé les routes(E+d'une couche épaisse de neige)"
"70";"~";"~";"<E>";"enrocher";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~";"+";"-";"-";"-";"-";"<E>";"On a enroché ces berges d'énormes blocs"
"71";"-";"+";"<E>";"ensabler";"+";"-";"+";"~";"+";"-";"+";"+";"-";"-";"~";"+";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"<E>";"Le reflux a ensablé le port de sable"
"72";"-";"+";"<E>";"ensoleiller";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"~";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"Cette fenêtre ensoleille le salon de rayons matinaux"
"73";"~";"~";"<E>";"ensoufrer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~";"+";"-";"-";"-";"-";"<E>";"Max a ensoufré les allumettes(E+de soufre)"
"74";"~";"~";"<E>";"ensuifer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~";"+";"-";"-";"-";"-";"<E>";"On a ensuifé le cuir(E+de suif)"
"75";"+";"+";"<E>";"entartrer";"+";"-";"+";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"+";"-";"+";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"<E>";"Les années avaient entartré le tuyau d'une fine couche de calcaire"
"76";"-";"+";"<E>";"entrelarder";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"~";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"Paul a entrelardé son rôti de morceaux de lard"
"77";"-";"-";"<E>";"envaser";"+";"-";"+";"~";"+";"-";"+";"+";"+";"-";"~";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"La mer avait envasé le sol de(sous+de)une épaisse couche de vase"
"78";"-";"+";"<E>";"épicer";"+";"-";"+";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"Max épice son plat de Cayenne"
"79";"+";"+";"<E>";"étamer";"+";"-";"+";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"+";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"<E>";"Max étame la bassine(E+d'étain)"
"80";"-";"+";"<E>";"farder";"+";"-";"+";"~";"+";"+";"+";"+";"-";"+";"~";"+";"-";"+";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"Ida farde ses paupières de khôl"
"81";"-";"+";"<E>";"fariner";"+";"-";"+";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"Max a fariné la sole de gruau"
"82";"-";"+";"<E>";"farter";"+";"-";"+";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"+";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"Max a farté ses skis(E+de fart bleu)"
"83";"~";"~";"<E>";"ferrailler";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~";"+";"-";"-";"-";"-";"<E>";"On ferraille le béton de fers ronds"
"84";"-";"+";"<E>";"feutrer";"+";"-";"+";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"+";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"Jo a feutré les marteaux du piano"
"85";"~";"~";"<E>";"fluorer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~";"+";"-";"-";"-";"-";"<E>";"On a fluoré le dentifrice"
"86";"-";"+";"<E>";"fourrer";"+";"-";"+";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"On fourre les vestes d'hiver de(E+une doublure de)Lynx"
"87";"-";"+";"<E>";"fumer";"+";"-";"-";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"On fume les prés de(fumure+fumier)"
"88";"~";"~";"<E>";"gadgetiser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~";"+";"-";"-";"-";"-";"<E>";"On a gadgétisé cette voiture de multiples gadgets"
"89";"-";"+";"<E>";"gazer";"+";"-";"+";"~";"+";"-";"-";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"On a gazé le bras de Max d'une bande de gaze"
"90";"-";"+";"<E>";"gazonner";"+";"-";"+";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"On a gazonné les terre-pleins de ray-gras"
