"<ID>";"N0 =: N-hum";"N0 être V-n";"N2 bénéficiaire";"N2 détrimentaire";"<ENT>Ppv";"<ENT>V";"Aux =: avoir";"Aux =: être";"N1 =: Nhum";"N0 V N0pc W";"N1 =: N-hum";"N1 être V-n";"N1 =: Dnum Nmonnaie";"N1 =: coup";"Prép2 =: à";"N0 V N1 de N2 source";"Ppv =: en";"N2 =: N-hum";"Prép N2-hum = Ppv =: lui";"Ppv =: y";"N2 être V-n";"N2 =: Npl obl";"N1 être Vpp (statique)";"N1 =: Nabs";"N0 V N1 à N2 Dnum Nmonnaie";"N0 V N2 (E+de N1)";"N0 V N1 Loc N-hum";"N0 V N1 à N2 pour Dnum Nmonnaie";"N0 être V-n (forme V-n)";"N1 être V-n (forme V-n)";"N2 être V-n (forme V-n)";"<OPT>";"<ENGLISH>"
"17";"~";"~";"~";"~";"<E>";"aliéner";"+";"-";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"Max a aliéné ses droits à une secte";"?"
"18";"-";"-";"+";"-";"<E>";"aligner";"+";"-";"-";"-";"+";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max a aligné un million à Paulo";"to cough up"
"19";"-";"-";"+";"-";"<E>";"allonger";"+";"-";"-";"-";"+";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"<E>";"<E>";"<E>";"Max allonge dix francs à Luc";"to dish out"
"20";"+";"-";"+";"-";"<E>";"allouer";"+";"-";"+";"-";"+";"+";"+";"-";"+";"-";"-";"+";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"<E>";"allocation";"allocataire";"Max a alloué cent kilofrancs à Luc";"to allocate"
"21";"~";"~";"~";"~";"<E>";"appliquer";"+";"-";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"On a appliqué cette peine à Jean";"?"
"22";"~";"~";"~";"~";"<E>";"apporter";"+";"-";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"Paul apporte des fleurs à Marie";"to bring"
"23";"-";"-";"+";"-";"<E>";"arnaquer";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"<E>";"Max a arnaqué Luc de deux francs";"to swindle"
"24";"~";"~";"~";"~";"<E>";"arracher";"+";"-";"~";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"Max a arraché la lettre des mains de Luc";"?"
"25";"-";"-";"+";"-";"<E>";"assigner";"+";"-";"+";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max assigne  un bureau à Eva";"to allocate"
"26";"+";"-";"+";"-";"<E>";"attribuer";"+";"-";"+";"-";"+";"+";"+";"-";"+";"-";"-";"+";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"tribut";"<E>";"Max attribue un bureau à Eva";"to allocate"
"27";"~";"~";"~";"~";"<E>";"attribuer";"+";"-";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"On attribue cette découverte à Max";"to impute"
"28";"~";"~";"~";"~";"<E>";"autoriser";"+";"-";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"Le toubib autorise (le café à Paul+les sorties)";"?"
"29";"-";"-";"+";"-";"<E>";"avancer";"+";"-";"-";"-";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"avance";"<E>";"Max a avancé des sous à Luc";"to lend"
"30";"-";"-";"+";"-";"<E>";"avoir";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max a eu un poste à Luc";"to get"
"31";"-";"+";"+";"-";"<E>";"balancer";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"balance";"<E>";"<E>";"Bob a balancé Riton aux poulets";"to finger"
"32";"~";"~";"~";"~";"<E>";"balancer";"+";"-";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"Max balance (une décoration+un sac)à Luc";"?"
"33";"-";"-";"+";"-";"<E>";"banquer";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"<E>";"Max a banqué cinq briques aux ravisseurs";"to cough up"
"34";"-";"-";"-";"+";"<E>";"barboter";"+";"-";"+";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"<E>";"<E>";"<E>";"Luc a barboté des sous à Max";"to pinch"
"35";"-";"-";"+";"-";"<E>";"bazarder";"+";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"<E>";"bazar";"<E>";"Max a bazardé sa bagnole à Luc";"to flog"
"36";"-";"-";"+";"-";"<E>";"brader";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"+";"<E>";"<E>";"<E>";"Max a bradé du blé à Luc";"to sell cut-price"
"37";"-";"-";"-";"+";"<E>";"calotter";"+";"-";"+";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"<E>";"<E>";"<E>";"On a calotté une montre à Luc";"to pinch"
"38";"-";"-";"-";"+";"<E>";"carotter";"+";"-";"+";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"<E>";"<E>";"<E>";"Max a carotté un franc à Luc";"to swipe"
"39";"-";"-";"+";"-";"<E>";"casquer";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"<E>";"<E>";"<E>";"Max a casqué mille francs à Luc";"to cough up"
"40";"-";"-";"+";"-";"<E>";"céder";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"<E>";"<E>";"<E>";"Max cède son lit à Luc";"to give up to"
"41";"-";"-";"-";"+";"<E>";"chaparder";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"<E>";"<E>";"<E>";"Max a chapardé des sous à Luc";"to pinch"
"42";"-";"-";"-";"+";"<E>";"chauffer";"+";"-";"+";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"<E>";"<E>";"<E>";"Max a chauffé dix francs à Luc";"to swipe"
"43";"-";"+";"-";"+";"<E>";"chicaner";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"chicaneur";"<E>";"<E>";"Max chicane un franc à Luc";"to quibble about"
"44";"-";"-";"-";"+";"<E>";"chiper";"+";"-";"+";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"<E>";"<E>";"<E>";"Max chipe (un franc+sa copine)à Luc";"to pinch"
"45";"-";"-";"+";"-";"<E>";"chipoter";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"<E>";"<E>";"On a chipoté les subventions à Max";"to quibble over"
"46";"-";"-";"-";"+";"<E>";"choper";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"<E>";"<E>";"<E>";"On a chopé son portefeuille à Luc";"to nick"
"47";"-";"-";"-";"+";"<E>";"chouraver";"+";"-";"+";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"<E>";"<E>";"<E>";"Max a chouravé sa voiture à Luc";"to whip"
"48";"-";"-";"-";"+";"<E>";"chourer";"+";"-";"+";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"<E>";"<E>";"<E>";"Max a chouré sa voiture à Luc";"to whip"
"49";"+";"-";"+";"-";"<E>";"cloquer";"+";"-";"+";"-";"+";"-";"+";"+";"+";"-";"-";"+";"+";"-";"-";"-";"-";"+";"+";"-";"+";"+";"<E>";"<E>";"<E>";"Max a cloqué sa voiture à Luc";"to whip"
"50";"~";"~";"~";"~";"<E>";"coller";"+";"-";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"Max colle une claque à Luc";"?"
"51";"-";"-";"-";"+";"<E>";"commander";"+";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"commande";"<E>";"Max commande une bière à Luc";"to order"
"52";"+";"-";"+";"-";"<E>";"communiquer";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max a communiqué sa grippe à Luc";"to pass on"
"53";"~";"~";"~";"~";"<E>";"compliquer";"+";"-";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"Max complique le travail à Luc";"?"
"54";"-";"-";"+";"-";"<E>";"compter";"+";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"compte";"<E>";"Le caissier vous comptera 500fr.";"to pay"
"55";"-";"-";"+";"-";"<E>";"compter";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"<E>";"<E>";"<E>";"Max a compté 500fr. à Marie (E + pour cette réparation) ";"to charge"
"56";"-";"-";"+";"-";"<E>";"compter";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max compte chaque sou à Luc";"to count"
"57";"~";"~";"~";"~";"<E>";"compter Advp";"+";"-";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"Max a compté ce plat(920F.+cher)à Luc";"to charge"
"58";"+";"-";"+";"-";"<E>";"concéder";"+";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"<E>";"concession";"<E>";"L'état a concédé à Elf la prospection de SE.";"to grant"
"59";"+";"-";"+";"-";"<E>";"concilier";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Ce cadeau a concilié à Max les grâces de Luc";"to gain"
"60";"+";"-";"+";"-";"<E>";"confier";"+";"-";"+";"-";"+";"-";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max confie sa clé à Luc";"to confide"
"61";"-";"-";"-";"+";"<E>";"confisquer";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max confisque la balle à Luc";"to confiscate"
"62";"+";"-";"+";"-";"<E>";"consacrer";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"+";"+";"+";"-";"-";"+";"+";"-";"-";"-";"-";"<E>";"<E>";"<E>";"On a consacré ce lieu à Eros";"to consecrate"
"63";"-";"-";"+";"-";"<E>";"consentir";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max consent un(prêt+délai)à Luc";"to grant"
"64";"+";"-";"+";"-";"<E>";"conserver";"+";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max conserve cet avantage à Paul";"to retain"
"65";"~";"~";"~";"~";"<E>";"constituer";"+";"-";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"Max constitue une dot à Ida";"?"
"66";"~";"~";"~";"~";"<E>";"contester";"+";"-";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"Max conteste à Jean(le+la possession du)ballon";"?"
"67";"-";"-";"+";"-";"<E>";"contingenter";"+";"-";"+";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"<E>";"contingent";"<E>";"Max contingente le lait aux hommes";"to distribute by a system of quotas"
"68";"~";"~";"~";"~";"<E>";"couler";"+";"-";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"Max a coulé un billet à Léa";"?"
"69";"~";"~";"~";"~";"<E>";"couper";"+";"-";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"Paul coupe les vivres à Marie";"?"
"70";"-";"-";"+";"-";"<E>";"cracher";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max crache dix francs à Luc";"to cough up"
"71";"-";"-";"-";"+";"<E>";"cravater";"+";"-";"+";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"<E>";"<E>";"<E>";"Max a cravaté un livre à Luc";"to pinch"
"72";"~";"~";"~";"~";"<E>";"dealer";"+";"-";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"Paulo deale de la drogue aux mineurs";"to deal"
"73";"-";"-";"+";"-";"<E>";"débiter";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"<E>";"Max débite du vin à ses clients";"to retail"
"74";"-";"-";"+";"-";"<E>";"débourser";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max a déboursé dix francs à Luc";"to pay out"
"75";"+";"-";"+";"-";"<E>";"décerner";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max décerne un prix à Luc";"to award"
"76";"-";"-";"+";"-";"<E>";"décliner";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max décline son identité au policier";"to give"
"77";"~";"~";"~";"~";"<E>";"décocher";"+";"-";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"Max a décoché un coup à Luc";"?"
"78";"+";"-";"+";"-";"<E>";"dédier";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max dédie son livre à Ida";"to dedicate"
"79";"-";"-";"+";"-";"<E>";"dédommager";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"<E>";"<E>";"<E>";"Max dédommage ses frais à Luc";"to compensate"
"80";"~";"~";"~";"~";"<E>";"déférer";"+";"-";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"Max défère un titre à quelqu'un";"?"
"81";"-";"-";"+";"-";"<E>";"défrayer";"+";"-";"-";"-";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"+";"-";"-";"<E>";"?";"<E>";"Max a défrayé les dépenses à Luc";"to settle one's expenses"
"82";"-";"-";"+";"-";"<E>";"déléguer";"+";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"<E>";"délégué";"<E>";"Max délègue un adjoint à Luc comme contrôleur";"to delegate"
"83";"+";"-";"+";"-";"<E>";"délivrer";"+";"-";"-";"-";"+";"-";"+";"+";"+";"-";"-";"+";"+";"-";"-";"-";"+";"+";"-";"-";"+";"-";"<E>";"<E>";"<E>";"Max délivre un colis à Luc";"to deliver"
"84";"-";"-";"-";"+";"<E>";"demander";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max demande son livre à Luc";"to ask for"
"85";"-";"-";"+";"-";"<E>";"dénoncer";"+";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max a dénoncé Luc à la police";"to give one away"
"86";"+";"-";"-";"+";"<E>";"départir";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"+";"-";"-";"+";"-";"<E>";"<E>";"<E>";"La nature a départi de l'intelligence à Flo";"to assign"
"87";"-";"-";"+";"-";"<E>";"dépêcher";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"<E>";"<E>";"<E>";"Max dépêche un adjoint à Luc";"to send"
"88";"-";"-";"-";"+";"<E>";"dérober";"+";"-";"+";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"<E>";"<E>";"<E>";"Max dérobe son argent à Luc";"to steal"
"89";"+";"-";"+";"-";"<E>";"destiner";"+";"-";"+";"-";"+";"-";"+";"+";"+";"-";"-";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"<E>";"<E>";"destinataire";"Max destine ce sac à Ida";"to destine"
"90";"-";"+";"+";"-";"<E>";"détailler";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"détaillant";"<E>";"<E>";"Max détaille des cigares à ses clients";"to sell separately"
"91";"+";"-";"+";"-";"<E>";"devoir";"+";"-";"+";"-";"+";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"<E>";"dû";"<E>";"Max doit dix francs à Luc";"to owe"
"92";"-";"-";"+";"-";"<E>";"discounter";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"<E>";"<E>";"<E>";"Max discounte les disques aux jeunes";"to sell cut-price"
"93";"+";"-";"+";"-";"<E>";"dispenser";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"+";"-";"+";"+";"-";"-";"+";"<E>";"<E>";"<E>";"Max dispense des conseils à ses amis";"to dispense"
"94";"+";"-";"+";"-";"<E>";"disputer";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max dispute (ce droit+le ballon)à Ida";"to fight for"
"95";"~";"~";"~";"~";"<E>";"dissimuler";"+";"-";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"Max a dissimulé le flacon(à+aux yeux d')Ida";"to hide"
"96";"+";"-";"+";"-";"<E>";"distribuer";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max distribue les bonbons aux enfants";"to distribute"
"97";"-";"-";"+";"-";"<E>";"donner";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max a donné ses complices à la police";"to give one away"
"98";"+";"-";"+";"-";"<E>";"donner";"+";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"+";"-";"<E>";"<E>";"<E>";"Max donne un lit à Ida";"to give"
"99";"-";"-";"+";"-";"<E>";"douiller";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"<E>";"<E>";"<E>";"Max a douillé dix briques à Riton";"to cough up"
"100";"-";"-";"-";"+";"<E>";"écornifler";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"<E>";"<E>";"<E>";"Max écornifle des repas à ses collègues";"to cadge"
"101";"+";"-";"-";"+";"<E>";"emprunter";"+";"-";"+";"-";"+";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"<E>";"emprunt";"<E>";"Max emprunte son chapeau à Luc";"to borrow"
