"<ID>";"N0 lieu source de N1";"N0 lieu de destination de N1";"N1 V W";"N2 V N1";"<ENT>Ppv";"Ppv =: Neg";"<ENT>V";"Neg";"Aux =: avoir";"Aux =: être";"N0 dé-V N1 Prép N2 source";"N0 dé-V N1 Loc N3 nv-dest";"N0 V N0pc W";"N0 V N1 sur N1pc";"N1 être V-n";"N1 =: coup";"N1 =: trou";"N0 V N2 (E+de N1)";"Loc N2 =: dans N2";"Loc N2 =: sur N2";"Loc N2 =: contre N2";"Loc N2 =: à N2";"Loc N2 =: autour de N2";"Loc N2 =: vers N2";"Ppv =: y";"N2 être V-n";"de combien ?";"Loc N2 =: sur lui1-même";"N1 être Vpp (statique)";"N1 =: Qu P métaphore";"à Nhum destination";"à Nhum =: Loc Npc";"N1 =: mot, N2 =: texte";"N1 =: idée, N2 =: esprit";"N0 V N1abs Loc N2abs";"N0 V N1hum Loc N2abs";"N1 être V-n (forme V-n)";"N2 être V-n (forme V-n)";"<OPT>"
"16";"-";"-";"-";"-";"<E>";"-";"aménager";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"<E>";"<E>";"Max aménage un bar dans sa cave"
"17";"~";"~";"~";"~";"<E>";"-";"ancrer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Les maçons ont ancré le poteau dans du béton"
"18";"~";"~";"~";"~";"<E>";"-";"apercevoir";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a aperçu Luc dans la rue"
"19";"-";"-";"-";"-";"<E>";"-";"aplatir";"-";"+";"-";"-";"-";"+";"-";"-";"+";"+";"+";"+";"-";"-";"-";"+";"+";"+";"-";"-";"+";"-";"-";"+";"+";"+";"-";"+";"-";"<E>";"<E>";"Max a aplati sa voiture contre le mur"
"20";"~";"~";"~";"~";"<E>";"-";"arborer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max arbore les couleurs au mât"
"21";"-";"-";"-";"-";"<E>";"-";"arc-bouter";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max arc-boute une perche contre la cloison"
"22";"-";"-";"-";"-";"<E>";"-";"arranger";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"<E>";"<E>";"Max arrange les mots dans la phrase"
"23";"-";"-";"+";"-";"<E>";"-";"arrêter";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max a arrêté sa voiture sur le passage"
"24";"~";"~";"~";"~";"<E>";"-";"attendre";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Un colis attend Max à la poste"
"25";"-";"-";"-";"+";"<E>";"-";"avoir";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"<E>";"<E>";"Max a deux lits dans son salon"
"26";"-";"-";"+";"+";"<E>";"-";"baigner";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"+";"<E>";"bain";"Max baigne le bébé dans le tub"
"27";"~";"~";"~";"~";"<E>";"-";"balader";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max balade son chat dans la rue"
"28";"~";"~";"~";"~";"<E>";"-";"barbouiller";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max barbouille de la chaux sur le mur"
"29";"-";"-";"-";"-";"<E>";"-";"bassiner";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"<E>";"Max bassine de l'eau sur ses tempes"
"30";"-";"-";"-";"-";"<E>";"-";"beurrer";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"beurre";"<E>";"Paul a beurré du demi sel sur la tartine"
"31";"-";"-";"+";"+";"<E>";"-";"blanchir";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Ida a blanchi les choux dans l'eau bouillante"
"32";"-";"-";"-";"+";"<E>";"-";"bloquer";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"<E>";"<E>";"La grève bloque Max chez lui"
"33";"~";"~";"~";"~";"<E>";"-";"blottir";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Eva blottit sa tête sous la couverture"
"34";"-";"-";"-";"-";"<E>";"-";"bourrer";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"-";"bourre";"<E>";"Max bourre du tabac dans sa pipe"
"35";"-";"-";"+";"-";"<E>";"-";"braiser";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max a braisé le rôti dans une cocotte"
"36";"-";"-";"-";"-";"<E>";"-";"braquer";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max braque (les roues+le volant)à droite"
"37";"~";"~";"~";"~";"<E>";"-";"braquer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max braque son fusil sur Luc"
"38";"-";"-";"-";"-";"<E>";"-";"cadrer";"-";"+";"-";"+";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"cadre";"<E>";"Max cadre son collimateur sur la cible"
"39";"-";"-";"-";"+";"<E>";"-";"caler";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max cale un lit contre le mur"
"40";"-";"-";"-";"-";"<E>";"-";"capsuler";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"-";"+";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"capsule";"<E>";"On capsule de l'étain sur les bouteilles"
"41";"-";"-";"-";"-";"<E>";"-";"centrer";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"centre";"Max centre le disque sur son axe"
"42";"+";"-";"-";"+";"<E>";"-";"chasser";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Ida chassait les oies devant elle"
"43";"-";"-";"-";"-";"<E>";"-";"chercher";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"<E>";"<E>";"Max cherche son lit dans la chambre"
"44";"-";"-";"-";"-";"<E>";"-";"cibler";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"cible";"Max a ciblé son slogan sur les cadres"
"45";"~";"~";"~";"~";"<E>";"-";"citer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max cite le nom de son article"
"46";"-";"-";"+";"+";"<E>";"-";"coincer";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"<E>";"<E>";"Max coince le lit contre le mur"
"47";"-";"-";"-";"-";"<E>";"-";"commercialiser";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"commerce";"Max commercialise son invention sur le marché français"
"48";"-";"-";"-";"+";"<E>";"-";"comprendre";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Le garçon comprend le service dans la note"
"49";"-";"-";"-";"+";"<E>";"-";"compresser";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max compresse l'air"
"50";"-";"-";"-";"+";"<E>";"-";"comprimer";"-";"+";"-";"+";"+";"+";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"<E>";"<E>";"Max comprime l'air"
"51";"-";"-";"-";"+";"<E>";"-";"comptabiliser";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max comptabilise le mobilier à l'inventaire"
"52";"-";"-";"-";"-";"<E>";"-";"compter";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"+";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"compte";"<E>";"Max a compté le service dans la note"
"53";"-";"-";"+";"-";"<E>";"-";"compter";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"compte";"Max compte 100 moutons dans ce pré"
"54";"-";"-";"+";"+";"<E>";"-";"confire";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"confit";"<E>";"Max a confit l'oie dans la graisse"
"55";"-";"-";"-";"-";"<E>";"-";"conserver";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"<E>";"<E>";"Paul conserve le doigt sur le bouton"
"56";"-";"-";"+";"+";"<E>";"-";"conserver";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"+";"+";"+";"conserve";"<E>";"Paul conserve le beurre au frigo"
"57";"-";"+";"-";"+";"<E>";"-";"contenir";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"<E>";"<E>";"On a contenu la foule dans les barrières"
"58";"-";"-";"-";"-";"<E>";"-";"coudre";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"<E>";"<E>";"Ida a cousu le diamant dans l'ourlet de sa veste"
"59";"-";"-";"-";"-";"<E>";"-";"couver";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"On couve l'oeuf dans une couveuse"
"60";"-";"-";"+";"-";"<E>";"-";"craquer";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max craque une allumette sur le mur"
"61";"-";"-";"-";"-";"<E>";"-";"crisper";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max a crispé ses doigts sur le volant"
"62";"~";"~";"~";"~";"<E>";"-";"cristalliser";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Cette loi cristallise les oppositions"
"63";"-";"-";"+";"+";"<E>";"-";"cuire";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Bob cuit la porcelaine au four"
"64";"-";"-";"-";"-";"<E>";"-";"cultiver";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"culture";"<E>";"Max cultive du blé dans son champ"
"65";"~";"~";"~";"~";"<E>";"-";"cuver";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"On a cuvé le moût dans la cuve"
"66";"-";"-";"+";"-";"<E>";"-";"darder";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"dard";"<E>";"Le(cactus+porc-épic) darde (E+ses épines)"
"67";"-";"-";"-";"-";"<E>";"-";"découvrir";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"<E>";"<E>";"Max a découvert le cadavre dans le bois"
"68";"-";"+";"-";"-";"<E>";"-";"dégoter";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max a dégoté un pot chez un antiquaire"
"69";"-";"+";"-";"-";"<E>";"-";"dégotter";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max a dégotté un pot chez un antiquaire"
"70";"-";"-";"+";"-";"<E>";"-";"délayer";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"-";"<E>";"<E>";"Max délaye le sel(dans+avec)du lait"
"71";"-";"+";"-";"-";"<E>";"-";"dénicher";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max a déniché un pot chez un antiquaire"
"72";"~";"~";"~";"~";"<E>";"-";"dépanner";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"La dépanneuse a dépanné la voiture jusqu'au garage"
"73";"~";"~";"~";"~";"<E>";"-";"dériver";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max dérive l'eau du fleuve vers le canal"
"74";"~";"~";"~";"~";"<E>";"-";"dérouler";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max déroule la carte sur la table"
"75";"~";"~";"~";"~";"<E>";"-";"dérouter";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a dérouté l'avion vers Dax"
"76";"~";"~";"~";"~";"<E>";"-";"détourner";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a détourné l'avion sur Bagdad"
"77";"~";"~";"~";"~";"<E>";"-";"devancer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a devancé Luc dans le chemin de dix mètres"
"78";"-";"-";"-";"-";"<E>";"-";"développer";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"+";"-";"<E>";"<E>";"Max développe le journal sur la table"
"79";"~";"~";"~";"~";"<E>";"-";"dévier";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Le vent a dévié le bateau de sa course"
"80";"-";"-";"-";"-";"<E>";"-";"deviner";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"<E>";"<E>";"On devine une silhouette derrière le rideau"
"81";"+";"-";"-";"-";"<E>";"-";"diffuser";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"<E>";"<E>";"On diffuse ce journal dans tout le pays"
"82";"-";"-";"+";"+";"<E>";"-";"diluer";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"-";"<E>";"<E>";"Max dilue le concentré(avec de+dans)l'eau"
"83";"-";"-";"-";"-";"<E>";"-";"diriger";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max dirige le télescope vers le sud"
"84";"-";"-";"-";"-";"<E>";"-";"disperser";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"+";"+";"-";"<E>";"<E>";"Le vent disperse les feuilles dans le rue"
"85";"-";"+";"-";"-";"<E>";"-";"disposer";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"-";"<E>";"<E>";"Max dispose les fleurs dans le vase"
"86";"-";"-";"-";"-";"<E>";"-";"disséminer";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"+";"+";"-";"<E>";"<E>";"Le vent dissémine les feuilles dans la rue"
"87";"-";"-";"+";"-";"<E>";"-";"dissoudre";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"-";"<E>";"<E>";"Max dissout du sel dans de l'eau"
"88";"~";"~";"~";"~";"<E>";"-";"distancer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a distancé Luc de cent mètres"
"89";"-";"-";"-";"-";"<E>";"-";"doser";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"+";"+";"-";"dose";"<E>";"Max a dosé l'eau dans son pastis"
"90";"-";"-";"+";"-";"<E>";"-";"draper";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"drap";"<E>";"Max drape (la porte+Ida)dans un tissu"
