"<ID>";"N0 =: Nhum";"N0 =: N-hum";"<ENT>Ppv";"Ppv =: se figé";"Ppv =: Neg";"<ENT>V";"Neg";"Aux =: avoir";"Aux =: être";"thèmeN1";"N0 V";"N1 =: Nhum";"N1 =: N-hum";"N1 =: le fait Qu P";"N1 être V-n";"V-n instrument";"N1 être Vpp W";"N1 être V-n (forme V-n)";"V-n instrument (forme V-n)";"<OPT>"
"14";"~";"~";"<E>";"-";"-";"adoucir";"-";"+";"-";"eau";"~";"~";"~";"~";"-";"+";"~";"<E>";"adoucisseur";"Ce procédé adoucit l'eau"
"15";"~";"~";"<E>";"-";"-";"affiner";"-";"+";"-";"fromage";"~";"~";"~";"~";"-";"-";"~";"<E>";"?";"Max affine le (fromage+camembert)"
"16";"+";"-";"<E>";"-";"-";"affirmer";"-";"+";"-";"personnalité";"+";"-";"+";"+";"-";"-";"+";"<E>";"?";"Pol affirme sa personnalité"
"17";"+";"-";"<E>";"-";"-";"affirmer";"-";"+";"-";"position";"+";"-";"+";"+";"-";"-";"+";"<E>";"?";"Max a affirmé sa(position+résolution)"
"18";"~";"~";"<E>";"-";"-";"affriquer";"-";"+";"-";"phonème";"~";"~";"~";"~";"-";"-";"~";"<E>";"?";"Cette position de la langue affrique les(sons+dentales)"
"19";"~";"~";"<E>";"-";"-";"agacer";"-";"+";"-";"sens";"~";"~";"~";"~";"-";"-";"~";"<E>";"?";"Ce stimulus agacent les sens"
"20";"~";"~";"<E>";"-";"-";"agrandir";"-";"+";"-";"image";"~";"~";"~";"~";"+";"-";"~";"<E>";"?";"Paul a agrandi la photo"
"21";"~";"~";"<E>";"-";"-";"agréer";"-";"+";"-";"matériel";"~";"~";"~";"~";"-";"-";"~";"<E>";"?";"Les mines ont agréé ce matériel"
"22";"~";"~";"<E>";"-";"-";"ajuster";"-";"+";"-";"veste";"~";"~";"~";"~";"-";"-";"~";"<E>";"?";"Le tailleur a ajusté la veste"
"23";"~";"~";"<E>";"-";"-";"aliéner";"-";"+";"-";"liberté";"~";"~";"~";"~";"-";"-";"~";"<E>";"?";"Paul a aliéné (sa liberté+son libre arbitre)"
"24";"~";"~";"<E>";"-";"-";"allumer";"-";"+";"-";"radio";"~";"~";"~";"~";"-";"-";"~";"<E>";"?";"Max a allumé (la radio+l'appareil)"
"25";"~";"~";"<E>";"-";"-";"allumer";"-";"+";"-";"pièce";"~";"~";"~";"~";"-";"-";"~";"<E>";"?";"Paul a allumé (un local+une pièce+le salon)"
"26";"+";"-";"<E>";"-";"-";"allumer";"-";"+";"-";"lampe";"-";"-";"+";"-";"-";"-";"+";"<E>";"?";"Paul a allumé (la lampe+l'électricité+la lumière)"
"27";"+";"-";"<E>";"-";"-";"allumer";"-";"+";"-";"feu";"-";"-";"+";"-";"-";"-";"+";"<E>";"?";"Max allume le feu"
"28";"~";"~";"<E>";"-";"-";"amender";"-";"+";"-";"loi";"~";"~";"~";"~";"-";"+";"~";"<E>";"?";"Max a amendé cette loi de trois amendements"
"29";"~";"~";"<E>";"-";"-";"ameuter";"-";"+";"-";"quartier";"~";"~";"~";"~";"-";"-";"~";"<E>";"?";"Ses cris ont ameuté le quartier"
"30";"+";"-";"<E>";"-";"-";"amorcer";"-";"+";"-";"mécanisme";"-";"-";"-";"+";"-";"-";"-";"<E>";"?";"L'avion amorce un(mouvement+rétablissement)"
"31";"~";"~";"<E>";"-";"-";"amorcer";"-";"+";"-";"fusil";"~";"~";"~";"~";"-";"+";"~";"<E>";"amorce";"Max a amorcé son fusil"
"32";"+";"-";"<E>";"-";"-";"amortir";"-";"+";"-";"investissement";"-";"-";"-";"+";"-";"-";"-";"<E>";"?";"Max a amorti l'achat de son auto"
"33";"-";"+";"<E>";"-";"-";"amortir";"-";"+";"-";"choc";"+";"-";"-";"-";"-";"-";"-";"<E>";"?";"Max a amorti le choc"
"34";"+";"-";"<E>";"-";"-";"amortir";"-";"+";"-";"coût";"+";"-";"-";"-";"-";"-";"-";"<E>";"?";"Le joueur a amorti la balle du poing droit"
"35";"~";"~";"<E>";"-";"-";"amortir";"-";"+";"-";"bruit";"~";"~";"~";"~";"-";"-";"~";"<E>";"?";"Ceci amorti le bruit"
"36";"~";"~";"<E>";"-";"-";"amplifier";"-";"+";"-";"son";"~";"~";"~";"~";"-";"+";"~";"<E>";"amplificateur";"Cet appareil amplifie le son"
"37";"~";"~";"<E>";"-";"-";"amuïr";"-";"+";"-";"voyelle";"~";"~";"~";"~";"-";"-";"~";"<E>";"?";"On amuït les voyelles"
"38";"+";"-";"<E>";"-";"-";"animer";"-";"+";"-";"mécanisme";"-";"-";"-";"-";"-";"-";"-";"<E>";"?";"L'explosion anime les pistons"
"39";"~";"~";"<E>";"-";"-";"animer";"-";"+";"-";"spectacle";"~";"~";"~";"~";"-";"+";"~";"<E>";"animation";"Max anime le spectacle"
"40";"~";"~";"<E>";"-";"-";"animer";"-";"+";"-";"association";"~";"~";"~";"~";"-";"-";"~";"<E>";"?";"Max anime un club"
"41";"~";"~";"<E>";"-";"-";"animer";"-";"+";"-";"marionnette";"~";"~";"~";"~";"-";"-";"~";"<E>";"?";"Paul a animé la marionnette"
"42";"~";"~";"<E>";"-";"-";"annoncer";"-";"+";"-";"enchère";"~";"~";"~";"~";"+";"-";"~";"annonce";"?";"Max a annoncé (deux piques+une enchère)"
"43";"~";"~";"<E>";"-";"-";"antérioriser";"-";"+";"-";"phénomène";"~";"~";"~";"~";"-";"-";"~";"<E>";"?";"Max antériorise ce phénomène"
"44";"+";"+";"<E>";"-";"-";"aplanir";"-";"+";"-";"difficultés";"+";"-";"-";"+";"-";"-";"-";"<E>";"?";"Max aplanit les difficultés"
"45";"~";"~";"<E>";"-";"-";"aplatir";"-";"+";"-";"balle";"~";"~";"~";"~";"-";"-";"~";"<E>";"?";"L'ailier a aplati la balle dans l'embut"
"46";"+";"-";"<E>";"-";"-";"appeler";"-";"+";"-";"noms";"-";"-";"-";"-";"-";"+";"-";"<E>";"?";"Max appelle le nom des élèves"
"47";"~";"~";"<E>";"-";"-";"applaudir";"-";"+";"-";"spectacle";"~";"~";"~";"~";"-";"+";"~";"<E>";"applaudissemnt";"La salle applaudi (la pièce+le spectacle)"
"48";"~";"~";"<E>";"-";"-";"appliquer";"-";"+";"-";"loi";"~";"~";"~";"~";"-";"-";"~";"<E>";"?";"Max applique (la loi+l'idée+la théorie)"
"49";"~";"~";"<E>";"-";"-";"apprivoiser";"-";"+";"-";"animal";"~";"~";"~";"~";"-";"-";"~";"<E>";"?";"Max apprivoise cet animal"
"50";"~";"~";"<E>";"-";"-";"approuver";"-";"+";"-";"loi";"~";"~";"~";"~";"-";"-";"~";"<E>";"?";"Max approuve la loi"
"51";"~";"~";"<E>";"-";"-";"approximer";"-";"+";"-";"chiffre";"~";"~";"~";"~";"+";"-";"~";"<E>";"?";"Max a approximé (ce chiffre+ce prix+cette valeur)"
"52";"~";"~";"<E>";"-";"-";"arbitrer";"-";"+";"-";"match";"~";"~";"~";"~";"-";"+";"~";"<E>";"arbitre";"Max arbitre le match"
"53";"~";"~";"<E>";"-";"-";"arbitrer";"-";"+";"-";"prix";"~";"~";"~";"~";"-";"+";"~";"<E>";"arbitre";"Les courtiers arbitrent les prix"
"54";"~";"~";"<E>";"-";"-";"archiver";"-";"+";"-";"information";"~";"~";"~";"~";"+";"-";"~";"<E>";"?";"Max a archivé cet information"
"55";"+";"-";"<E>";"-";"-";"armer";"-";"+";"-";"bateau";"-";"-";"-";"-";"-";"-";"-";"<E>";"?";"Yvon a armé son bateau"
"56";"~";"~";"<E>";"-";"-";"arpenter";"-";"+";"-";"surface";"~";"~";"~";"~";"-";"-";"~";"<E>";"?";"Max arpente un pré"
"57";"+";"-";"<E>";"-";"-";"arracher";"-";"+";"-";"poids";"-";"-";"-";"-";"-";"-";"-";"<E>";"?";"Luc arrache cent kilos"
"58";"+";"-";"<E>";"-";"-";"arranger";"-";"+";"-";"mélodie";"-";"-";"-";"+";"-";"-";"-";"<E>";"?";"Les propagandistes arrangent l'histoire"
"59";"~";"~";"<E>";"-";"-";"arranger";"-";"+";"-";"air";"~";"~";"~";"~";"-";"+";"~";"<E>";"?";"Max a arrangé cet air pour le violon"
"60";"~";"~";"<E>";"-";"-";"arranger";"-";"+";"-";"conflit";"~";"~";"~";"~";"-";"+";"~";"<E>";"?";"Max a arrangé ce conflit"
"61";"~";"~";"<E>";"-";"-";"arrêter";"-";"+";"-";"appareil";"~";"+";"~";"~";"-";"-";"+";"<E>";"?";"Max arrête la radio"
"62";"~";"~";"<E>";"-";"-";"arroser";"-";"+";"-";"évènement";"~";"~";"~";"~";"-";"+";"~";"<E>";"?";"Max a arrosé sa thèse au champagne"
"63";"~";"~";"<E>";"-";"-";"arroser";"-";"+";"-";"plante";"~";"~";"~";"~";"-";"+";"~";"<E>";"arrosoir";"Max arrose la pelouse"
"64";"~";"~";"<E>";"-";"-";"arroser";"-";"+";"-";"café";"~";"~";"~";"~";"-";"-";"~";"<E>";"?";"Max a arrosé son café (de Rome)"
"65";"~";"~";"<E>";"-";"-";"arroser";"-";"+";"-";"repas";"~";"~";"~";"~";"-";"-";"~";"<E>";"?";"Max a bien arrosé son repas"
"66";"~";"~";"<E>";"-";"-";"arroser";"-";"+";"-";"pot";"~";"~";"~";"~";"-";"-";"~";"<E>";"?";"Le joueur a arrosé le pot (de 2 000 euros)"
"67";"+";"-";"<E>";"-";"-";"aspirer";"-";"+";"-";"les 'h'";"-";"-";"-";"+";"-";"-";"-";"<E>";"?";"Max aspire les 'h'"
"68";"~";"~";"<E>";"-";"-";"assassiner";"-";"+";"-";"oeuvre";"~";"~";"~";"~";"-";"-";"~";"<E>";"?";"Le critique a assassiné la pièce"
"69";"~";"~";"<E>";"-";"-";"assassiner";"-";"+";"-";"oeuvre";"~";"~";"~";"~";"-";"-";"~";"<E>";"?";"Max a assassiné ce poème en le récitant"
"70";"~";"~";"<E>";"-";"-";"assister";"-";"+";"-";"mourant";"~";"~";"~";"~";"-";"-";"~";"<E>";"?";"Max assiste le mourant"
"71";"~";"~";"<E>";"-";"-";"assommer";"-";"+";"-";"client";"~";"~";"~";"~";"-";"-";"~";"<E>";"?";"Ce restaurateur assomme le client"
"72";"~";"~";"<E>";"-";"-";"assouplir";"-";"+";"-";"muscle";"~";"~";"~";"~";"-";"-";"~";"<E>";"?";"Max assouplit ses muscles"
"73";"~";"~";"<E>";"-";"-";"assouplir";"-";"+";"-";"règlement";"~";"~";"~";"~";"-";"-";"~";"<E>";"?";"On a assoupli le règlement"
"74";"~";"~";"<E>";"-";"-";"assourdir";"-";"+";"-";"voix";"~";"~";"~";"~";"-";"-";"~";"<E>";"?";"L'opération a assourdi sa voix"
"75";"~";"~";"<E>";"-";"-";"assourdir";"-";"+";"-";"voyelle";"~";"~";"~";"~";"-";"-";"~";"<E>";"?";"Max assourdit ses(phonèmes sonores+voyelles)"
"76";"~";"~";"<E>";"-";"-";"assouvir";"-";"+";"-";"vengeance";"~";"~";"~";"~";"-";"-";"~";"<E>";"?";"Cela a assouvi sa vengeance"
"77";"~";"~";"<E>";"-";"-";"assurer";"-";"+";"-";"fonction";"~";"~";"~";"~";"-";"-";"~";"<E>";"?";"Max assure des fonctions de chef"
"78";"~";"~";"<E>";"-";"-";"attaquer";"-";"+";"-";"banque";"~";"~";"~";"~";"-";"-";"~";"<E>";"?";"Max a attaqué une(poste+banque)"
"79";"~";"~";"<E>";"-";"-";"attaquer";"-";"+";"-";"contrat";"~";"~";"~";"~";"-";"-";"~";"<E>";"?";"Max a attaqué un (testament+contrat)"
"80";"~";"~";"<E>";"-";"-";"attiser";"-";"+";"-";"feu";"~";"~";"~";"~";"-";"-";"~";"<E>";"?";"Max attise le feu"
"81";"~";"~";"<E>";"-";"-";"attiser";"-";"+";"-";"passion";"~";"~";"~";"~";"-";"-";"~";"<E>";"?";"Ce livre attisera les passions"
"82";"+";"-";"<E>";"-";"-";"attraper";"-";"+";"-";"maladie";"-";"-";"-";"-";"-";"-";"-";"<E>";"?";"Max a attrapé (la variole+une maladie)"
"83";"~";"~";"<E>";"-";"-";"attraper";"-";"+";"-";"bus";"~";"~";"~";"~";"-";"-";"~";"<E>";"?";"Paul a attrapé un(moyen de transport+bus+train)"
"84";"~";"~";"<E>";"-";"-";"aviver";"-";"+";"-";"incendie";"~";"~";"~";"~";"-";"-";"~";"<E>";"?";"Le vent a avivé l'incendie"
"85";"~";"~";"<E>";"-";"-";"aviver";"-";"+";"-";"plaie";"~";"~";"~";"~";"-";"-";"~";"<E>";"?";"On a avivé la plaie(E+ôtant la croûte)"
"86";"+";"-";"<E>";"-";"-";"avoir";"-";"+";"-";"cible";"-";"-";"-";"-";"-";"-";"-";"<E>";"?";"Max a eu (la cible+l'objectif)"
"87";"+";"+";"<E>";"-";"-";"avoir";"-";"+";"-";"radio";"-";"-";"-";"-";"-";"-";"-";"<E>";"?";"Max a France-inter"
"88";"~";"~";"<E>";"-";"-";"bachoter";"-";"+";"-";"matière scolaire";"~";"~";"~";"~";"-";"-";"~";"<E>";"?";"Max bachote ses maths"
"89";"~";"~";"<E>";"-";"-";"baisser";"-";"+";"-";"lumière";"~";"~";"~";"~";"-";"-";"~";"<E>";"?";"Max baisse la lumière"
"90";"~";"~";"<E>";"-";"-";"baisser";"-";"+";"-";"radio";"~";"~";"~";"~";"-";"-";"~";"<E>";"?";"Max baisse le son(de la radio+télé etc...)"
"91";"~";"~";"<E>";"-";"-";"banaliser";"-";"+";"-";"voiture";"~";"~";"~";"~";"-";"-";"~";"<E>";"?";"La police a banalisé ses voitures"
"92";"~";"~";"<E>";"-";"-";"bassiner";"-";"+";"-";"lit";"~";"~";"~";"~";"-";"-";"~";"<E>";"?";"Max a bassiné son lit(E+avec une bassinoire)"
"93";"~";"~";"<E>";"-";"-";"bâtir";"-";"+";"-";"roman";"~";"~";"~";"~";"-";"-";"~";"<E>";"?";"Max a bâti (un roman+une phrase)"
"94";"~";"~";"<E>";"-";"-";"battre";"-";"+";"-";"tambour";"~";"~";"~";"~";"-";"-";"~";"<E>";"?";"Max bat le tambour|dans l'orchestre|"
"95";"~";"~";"<E>";"-";"-";"bémoliser";"-";"+";"-";"note";"~";"~";"~";"~";"+";"+";"~";"<E>";"bémol";"Max a bémolisé la note(E+de musique)"
"96";"~";"~";"<E>";"-";"-";"bisser";"-";"+";"-";"numéro";"~";"~";"~";"~";"-";"+";"~";"<E>";"bis";"Max a bissé son numéro"
"97";"+";"-";"<E>";"-";"-";"blanchir";"-";"+";"-";"argent";"-";"+";"-";"+";"-";"-";"-";"<E>";"?";"Ida blanchit le linge"
"98";"~";"~";"<E>";"-";"-";"blanchir";"-";"+";"-";"argent";"~";"~";"~";"~";"-";"-";"~";"<E>";"?";"Paulo a blanchi cet argent volé"
"99";"~";"~";"<E>";"-";"-";"blesser";"-";"+";"-";"pied";"~";"~";"~";"~";"-";"+";"~";"<E>";"?";"Ces bottes blessent le pied d'Ida"
"100";"~";"~";"<E>";"-";"-";"bloquer";"-";"+";"-";"ballon";"~";"~";"~";"~";"-";"-";"~";"<E>";"?";"Le goal a bloqué le ballon"
"101";"~";"~";"<E>";"-";"-";"bloquer";"-";"+";"-";"compte";"~";"~";"~";"~";"-";"-";"~";"<E>";"?";"Max a bloqué son compte en banque"
"102";"~";"~";"<E>";"-";"-";"border";"-";"+";"-";"lit";"~";"~";"~";"~";"-";"-";"~";"<E>";"?";"Max a bordé (le lit+la couverture)"
"103";"~";"~";"<E>";"-";"-";"bosser";"-";"+";"-";"math";"~";"~";"~";"~";"-";"-";"~";"<E>";"?";"Max bosse (ses maths+cette matière)"
"104";"+";"-";"<E>";"-";"-";"boucler";"-";"+";"-";"ceinture";"-";"-";"-";"+";"-";"-";"-";"<E>";"?";"Max a bouclé sa ceinture"
"105";"~";"~";"<E>";"-";"-";"bouger";"-";"+";"-";"tête";"~";"~";"~";"~";"-";"-";"~";"<E>";"?";"Max bouge (les oreilles+la tête)"
"106";"~";"~";"<E>";"-";"-";"bouillir";"-";"+";"-";"liquide";"~";"~";"~";"~";"-";"+";"~";"<E>";"?";"On doit bouillir l'eau"
"107";"~";"~";"<E>";"-";"-";"bousculer";"-";"+";"-";"troupe";"~";"~";"~";"~";"-";"-";"~";"<E>";"?";"L'ennemi a bousculé nos troupes"
"108";"~";"~";"<E>";"-";"-";"brasser";"-";"+";"-";"argent";"~";"~";"~";"~";"-";"-";"~";"<E>";"?";"Max brasse l'argent"
"109";"+";"-";"<E>";"-";"-";"breveter";"-";"+";"-";"invention";"-";"-";"+";"+";"-";"-";"-";"<E>";"?";"Max a breveté une invention"
"110";"~";"~";"<E>";"-";"-";"brider";"-";"+";"-";"moteur";"~";"~";"~";"~";"-";"-";"~";"<E>";"?";"On a bridé ce moteur"
"111";"+";"-";"<E>";"-";"-";"briser";"-";"+";"-";"carrière";"+";"-";"-";"+";"-";"-";"-";"<E>";"?";"Max a brisé la carrière de Luc"
"112";"+";"-";"<E>";"-";"-";"briser";"-";"+";"-";"chaussure";"-";"-";"-";"+";"-";"-";"-";"<E>";"?";"Max a brisé ses chaussures neuves"
"113";"+";"-";"<E>";"-";"-";"briser";"-";"+";"-";"grève";"-";"-";"-";"+";"-";"-";"-";"<E>";"?";"Max a brisé la grève des mineurs"
"114";"+";"-";"<E>";"-";"-";"brosser";"-";"+";"-";"balle";"-";"-";"-";"+";"-";"-";"-";"<E>";"?";"Max a brossé (sa balle+son repas)"
"115";"~";"~";"<E>";"-";"-";"brosser";"-";"+";"-";"cheveux";"~";"~";"~";"~";"-";"+";"~";"<E>";"brosse";"Ida brosse ses cheveux"
"116";"+";"-";"<E>";"-";"-";"brouiller";"-";"+";"-";"radio";"-";"-";"-";"+";"-";"-";"-";"<E>";"?";"Ces ondes brouillent la radio"
"117";"~";"~";"<E>";"-";"-";"brûler";"-";"+";"-";"rôti";"~";"~";"~";"~";"-";"-";"~";"<E>";"?";"Brûler (un plat+un rôti)"
"118";"~";"~";"<E>";"-";"-";"brûler";"-";"+";"-";"café";"~";"~";"~";"~";"-";"-";"~";"<E>";"?";"Brûler le café"
"119";"+";"+";"<E>";"-";"-";"brunir";"-";"+";"-";"métal";"+";"-";"-";"+";"-";"-";"-";"<E>";"?";"(Max+ce procédé) brunit le métal"
"120";"~";"~";"<E>";"-";"-";"bûcher";"-";"+";"-";"math";"~";"~";"~";"~";"-";"-";"~";"<E>";"?";"Max bûche (ses Maths+son examen+cette matière)"
"121";"~";"~";"<E>";"-";"-";"buter";"-";"+";"-";"penalty";"~";"~";"~";"~";"-";"-";"~";"<E>";"?";"Max a buté un penalty"
"122";"~";"~";"<E>";"-";"-";"cacheter";"-";"+";"-";"lettre";"~";"~";"~";"~";"-";"+";"~";"<E>";"cachet";"Max a cacheté (son envoi+sa lettre)"
"123";"~";"~";"<E>";"-";"-";"cadencer";"-";"+";"-";"pas";"~";"~";"~";"~";"-";"-";"~";"<E>";"?";"Les soldats cadence leur pas"
"124";"+";"-";"<E>";"-";"-";"caler";"-";"+";"-";"moteur";"-";"+";"-";"+";"-";"-";"-";"<E>";"?";"Max a calé son moteur"
"125";"~";"~";"<E>";"-";"-";"calibrer";"-";"+";"-";"texte";"~";"~";"~";"~";"-";"-";"~";"<E>";"?";"Max a calibré ce texte"
"126";"~";"~";"<E>";"-";"-";"cannibaliser";"-";"+";"-";"voiture";"~";"~";"~";"~";"-";"-";"~";"<E>";"?";"Le garagiste cannibalise les voitures accidentées"
"127";"+";"-";"<E>";"-";"-";"capter";"-";"+";"-";"attention";"-";"-";"-";"-";"-";"-";"-";"<E>";"?";"(Max+Ce lit) capte l'attention de Luc"
"128";"+";"-";"<E>";"-";"-";"capter";"-";"+";"-";"radio";"-";"-";"-";"-";"-";"-";"-";"<E>";"?";"Max a capté une(radio+émission)"
"129";"~";"~";"<E>";"-";"-";"carboniser";"-";"+";"-";"rôti";"~";"~";"~";"~";"-";"-";"~";"<E>";"?";"Max a carbonisé (le plat+le rôti)"
"130";"+";"-";"<E>";"-";"-";"caréner";"-";"+";"-";"bateau";"-";"-";"-";"+";"+";"-";"-";"carénage";"?";"Bob a caréné son bateau"
"131";"+";"-";"<E>";"-";"-";"caresser";"-";"+";"-";"projet";"-";"-";"+";"-";"-";"-";"-";"<E>";"?";"Max caresse l'instrument de musique"
"132";"+";"-";"<E>";"-";"-";"caresser";"-";"+";"-";"projet";"-";"+";"-";"+";"-";"-";"-";"<E>";"?";"Max caresse une idée"
"133";"~";"~";"<E>";"-";"-";"caricaturer";"-";"+";"-";"pensée";"~";"~";"~";"~";"-";"-";"~";"<E>";"?";"Max a caricaturé la pensée de Luc(E+dans son article)"
"134";"~";"~";"<E>";"-";"-";"carillonner";"-";"+";"-";"fête";"~";"~";"~";"~";"-";"+";"~";"<E>";"crillon";"Max carillonne les fêtes"
"135";"~";"~";"<E>";"-";"-";"carotter";"-";"+";"-";"terrain";"~";"~";"~";"~";"-";"-";"~";"<E>";"?";"Les géologues ont carotté (le terrain+le sous-sol)"
"136";"~";"~";"<E>";"-";"-";"cartographier";"-";"+";"-";"région";"~";"~";"~";"~";"-";"-";"~";"<E>";"?";"Max a cartographié (un lieu+la région+la lune)"
"137";"+";"-";"<E>";"-";"-";"casser";"-";"+";"-";"banque";"-";"-";"-";"-";"-";"-";"-";"<E>";"?";"Max casse les voitures"
"138";"+";"-";"<E>";"-";"-";"casser";"-";"+";"-";"chaussure";"-";"+";"-";"+";"-";"-";"-";"<E>";"?";"Max a cassé ses chaussures"
"139";"~";"~";"<E>";"-";"-";"casser";"-";"+";"-";"appareil";"~";"~";"~";"~";"-";"-";"~";"<E>";"?";"Max a cassé (un appareil+un mécanisme)"
"140";"+";"-";"<E>";"-";"-";"casser";"-";"+";"-";"jugement";"-";"-";"-";"+";"-";"-";"-";"<E>";"?";"Le juge a cassé (le mariage+jugement)"
"141";"+";"-";"<E>";"-";"-";"casser";"-";"+";"-";"ligne";"-";"+";"-";"+";"-";"-";"-";"<E>";"?";"Max a cassé son pli de pantalon"
"142";"~";"~";"<E>";"-";"-";"casser";"-";"+";"-";"prix";"~";"~";"~";"~";"-";"-";"~";"<E>";"?";"Max a cassé les prix"
"143";"+";"-";"<E>";"-";"-";"casser";"-";"+";"-";"rythme";"+";"-";"-";"+";"-";"-";"-";"<E>";"?";"Max a cassé le rythme de pauses"
"144";"+";"+";"<E>";"-";"-";"célébrer";"-";"+";"-";"évènement";"-";"-";"-";"-";"-";"-";"-";"<E>";"?";"Max célèbre (son anniversaire+cet événement)"
"145";"+";"-";"<E>";"-";"-";"censurer";"-";"+";"-";"gouvernement";"-";"-";"-";"+";"-";"-";"-";"<E>";"?";"L'assemblée a censuré le gouvernement"
"146";"-";"-";"<E>";"-";"-";"centupler";"-";"+";"-";"forces";"+";"+";"-";"+";"-";"-";"-";"<E>";"?";"Cette nouvelle a centuplé ses forces"
"147";"~";"~";"<E>";"-";"-";"chaîner";"-";"+";"-";"programme";"~";"~";"~";"~";"-";"-";"~";"<E>";"?";"Mac a chaîné les programmes"
"148";"+";"-";"<E>";"-";"-";"chalouper";"-";"+";"-";"danse";"-";"-";"-";"+";"-";"-";"-";"<E>";"?";"Max et Ida chaloupent (un tango+une danse)"
"149";"+";"-";"<E>";"-";"-";"changer";"-";"+";"-";"bébé";"-";"-";"-";"+";"-";"-";"-";"<E>";"?";"Max a changé le bébé"
"150";"~";"~";"<E>";"-";"-";"charcuter";"-";"+";"-";"circonscription";"~";"~";"~";"~";"-";"-";"~";"<E>";"?";"Le gouvernement a charcuté notre circonscription"
"151";"~";"~";"<E>";"-";"-";"charcuter";"-";"+";"-";"texte";"~";"~";"~";"~";"-";"-";"~";"<E>";"?";"Le rédacteur en chef a charcuté le texte de Luc"
"152";"~";"~";"<E>";"-";"-";"charger";"-";"+";"-";"rôle";"~";"~";"~";"~";"-";"-";"~";"<E>";"?";"Cet acteur charge (E+son rôle)"
"153";"~";"~";"<E>";"-";"-";"charmer";"-";"+";"-";"serpent";"~";"~";"~";"~";"-";"-";"~";"<E>";"?";"Max charme les serpents"
"154";"~";"~";"<E>";"-";"-";"chasser";"-";"+";"-";"gibier";"~";"~";"~";"~";"-";"-";"~";"<E>";"?";"Max chasse (le gibier+les lèvres)"
"155";"~";"~";"<E>";"-";"-";"châtier";"-";"+";"-";"style";"~";"~";"~";"~";"-";"-";"~";"<E>";"?";"Max châtie son(style+langage)"
"156";"+";"-";"<E>";"-";"-";"chauffer";"-";"+";"-";"public";"+";"+";"-";"+";"-";"-";"-";"<E>";"?";"L'artiste chauffe la salle"
"157";"+";"-";"<E>";"-";"-";"chercher";"-";"+";"-";"moyen";"-";"-";"-";"-";"-";"-";"-";"<E>";"?";"Max cherche la solution"
"158";"+";"-";"<E>";"-";"-";"chiader";"-";"+";"-";"discipline";"-";"-";"+";"-";"-";"-";"-";"<E>";"?";"Max chiade (ses maths+cette discipline)"
"159";"~";"~";"<E>";"-";"-";"chiper";"-";"+";"-";"coup";"~";"~";"~";"~";"-";"-";"~";"<E>";"?";" Chiper le coup"
