"<ID>";"N1 V W";"N2 V N1";"<ENT>Ppv";"<ENT>V";"Aux =: avoir";"Aux =: être";"dé-V";"N1 =: Nhum";"N1 =: N-hum";"N1 =: Npc obl";"N0 V N1";"Prép2 =: avec";"Prép2 =: dans";"Prép2 =: en";"N2 =: Nhum";"N2 =: N-hum";"N2 =: trou";"N2 =: couche";"N2 =: coup";"N2 apparition";"N2 =: Npl obl";"N2 être V-n, Sfx = E";"N2 être V-n, Sfx # E";"Sfx =: age";"Sfx =: ment";"Sfx =: tion";"Sfx =: ure";"V-n instrument";"N1 =: texte, N2 =: mot";"N1 =: esprit, N2 =: idée";"N0 V N1hum de N2abs";"N0 V N2 (E+Loc N1 destination)";"N0 mettre V-n Loc N1";"N0 faire V-n Prép N1";"N0 donner V-n à N1";"N0 donner à N1 (une apparence Vpp+l'apparence de V-n)";"N0 lancer V-n Loc N1";"V-n instrument (forme V-n)";"<OPT>"
"13";"-";"+";"<E>";"assaisonner";"+";"-";"-";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"+";"+";"+";"-";"+";"+";"-";"-";"-";"-";"Max assaisonne le rôti de sel"
"14";"-";"+";"<E>";"atteler";"+";"-";"+";"~";"+";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"Max attelle sa charrue d'un cheval"
"15";"-";"+";"<E>";"auréoler";"+";"-";"-";"~";"+";"-";"+";"-";"-";"-";"~";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"Ce produit a auréolé la tâche d'une trace blanche"
"16";"-";"+";"<E>";"bâcher";"+";"-";"+";"~";"+";"-";"+";"+";"-";"+";"~";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"Max a bâché les fleurs d'un plastique"
"17";"-";"+";"<E>";"badigeonner";"+";"-";"-";"~";"+";"-";"+";"+";"-";"+";"~";"+";"-";"+";"-";"-";"-";"+";"-";"+";"+";"-";"-";"-";"+";"+";"+";"+";"-";"+";"-";"-";"-";"-";"Max badigeonne le mur de vin"
"18";"-";"+";"<E>";"baguer";"+";"-";"+";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"Max a bagué le pigeon d'un anneau bleu"
"19";"-";"+";"<E>";"bâillonner";"+";"-";"+";"~";"+";"+";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"-";"Max bâillonne Luc d'une serviette"
"20";"-";"+";"<E>";"baleiner";"+";"-";"+";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"Max baleine son corset de tiges de plastique"
"21";"-";"+";"<E>";"bander";"+";"-";"+";"~";"+";"+";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"Max bande son bras d'un bandage souple"
"22";"-";"+";"<E>";"barbouiller";"+";"-";"+";"~";"+";"-";"+";"+";"-";"+";"~";"+";"-";"+";"-";"+";"-";"+";"+";"+";"-";"-";"-";"-";"+";"+";"+";"+";"+";"-";"-";"-";"-";"-";"Max a barbouillé le mur de chaux"
"23";"-";"+";"<E>";"barder";"+";"-";"+";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"Max a bardé son rôti de lard"
"24";"-";"+";"<E>";"barioler";"+";"-";"+";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"Max bariole le mur de couleurs vives"
"25";"-";"+";"<E>";"barricader";"+";"-";"+";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"Max a barricadé la rue d'un tas de pierre"
"26";"-";"+";"<E>";"bâter";"+";"-";"+";"+";"-";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"Max a bâté l'âne de paniers"
"27";"-";"-";"<E>";"bâtir";"+";"-";"+";"~";"+";"-";"-";"-";"-";"-";"~";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"On a bâti la robe d'un bâti"
"28";"-";"-";"<E>";"bâtir";"+";"-";"+";"~";"+";"-";"+";"-";"-";"+";"~";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"Max a bâti ce terrain de masures"
"29";"-";"+";"<E>";"béquiller";"+";"-";"+";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"Max a béquillé le canot de béquilles de bois"
"30";"-";"+";"<E>";"bigarrer";"+";"-";"-";"~";"+";"-";"+";"-";"-";"-";"~";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"Max a bigarré le mur de couleurs vives"
"31";"-";"+";"<E>";"blinder";"+";"-";"+";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"+";"+";"-";"+";"+";"-";"-";"-";"-";"Max a blindé sa porte d'une plaque de fer"
"32";"-";"+";"<E>";"bobiner";"+";"-";"+";"~";"+";"-";"-";"+";"+";"-";"~";"+";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"-";"-";"-";"Max bobine ce crayon de fil bleu"
"33";"-";"+";"<E>";"boiser";"+";"-";"+";"~";"+";"-";"+";"+";"-";"+";"~";"+";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"Max a boisé son parc d'ifs"
"34";"-";"+";"<E>";"botter";"+";"-";"+";"~";"+";"-";"+";"+";"+";"-";"~";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"Max a botté Luc de bottes de cuir"
"35";"-";"+";"<E>";"boucher";"+";"-";"+";"~";"+";"-";"+";"+";"-";"+";"~";"+";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"Max bouche les bouteilles de son vin de bouchons de cire"
"36";"-";"+";"<E>";"bourrer";"+";"-";"+";"~";"+";"-";"-";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"Max bourre sa pipe de tabac"
"37";"-";"-";"<E>";"brocher";"+";"-";"-";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"Max a broché son tibia d'une broche d'acier"
"38";"-";"+";"<E>";"broder";"+";"-";"+";"~";"+";"-";"+";"-";"-";"+";"~";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"Max a brodé son bas d'un motif"
"39";"-";"+";"<E>";"câbler";"+";"-";"+";"~";"+";"-";"+";"+";"-";"+";"~";"+";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"Max câble ce circuit de fils blindés"
"40";"-";"+";"<E>";"cacher";"+";"-";"-";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"Max cache le pot d'une plaque"
"41";"-";"+";"<E>";"cacheter";"+";"-";"+";"~";"+";"-";"-";"+";"-";"-";"~";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"Max a cacheté sa lettre de cire"
"42";"-";"+";"<E>";"calfater";"+";"-";"+";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"Max a calfaté la fente de goudron"
"43";"-";"+";"<E>";"calorifuger";"+";"-";"+";"~";"+";"-";"+";"+";"+";"-";"~";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"Max calorifuge les tuyaux d'un enrobage d'amiante "
"44";"-";"+";"<E>";"canner";"+";"-";"+";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"Max a canné la chaise de rotin bleu"
"45";"-";"+";"<E>";"caparaçonner";"+";"-";"+";"~";"+";"-";"+";"+";"-";"+";"~";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"Max a caparaçonné son cheval d'une armure"
"46";"-";"+";"<E>";"capitonner";"+";"-";"+";"~";"+";"-";"+";"+";"-";"+";"~";"+";"-";"+";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"Max a capitonné la chaise de mousse"
"47";"-";"+";"<E>";"capoter";"+";"-";"+";"~";"+";"-";"+";"+";"+";"+";"~";"+";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"Max a capoté l'appareil d'un(capot+capotage)"
"48";"-";"+";"<E>";"capoter";"+";"-";"+";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"Max a capoté son auto d'une bâche"
"49";"-";"+";"<E>";"capsuler";"+";"-";"+";"~";"+";"-";"+";"+";"-";"+";"~";"+";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"Max a capsulé la bouteille d'une capsule d'étain"
"50";"-";"+";"<E>";"capuchonner";"+";"-";"+";"~";"+";"-";"+";"+";"+";"-";"~";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"Max a capuchonné (le stylo+l'enfant)d'un capuchon rouge"
"51";"-";"+";"<E>";"caréner";"+";"-";"+";"~";"+";"-";"+";"+";"-";"+";"~";"+";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"Max a caréné sa moto d'une bulle de plastique"
"52";"-";"+";"<E>";"carreler";"+";"-";"+";"~";"+";"-";"+";"+";"-";"+";"~";"+";"-";"+";"-";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"Max a carrelé le sol de tomettes"
"53";"-";"+";"<E>";"carrosser";"+";"-";"+";"~";"+";"-";"+";"+";"+";"+";"~";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"Max carrosse la moto d'une bulle à deux places"
"54";"-";"+";"<E>";"casquer";"+";"-";"+";"~";"+";"+";"-";"+";"+";"-";"~";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"Max a casqué Luc d'un pot de fleurs"
"55";"-";"+";"<E>";"caviarder";"+";"-";"+";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"+";"+";"+";"-";"-";"-";"-";"Le censeur a caviardé les mots cochons de larges bandes noires"
"56";"-";"+";"<E>";"ceindre";"+";"-";"-";"~";"+";"+";"-";"+";"+";"-";"~";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"Max ceint Luc de l'écharpe jaune"
"57";"-";"+";"<E>";"ceinturer";"+";"-";"+";"~";"+";"-";"+";"+";"+";"-";"~";"+";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"Max ceinture la ville de remparts"
"58";"-";"+";"<E>";"cercler";"+";"-";"+";"~";"+";"-";"+";"+";"-";"+";"~";"+";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"Max a cerclé la roue d'alu"
"59";"-";"+";"<E>";"chamarrer";"+";"-";"-";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"Max a chamarré sa poitrine d'ornements"
"60";"-";"+";"<E>";"chapeauter";"+";"-";"+";"~";"+";"+";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"Max a chapeauté Ida d'une toque de soie"
"61";"-";"+";"<E>";"charger";"+";"-";"+";"~";"+";"-";"+";"+";"-";"+";"~";"+";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"Max charge le fusil de balles"
"62";"-";"+";"<E>";"charger";"+";"-";"+";"~";"+";"-";"+";"+";"-";"+";"~";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"+";" ";"+";"-";"-";"-";"-";"-";"Max charge les accus de courant"
"63";"+";"+";"<E>";"charger";"+";"-";"+";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"Max charge le camion d'oranges"
"64";"-";"+";"<E>";"charpenter";"+";"-";"-";"~";"+";"-";"+";"+";"-";"+";"~";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"Max a charpenté sa maison d'une charpente d'alu"
"65";"-";"-";"<E>";"chatertonner";"+";"-";"+";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"Max a chatertonné le fil d'une bande de chaterton"
"66";"-";"+";"<E>";"chausser";"+";"-";"+";"~";"+";"+";"+";"+";"+";"-";"~";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"Max chausse Ida de bottes"
"67";"-";"+";"<E>";"chemiser";"+";"-";"+";"~";"+";"-";"+";"-";"-";"+";"~";"+";"-";"+";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"Max chemise les pistons de chemises d'alu"
"68";"-";"+";"<E>";"cimenter";"+";"-";"+";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"+";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"Max a cimenté la fente"
"69";"-";"+";"<E>";"clocher";"+";"-";"+";"~";"+";"-";"+";"+";"+";"-";"~";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"Le jardinier cloche les melons"
"70";"-";"+";"<E>";"clore";"+";"-";"+";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"+";"-";"+";"+";"+";"-";"-";"-";"-";"Max clôt son pré d'une clôture"
"71";"-";"+";"<E>";"clôturer";"+";"-";"+";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"Max a clôturé le pré d'un barbelé"
"72";"-";"+";"<E>";"clouter";"+";"-";"+";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"Max a clouté son canapé de clous dorés"
"73";"-";"+";"<E>";"coffrer";"+";"-";"+";"~";"+";"-";"+";"-";"-";"+";"~";"+";"-";"+";"-";"+";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"Max a coffré (les tubes+le béton)de lattes de bois"
"74";"-";"+";"<E>";"coiffer";"+";"-";"+";"~";"+";"-";"+";"+";"+";"-";"~";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"Max coiffe Luc d'un melon"
"75";"-";"-";"<E>";"construire";"+";"-";"-";"~";"+";"-";"+";"-";"-";"+";"~";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"Max a construit le terrain d'habitations"
"76";"-";"+";"<E>";"corder";"+";"-";"+";"~";"+";"-";"+";"+";"-";"+";"~";"+";"-";"-";"-";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"Max a cordé sa raquette de boyaux"
"77";"-";"+";"<E>";"corseter";"+";"-";"+";"~";"+";"+";"+";"+";"+";"-";"~";"+";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"Max a corseté Ida d'un bustier"
"78";"-";"+";"<E>";"coulisser";"+";"-";"+";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"Ida a coulissé son blouson d'un cordon blanc"
"79";"-";"+";"<E>";"couper";"+";"-";"+";"~";"+";"-";"+";"-";"-";"-";"~";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"Max coupe son vin d'eau"
"80";"-";"+";"<E>";"couronner";"+";"-";"+";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"+";"+";"+";"-";"-";"-";"Max couronne la dent d'or fin"
"81";"-";"+";"<E>";"couvrir";"+";"-";"+";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"+";"+";"-";"+";"+";"-";"-";"-";"-";"Max a couvert la maison de tuiles"
"82";"-";"+";"<E>";"couvrir";"+";"-";"+";"~";"+";"-";"+";"+";"+";"+";"~";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"Ida a couvert Luc d'un paletot"
"83";"-";"+";"<E>";"cravater";"+";"-";"+";"~";"+";"+";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"Max cravate Luc d'une corde de chanvre"
"84";"-";"+";"<E>";"crépir";"+";"-";"+";"~";"+";"-";"+";"+";"-";"+";"~";"+";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"Max a crépi le mur de ciment"
"85";"-";"+";"<E>";"crotter";"+";"-";"+";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"Max a crotté son pantalon de boue"
"86";"-";"+";"<E>";"cuirasser";"+";"-";"+";"~";"+";"-";"+";"+";"+";"+";"~";"+";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"Max cuirasse le bateau de plaques d'alu"
"87";"-";"+";"<E>";"culotter";"+";"-";"+";"~";"+";"+";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"Ida culotte Max de velours"
"88";"-";"+";"<E>";"cuveler";"+";"-";"+";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"Max a cuvelé la galerie d'un revêtement de béton"
"89";"-";"+";"<E>";"daller";"+";"-";"+";"~";"+";"-";"+";"+";"-";"+";"~";"+";"-";"-";"-";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"Max a dallé le sol de plaques de ciment"
"90";"-";"+";"<E>";"déguiser";"+";"-";"-";"+";"-";"-";"+";"+";"+";"-";"~";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"Max déguise Luc d'un chasuble"
"91";"-";"+";"<E>";"doubler";"+";"-";"-";"~";"+";"-";"+";"+";"+";"+";"~";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"Max a doublé sa veste de soie"
"92";"-";"+";"<E>";"draper";"+";"-";"+";"~";"+";"-";"-";"+";"+";"+";"~";"+";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"Max drape Ida de tissu d'or"
