"<ID>";"N0 lieu source de N1";"N0 lieu de destination de N1";"N1 V W";"N0 être V-n";"<ENT>Ppv";"<ENT>V";"Aux =: avoir";"Aux =: être";"dé-V";"N0 V N0pc W";"N1 être V-n";"N1 =: coup";"N0 V N2 source de N1";"N0 V N1 de N2 source";"N0 V N1 Loc N3 destination";"Loc N3 =: dans N3 destination";"Loc N3 =: sur N3 destination";"Loc N3 =: contre N3 destination";"Loc N3 =: à N3 destination";"par N4";"(N2+N3) être V-n";"V-n instrument";"V-n transport";"V-n chemin";"de combien ?";"sur combien ?";"Loc N3 =: sur lui1-même";"N1 être Vpp (statique)";"à Nhum destination";"à Nhum source";"N0 être V-n (forme V-n)";"N1 être V-n (forme V-n)";"V-n instrument (forme V-n)";"V-n transport (forme V-n)";"V-n chemin (forme V-n)";"(N2+N3) être V-n (forme V-n)";"<OPT>"
"34";"-";"-";"+";"-";"<E>";"dériver";"+";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"<E>";"<E>";"Le courant dérive le bateau du large vers la côte"
"35";"-";"-";"-";"-";"<E>";"dérouter";"+";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"route";"<E>";"La tempête déroute l'avion de Gap(sur+vers)Dax"
"36";"+";"-";"+";"-";"<E>";"descendre";"+";"-";"-";"+";"-";"-";"-";"+";"+";"+";"+";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"+";"+";"-";"<E>";"<E>";"<E>";"<E>";"<E>";"<E>";"Max descend le lit du premier"
"37";"~";"~";"~";"~";"<E>";"détourner";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"<E>";"<E>";"<E>";"On a détourné la circulation de cette route sur Dax"
"38";"~";"~";"~";"~";"<E>";"déverser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"<E>";"<E>";"<E>";"Max déverse de l'eau de son toit"
"39";"-";"-";"+";"-";"<E>";"dévier";"+";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"voie";"<E>";"La tempête dévie l'avion de Gap(sur+vers)Dax"
"40";"-";"-";"-";"-";"<E>";"drainer";"+";"-";"-";"-";"-";"-";"+";"+";"+";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"drain";"<E>";"La pompe draine l'eau du champ dans un réservoir"
"41";"-";"-";"-";"-";"<E>";"élever";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"<E>";"<E>";"Max élève (les bras+la coupe)au dessus de la tête"
"42";"-";"-";"-";"-";"<E>";"emmener";"+";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"<E>";"<E>";"Max emporte les colis de Gap à Dax"
"43";"-";"-";"-";"-";"<E>";"emporter";"+";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"<E>";"<E>";"Max emporte la valise du salon dans le couloir"
"44";"-";"-";"-";"-";"<E>";"entraîner";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"<E>";"<E>";"Le courant entraîne les troncs du chantier"
"45";"-";"-";"-";"-";"<E>";"envoyer";"+";"-";"-";"+";"+";"-";"-";"+";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"<E>";"envoi";"<E>";"<E>";"<E>";"<E>";"Max envoie la balle de la porte dans le tiroir"
"46";"-";"-";"-";"+";"<E>";"escorter";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"escorte";"<E>";"<E>";"<E>";"<E>";"<E>";"Max escorte les colis de Gap à Dax"
"47";"-";"-";"-";"-";"<E>";"expédier";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"<E>";"<E>";"<E>";"<E>";"<E>";"<E>";"Max expédie les colis de Gap à Dax"
"48";"~";"~";"~";"~";"<E>";"ferrouter";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"<E>";"<E>";"<E>";"On ferroute les marchandises par train de Paris à Gap"
"49";"~";"~";"~";"~";"<E>";"flotter";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"<E>";"<E>";"<E>";"Le forestier flotte le bois(de la clairière+à la ville)"
"50";"~";"~";"~";"~";"<E>";"franchir";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"<E>";"<E>";"<E>";"Max a franchi le(fossé+mur)"
"51";"-";"-";"+";"-";"<E>";"glisser";"+";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"+";"+";"+";"-";"+";"-";"<E>";"<E>";"<E>";"<E>";"<E>";"<E>";"Max glisse le buffet du salon dans le couloir"
"52";"-";"-";"+";"-";"<E>";"grimper";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"<E>";"<E>";"<E>";"<E>";"<E>";"<E>";"Max a grimpé l'armoire au grenier"
"53";"-";"-";"-";"-";"<E>";"gruter";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"grue";"<E>";"<E>";"<E>";"Max grute les blocs de la carrière sur le camion"
"54";"-";"-";"-";"+";"<E>";"guider";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"guide";"<E>";"<E>";"<E>";"<E>";"<E>";"Le rayon guide la fusée(sur sa trajectoire+vers son but)"
"55";"~";"~";"~";"~";"<E>";"guinder";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"<E>";"<E>";"<E>";"On a guindé cette charge du quai sur le toit"
"56";"-";"-";"-";"-";"<E>";"haler";"+";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"-";"+";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"<E>";"<E>";"Max a halé le coffret à la surface"
"57";"-";"-";"-";"-";"<E>";"hausser";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"<E>";"<E>";"Max a haussé l'armoire au niveau de l'estrade"
"58";"-";"-";"-";"-";"<E>";"héliporter";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"héliport";"<E>";"<E>";"On héliporte les troupes sur la colline"
"59";"~";"~";"~";"~";"<E>";"hélitreuiller";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"<E>";"<E>";"<E>";"On a hélitreuillé Max du bateau à l'hélicoptère"
"60";"-";"+";"-";"-";"<E>";"hisser";"+";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"<E>";"<E>";"Max a hissé la statue sur son socle"
"61";"-";"-";"-";"-";"<E>";"jeter";"+";"-";"-";"+";"-";"-";"-";"+";"+";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"<E>";"<E>";"<E>";"<E>";"<E>";"<E>";"Max jette la botte du grenier dans le camion"
"62";"+";"-";"-";"-";"<E>";"lancer";"+";"-";"-";"+";"-";"-";"-";"+";"+";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"<E>";"<E>";"<E>";"<E>";"<E>";"<E>";"Max lance la botte du grenier dans le camion"
"63";"-";"-";"-";"-";"<E>";"lever";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"<E>";"<E>";"Max lève la botte du camion au grenier"
"64";"-";"-";"+";"-";"<E>";"monter";"+";"-";"-";"+";"-";"-";"-";"+";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"<E>";"<E>";"<E>";"<E>";"<E>";"<E>";"Max a monté le vin de la cave"
"65";"-";"-";"-";"-";"<E>";"mouvoir";"+";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"<E>";"<E>";"Le moteur meut la benne de la station au butoir"
"66";"-";"-";"-";"-";"<E>";"passer";"+";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"<E>";"<E>";"<E>";"<E>";"<E>";"<E>";"Max passe le buffet du salon dans le couloir"
"67";"-";"-";"-";"+";"<E>";"piloter";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"pilote";"<E>";"<E>";"<E>";"<E>";"<E>";"Ce dispositif pilote le missile de l'avion vers la cible"
"68";"-";"-";"-";"-";"<E>";"porter";"+";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"<E>";"<E>";"<E>";"<E>";"<E>";"<E>";"Max porte les cailloux du jardin à la décharge"
"69";"-";"-";"-";"-";"<E>";"pousser";"+";"-";"-";"+";"-";"-";"-";"+";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"<E>";"<E>";"<E>";"<E>";"<E>";"<E>";"Max pousse la valise du salon dans le couloir"
"70";"~";"~";"~";"~";"<E>";"précipiter";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"<E>";"<E>";"<E>";"Max a précipité Paul du 3ème dans la cour"
"71";"-";"-";"-";"-";"<E>";"projeter";"+";"-";"-";"+";"-";"-";"-";"+";"+";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"<E>";"<E>";"Max projette la botte du grenier dans le camion"
"72";"-";"-";"-";"-";"<E>";"promener";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"<E>";"promenade";"Max promène le spot de la porte à la fenêtre"
"73";"-";"-";"-";"-";"<E>";"propager";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"<E>";"<E>";"La chaleur propage l'épidémie d'Asie en Europe"
"74";"-";"-";"-";"+";"<E>";"radioguider";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"radioguide";"<E>";"radioguide";"<E>";"<E>";"<E>";"Ce dispositif radioguide ce missile de l'avion vers la cible"
"75";"-";"-";"-";"-";"<E>";"ramener";"+";"-";"-";"+";"-";"-";"-";"+";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"<E>";"<E>";"<E>";"<E>";"<E>";"<E>";"Max ramène les colis de Gap à Dax"
"76";"-";"-";"-";"-";"<E>";"rapporter";"+";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"<E>";"<E>";"<E>";"<E>";"<E>";"<E>";"Max a rapporté du vin de la campagne"
"77";"-";"-";"+";"-";"<E>";"reculer";"+";"-";"-";"+";"-";"-";"-";"+";"+";"+";"-";"+";"+";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"<E>";"<E>";"<E>";"<E>";"<E>";"<E>";"Max recule sa voiture de la route sur le parking"
"78";"+";"-";"+";"-";"<E>";"redescendre";"+";"-";"-";"+";"-";"-";"-";"+";"+";"+";"+";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"<E>";"<E>";"<E>";"<E>";"<E>";"<E>";"Max redescend le blessé du glacier à la station"
"79";"-";"-";"-";"-";"<E>";"réexpédier";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"<E>";"<E>";"<E>";"<E>";"<E>";"<E>";"Max réexpédie les colis de Gap à Dax"
"80";"-";"-";"-";"-";"<E>";"refouler";"+";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"<E>";"<E>";"Le piston refoule les gaz du cylindre dans la chambre"
"81";"~";"~";"~";"~";"<E>";"rehausser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"<E>";"<E>";"<E>";"On a rehaussé la planche de 3 cm."
"82";"-";"-";"-";"-";"<E>";"rejeter";"+";"-";"-";"+";"-";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"<E>";"<E>";"La langue allemande rejette les participes en fin de phrase"
"83";"~";"~";"~";"~";"<E>";"rejeter";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"<E>";"<E>";"<E>";"La pompe rejette l'eau de la cave dans le réservoir"
"84";"~";"~";"~";"~";"<E>";"relever";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"<E>";"<E>";"<E>";"Max relève la manette de OFF à ON"
"85";"-";"-";"-";"-";"<E>";"remmener";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"<E>";"<E>";"Max remmène les colis de Gap à Dax"
"86";"-";"-";"+";"-";"<E>";"remonter";"+";"-";"-";"+";"-";"-";"-";"+";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"<E>";"<E>";"<E>";"<E>";"<E>";"<E>";"Max remonte le buffet du salon au grenier"
"87";"-";"-";"-";"-";"<E>";"remorquer";"+";"-";"-";"-";"+";"-";"-";"+";"+";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"remorque";"<E>";"<E>";"<E>";"<E>";"On a remorqué la voiture de Gap à Dax"
"88";"~";"~";"~";"~";"<E>";"repiquer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"<E>";"<E>";"<E>";"Ida a repiqué cette chanson sur bande magnétique"
