"<ID>";"N1 V W";"N2 V N1";"<ENT>Ppv";"<ENT>V";"Aux =: avoir";"Aux =: être";"dé-V";"N1 =: Nhum";"N1 =: N-hum";"N1 =: Npc obl";"N0 V N1";"Prép2 =: avec";"Prép2 =: dans";"Prép2 =: en";"N2 =: Nhum";"N2 =: N-hum";"N2 =: trou";"N2 =: couche";"N2 =: coup";"N2 apparition";"N2 =: Npl obl";"N2 être V-n, Sfx = E";"N2 être V-n, Sfx # E";"Sfx =: age";"Sfx =: ment";"Sfx =: tion";"Sfx =: ure";"V-n instrument";"N1 =: texte, N2 =: mot";"N1 =: esprit, N2 =: idée";"N0 V N1hum de N2abs";"N0 V N2 (E+Loc N1 destination)";"N0 mettre V-n Loc N1";"N0 faire V-n Prép N1";"N0 donner V-n à N1";"N0 donner à N1 (une apparence Vpp+l'apparence de V-n)";"N0 lancer V-n Loc N1";"V-n instrument (forme V-n)";"<OPT>"
"11";"-";"+";"<E>";"assortir";"+";"-";"-";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"<E>";"Max a assorti son texte de belles photos"
"12";"-";"+";"<E>";"atteindre";"+";"-";"-";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"Max a atteint Luc d'une balle au bras"
"13";"-";"+";"<E>";"attifer";"+";"-";"-";"~";"+";"-";"-";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"Max a attifé Luc d'un képi"
"14";"~";"~";"<E>";"augmenter";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"+";"-";"-";"+";"-";"-";"~";"~";"~";"~";"-";"-";"+";"-";"-";"<E>";"Max a augmenté le salaire de Luc"
"15";"~";"~";"<E>";"aveugler";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~";"-";"-";"-";"-";"-";"<E>";"Max aveugle la fenêtre d'un rideau"
"16";"-";"+";"<E>";"baigner";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"<E>";"Max baigne ses tempes d'eau de rose"
"17";"-";"-";"<E>";"baptiser";"+";"-";"-";"~";"+";"-";"+";"+";"-";"+";"~";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"Max baptise son vin d'eau"
"18";"-";"+";"<E>";"barder";"+";"-";"-";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"<E>";"Max a bardé sa porte de verrous"
"19";"~";"~";"<E>";"barrer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"+";"+";"-";"-";"-";"-";"~";"~";"~";"~";"+";"+";"-";"-";"-";"<E>";"La police a barré la rue d'un tronc d'arbre"
"20";"-";"+";"<E>";"bassiner";"+";"-";"-";"~";"+";"+";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"bassine";"Max bassine ses tempes d'eau de rose"
"21";"+";"+";"<E>";"bloquer";"+";"-";"-";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"Max a bloqué le passage d'un tronc d'arbre"
"22";"-";"-";"<E>";"bombarder";"+";"-";"-";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"+";"<E>";"Luc a bombardé la ville d'obus"
"23";"-";"+";"<E>";"bonder";"+";"-";"-";"~";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"Max a bondé son auto de passagers"
"24";"+";"+";"<E>";"boucler";"+";"-";"+";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"<E>";"Max a bouclé le quartier de barrages"
"25";"-";"+";"<E>";"boudiner";"+";"-";"-";"~";"+";"-";"+";"+";"+";"-";"~";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"Ida boudine ses filles de robes trop étroites"
"26";"+";"+";"<E>";"caler";"+";"-";"-";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"<E>";"Max cale la porte d'une planche"
"27";"-";"+";"<E>";"camoufler";"+";"-";"-";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"<E>";"Max camoufle le pot d'une plaque"
"28";"-";"-";"<E>";"canarder";"+";"-";"-";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"Max a canardé Luc de tomates"
"29";"-";"-";"<E>";"canonner";"+";"-";"-";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"canon";"Max canonne la ville d'obus de cent"
"30";"-";"-";"<E>";"casser";"+";"-";"-";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"Max a cassé le blanc d'une pointe de vert"
"31";"-";"+";"<E>";"chaptaliser";"+";"-";"-";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"Max chaptalise son vin de sucre en poudre"
"32";"~";"~";"<E>";"chiner";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~";"-";"-";"-";"-";"-";"<E>";"Max a chiné le tissu de trois fils colorés"
"33";"~";"~";"<E>";"coiffer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~";"+";"-";"-";"-";"-";"<E>";"Max coiffe la lampe d'un abat-jour"
"34";"+";"+";"<E>";"coincer";"+";"-";"+";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"Max coince la porte d'une cale"
"35";"-";"+";"<E>";"colmater";"+";"-";"+";"~";"+";"-";"+";"+";"-";"+";"~";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"<E>";"Max a colmaté les fentes de goudron"
"36";"-";"+";"<E>";"combler";"+";"-";"+";"~";"+";"-";"+";"+";"-";"+";"~";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"Max a comblé cette lacune"
"37";"-";"+";"<E>";"comprimer";"+";"-";"+";"~";"+";"-";"+";"+";"+";"-";"~";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"<E>";"Max comprime son ventre d'une large ceinture"
"38";"-";"+";"<E>";"conchier";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"~";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"<E>";"Médor conchie la maison de crottes"
"39";"-";"+";"<E>";"condamner";"+";"-";"+";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"<E>";"Max condamne la porte d'un mur"
"40";"-";"-";"<E>";"congestionner";"+";"-";"+";"~";"+";"+";"+";"+";"-";"-";"~";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"La grève a congestionné les rues de nombreux vélos"
"41";"-";"-";"<E>";"contaminer";"+";"-";"+";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"<E>";"Max a contaminé l'eau de dioxine"
"42";"-";"+";"<E>";"couvrir";"+";"-";"-";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"Max a couvert la casserole d'un couvercle"
"43";"~";"~";"<E>";"couvrir";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"+";"-";"-";"-";"+";"-";"~";"~";"~";"~";"+";"-";"-";"-";"-";"<E>";"Max a couvert le bureau de papier"
"44";"~";"~";"<E>";"crêter";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~";"-";"-";"-";"-";"-";"<E>";"Max a crêté son mur de tessons"
"45";"~";"~";"<E>";"déglacer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~";"-";"-";"-";"-";"-";"<E>";"Max a déglacé la poêle d'un peu de vinaigre"
"46";"~";"~";"<E>";"délayer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~";"-";"-";"-";"-";"-";"<E>";"Max délaye sa peinture d'un peu d'eau"
"47";"-";"+";"<E>";"déparasiter";"+";"-";"-";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"<E>";"Max a déparasité le moteur d'un antiparasite"
"48";"~";"~";"<E>";"diluer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~";"-";"-";"-";"-";"-";"<E>";"Max a dilué son vin d'eau"
"49";"-";"+";"<E>";"dissimuler";"+";"-";"-";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"<E>";"Max dissimule son visage(sous+d')un loup"
"50";"-";"+";"<E>";"doucher";"+";"-";"+";"+";"-";"-";"+";"-";"-";"-";"~";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"douche";"Max a douché Luc d'une douche tiède"
"51";"-";"+";"<E>";"éclabousser";"+";"-";"-";"~";"+";"-";"-";"+";"-";"-";"~";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"+";"<E>";"Max a éclaboussé le mur de vin"
"52";"-";"+";"<E>";"éclairer";"+";"-";"-";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"+";"+";"-";"-";"-";"-";"<E>";"Max a éclairé le salon de(torches+lumière blafarde)"
"53";"-";"-";"<E>";"édulcorer";"+";"-";"-";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"Max a édulcoré la potion de sirop de sucre"
"54";"-";"+";"<E>";"électriser";"+";"-";"+";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"<E>";"Le frottement électrise ce corps d'une charge négative"
"55";"-";"+";"<E>";"embarrasser";"+";"-";"+";"~";"+";"-";"-";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"+";"-";"-";"-";"-";"<E>";"Max a embarrassé le couloir de gros colis"
"56";"-";"+";"<E>";"embaumer";"+";"-";"-";"~";"+";"-";"+";"+";"+";"-";"~";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"Luc a embaumé la pièce d'encens"
"57";"-";"+";"<E>";"embouteiller";"+";"-";"+";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"<E>";"Les voitures embouteillent la rue d'un bouchon"
"58";"-";"+";"<E>";"embroussailler";"+";"-";"+";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"+";"-";"-";"-";"-";"<E>";"Des années d'abandon avaient embroussaillé le jardin de buissons impénétrables"
"59";"-";"+";"<E>";"empaqueter";"+";"-";"+";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"<E>";"Max a empaqueté la bombe(de+dans du)papier brun"
"60";"+";"+";"<E>";"empester";"+";"-";"+";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"Max empeste l'atmosphère de la fumée de sa pipe"
"61";"-";"+";"<E>";"empuantir";"+";"-";"+";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"<E>";"Ce camenbert empuantit le frigo d'une effroyable puanteur"
"62";"-";"+";"<E>";"encombrer";"+";"-";"+";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"+";"+";"+";"-";"+";"-";"-";"-";"-";"<E>";"Max a encombré son salon de meubles inutiles"
"63";"~";"~";"<E>";"enfermer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~";"-";"-";"-";"-";"-";"<E>";"On enferme la ville(de murailles+dans des murailles)"
"64";"~";"~";"<E>";"enfiler";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~";"-";"-";"-";"-";"-";"<E>";"Max enfile un fil de soie d'une perle bleue"
"65";"~";"~";"<E>";"enfler";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"+";"-";"-";"-";"+";"-";"~";"~";"~";"~";"-";"+";"-";"-";"-";"<E>";"Max enfle ses poches de papiers"
"66";"-";"+";"<E>";"engorger";"+";"-";"+";"~";"+";"-";"-";"+";"-";"-";"~";"+";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"+";"+";"+";"-";"-";"+";"-";"-";"-";"<E>";"Le flot a engorgé le goulet d'alluvions"
"67";"-";"+";"<E>";"enserrer";"+";"-";"-";"~";"+";"-";"+";"+";"+";"-";"~";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"<E>";"Max a enserrée son bras d'un linge"
"68";"~";"~";"<E>";"entourer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~";"-";"-";"-";"-";"-";"<E>";"Max s'entoure de mystère"
"69";"~";"~";"<E>";"envahir";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"+";"-";"+";"-";"-";"-";"~";"~";"~";"~";"-";"+";"-";"-";"-";"<E>";"On a envahit le bureau de livres"
"70";"~";"~";"<E>";"étancher";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~";"-";"-";"-";"-";"-";"<E>";"Max a étanché la voie d'eau d'une plaque de bois"
"71";"-";"-";"<E>";"étendre";"+";"-";"-";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"Max a étendu son vin d'eau"
"72";"-";"+";"<E>";"fagoter";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"+";"+";"+";"-";"+";"-";"-";"-";"<E>";"Max a fagoté Ida(dans+de)un sari trop petit"
"73";"+";"+";"<E>";"faufiler";"+";"-";"+";"~";"+";"-";"+";"+";"-";"+";"~";"+";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"<E>";"Max a faufilé son ourlet de fil bleu"
"74";"+";"+";"<E>";"fermer";"+";"-";"-";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"<E>";"Max a fermé la bouteille d'un bouchon de liège"
"75";"-";"+";"<E>";"ficeler";"+";"-";"-";"~";"+";"-";"-";"+";"+";"-";"~";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"Ida a ficelé ses enfants(dans des+de)paletots rapiécés"
"76";"+";"+";"<E>";"fleurir";"+";"-";"+";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"Max a fleurit le salon de lys"
"77";"~";"~";"<E>";"floquer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"+";"+";"-";"-";"-";"-";"~";"~";"~";"~";"-";"+";"-";"-";"-";"<E>";"On a floqué la poubelle d'un flocage d'amiante"
"78";"+";"+";"<E>";"foncer";"+";"-";"-";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"Max a foncé sa teinte d'un peu de gris"
"79";"-";"+";"<E>";"fourrer";"+";"-";"-";"~";"+";"-";"-";"+";"-";"+";"~";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"<E>";"Max a fourré les chocolats de crème"
"80";"~";"~";"<E>";"fromager";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Léa a fromagé son plat"
"81";"-";"-";"<E>";"galvaniser";"+";"-";"+";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"<E>";"On galvanise les clous d'une mince couche de zinc"
"82";"+";"+";"<E>";"gonfler";"+";"-";"+";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"On gonfle le ballon d'air"
"83";"-";"+";"<E>";"gorger";"+";"-";"+";"~";"+";"-";"-";"-";"-";"-";"~";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"<E>";"Les récentes pluies avaient gorgé d'eau le sol du jardin"
"84";"-";"-";"<E>";"grenader";"+";"-";"+";"+";"-";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"<E>";"L'aviso a grenadé le sous-marin"
"85";"+";"+";"<E>";"hérisser";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"~";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"+";"+";"-";"+";"+";"-";"-";"-";"<E>";"Max a hérissé son mur de tessons de bouteille"
"86";"-";"+";"<E>";"humecter";"+";"-";"-";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"Max humecte le mouchoir d'un peu d'eau"
"87";"-";"+";"<E>";"hydrater";"+";"-";"+";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"<E>";"Max a hydraté le sol de quelques seaux d'eau"
"88";"-";"+";"<E>";"ignifuger";"+";"-";"-";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"<E>";"On ignifuge les charpentes d'amiante"
"89";"-";"+";"<E>";"illuminer";"+";"-";"-";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"Max a illuminé le parc de mille lumières"
"90";"-";"+";"<E>";"imbiber";"+";"-";"+";"~";"+";"-";"+";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"+";"+";"-";"+";"-";"-";"-";"-";"<E>";"Max imbibe le coton d'éther"
